2026-08-09 03:25:57 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-09 03:25:57 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=458.5 | headers={"CF-RAY":"a283a812afefedc5-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:25:57 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=yE7%2Big9hcWlTGxZ9sonV2lg0aZbU6VZvHokL7rzzlVjPTPuZcVPFnAFxv8iwFY%2Bw%2Fw%2BgXqa4XjfXKVmT6hC5zYX97kvP7p3KLIHtoZl%2BMoSmuzZKyt12TRHgS5XkIrktz%2FzlGPvHIwIAjS%2BQ8Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"8vmi8rYUSC2ux4HZ-_9nXA"} | body={"token":"<redacted>"}
2026-08-09 03:25:57 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 49043c18.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-49043c18","roomPrice":175,"type":"Double"}
2026-08-09 03:25:58 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=435.3 | headers={"CF-RAY":"a283a8155f67edc5-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:25:58 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=u0MZ1x14fKaYgwG5Z0ymSPBE23gnKnBao5NQD1MqS42aYWFoGM4zHbz4Ux9X%2Fj6gKm8FwtMNL4Ue7ulIaZs0axNvSYFGIdXTk9sb8tTIzBhpoMUuDxM9X49R4QA3LlGGajykhH02MOXrbtwqNw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"Ot9WARUiTC2bosMO9o6EoQ"} | body={"success":true}
2026-08-09 03:25:58 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-09 03:25:58 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=409.1 | headers={"CF-RAY":"a283a8184cbe111c-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:25:58 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=z8qCQNQmhgOYajgc2xpDkq1c9QbIVqNrN0Z%2Be0kAG2swe9E7535mrt3mzbeB0cPf1MRcf8eCTzebnnVtvA2GACfBcUga3Uo9UldZi6THOT8FLP98uhXo3oWlJC8QgZBo%2BmgXJLDl73xeJ772hw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"PKKitnNSQreqNAZRlt7tkg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 49043c18.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-49043c18","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-09 03:25:58 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-08","checkout":"2026-10-10"},"depositpaid":false,"email":"api.100ecb8e@example.com","firstname":"Api","lastname":"Guest100ecb8e","phone":"01234567890","roomid":4}
2026-08-09 03:25:59 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=233.8 | headers={"CF-RAY":"a283a81aae02111c-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:25:59 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=5ikk%2F7AtxTh3Tk84zM7Q1UCWaFAJ0bV%2Bqs%2BpJwBGjcBXp3TvsBl8JMRp2whaTb3Lh6osAZ3GlInpGXB0rP8nsSt3IK9RpLdP3NaX2e2VfCcTByNzfqFfJNSehjBFpy5d%2BxtnRfNRnlwdJxArEw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"fsSE8XnmQYuWY_uZ9o6EoQ"} | body={"bookingdates":{"checkin":"2026-10-08","checkout":"2026-10-10"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest100ecb8e","roomid":4}
2026-08-09 03:25:59 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-09 03:25:59 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=242.3 | headers={"CF-RAY":"a283a81c1ac8edc5-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:25:59 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=N3ikYRMzPNwkIJcEbPx6V7MLVCkA0EmC98p1sKDGcmbGVVTHPTCY4J4vrxZSkWUzsUuoxy4t9jC5wkl1Mu7%2F8Yl%2BdBC7e5TC79abqKJd%2FD0J%2FPJaSVNskETBtQtohTgyt2fONOZAnGStjSUQ5g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"x2XowrQtSPqeoc-GnpoFkQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-08","checkout":"2026-10-10"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest100ecb8e","roomid":4}]}
2026-08-09 03:25:59 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
