2026-08-10 03:45:47 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-10 03:45:48 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=275.7 | headers={"CF-RAY":"a28c0281ff8f9adc-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 10 Aug 2026 03:45:48 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=f36pEwoWkBEx43wHx0Kp4LKu0nEy6%2BcCt7IkEnbxCGl28lgQ9d%2FIe4KbXVhAW80W9vp2Vl9%2BPrWxSgjecdJAp8FLG1itiRfEcoNyXK4P9NLCgi%2BYtFIUQ95BYs%2BddQpNKeBhUdN20IFIVDavjw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"-V0_uNaLSfOPUx0tn6XIxQ"} | body={"token":"<redacted>"}
2026-08-10 03:45:48 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 04aedaf2.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-04aedaf2","roomPrice":175,"type":"Double"}
2026-08-10 03:45:48 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=289.0 | headers={"CF-RAY":"a28c02838e789adc-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 10 Aug 2026 03:45:48 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=895VgjyVJpC6ayrujJG%2Fj%2Brwfz1Nq8af9ov8cAB7aJcmCbVgs2C1RsSB%2FWIZwkO97xQtB43c%2F8R4qUC8JhLnRe2WzFTTdUoV%2FBzYq829nDcqKVo1I6NUpNhJLZ%2Blj4kIRBw1Nbw51izMcmXFqQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.cv40","x-railway-edge":"jfk1","x-railway-request-id":"qD4l-fKoTe2Aw-C7jq4OvQ"} | body={"success":true}
2026-08-10 03:45:48 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-10 03:45:48 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=302.0 | headers={"CF-RAY":"a28c028588a93151-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 10 Aug 2026 03:45:48 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=KyX5N6qrBXn1ObPm91pcamTaSwDndkLJhvwS34GjzzpVfpUQp%2BoqMcGcIon0%2FYimmJivNXXwhzqzfibaM4lxHXiKx2JRhWgvKxpGnr3ztgnYYu1wvZSekOMeqCndgHSgp8kfblVNC6SSwoLsJA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.cv40","x-railway-edge":"jfk1","x-railway-request-id":"pFMes07GTOKQ-xwe6WHkDg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 04aedaf2.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-04aedaf2","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-10 03:45:48 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-09","checkout":"2026-10-11"},"depositpaid":false,"email":"api.92535780@example.com","firstname":"Api","lastname":"Guest92535780","phone":"01234567890","roomid":4}
2026-08-10 03:45:49 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=397.3 | headers={"CF-RAY":"a28c02874d1f3151-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Mon, 10 Aug 2026 03:45:49 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=9FsqJdpLJyQtlD6iUFGhLYyLO3c46QVvTEm%2Bg9Sr%2FyUBU11z3aEUMpf5eb4%2Fg0uDNWme2GTba699sTagVbYS2W4%2FG0vDAg%2BTemP7VfdxRzBY2m62NHG7YM6vC8tqyUUX3dhfd8OCwL6AdZQnTQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.cv40","x-railway-edge":"jfk1","x-railway-request-id":"tTH5vWo1SEu3BVxtwUFZXw"} | body={"bookingdates":{"checkin":"2026-10-09","checkout":"2026-10-11"},"bookingid":8,"depositpaid":false,"firstname":"Api","lastname":"Guest92535780","roomid":4}
2026-08-10 03:45:49 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-10 03:45:49 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=246.7 | headers={"CF-RAY":"a28c0289bf4a9adc-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 10 Aug 2026 03:45:49 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ZxdOou3kPzlWNpErFsb4OX21ecbaauWuBWXpwj1jCdz%2Blq34dxBNV50iBs4TG8IobGxcntfZFiah5%2BOrS34X1e5jKhjuXQJk4jmCwuoU1r0tB9XgF41tSxMHyjFFo59QyRVqR8mcm55cxWFVow%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"WK3YK_wuRoyeM41YljLL4A"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-09","checkout":"2026-10-11"},"bookingid":8,"depositpaid":false,"firstname":"Api","lastname":"Guest92535780","roomid":4}]}
2026-08-10 03:45:49 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/8 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
