2026-08-11 03:28:32 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-11 03:28:33 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=597.4 | headers={"CF-RAY":"a294269e09662717-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 11 Aug 2026 03:28:33 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=pvYmgj6ZGonrDZHJ6eNmTHcU1jKqMvrWgygXnDl1nIOstnIgIvWrVe%2FrldAZHGIB1jEXG7dsQWJ5vTcBS7jZx5W9n0PoRvGlctIbY5z1DPcvZxzaRKRl8ANTx7TaKdsG45dC0Cdx%2BGIlo1ygLQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"y7XEhR1NR8GW0_qTYqVb7A"} | body={"token":"<redacted>"}
2026-08-11 03:28:33 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 0f5f3b7e.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-0f5f3b7e","roomPrice":175,"type":"Double"}
2026-08-11 03:28:33 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=278.3 | headers={"CF-RAY":"a29426a17df72717-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 11 Aug 2026 03:28:33 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=g96brZ5bVNw96k4bpi8vPcCbYfeXqSqJdG5SXyfdupBMAeFhnPXBHsplxfJ5SU%2FbKyqkoMVL%2BSGH6D4jFTQzsjCvyvhISKI9cfIcKTsGzRMfTYSWwkMWLFhXeM4H4yCL1dvgSw8vbozybZEVDw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"eLQZiMafQaWqBKZVYqVb7A"} | body={"success":true}
2026-08-11 03:28:33 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-11 03:28:34 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=309.9 | headers={"CF-RAY":"a29426a38d160f1d-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 11 Aug 2026 03:28:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=jsSRP7IFB0pUwExnG2gmJcdZB55Rd3p751SHVn%2Fq0lE2DHkbqDylL9tNlMkYOdzBLkMNhhx1DjknENP4lo4jVA80T8lpk9kp8fAUeJ6PSPUpqGy%2FDW9HZ%2BZUavqA17zalHrtdJJiVNVtBiGXjQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"zx2CtHyqR3i6MsSdljLL4A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 0f5f3b7e.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-0f5f3b7e","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-11 03:28:34 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-10","checkout":"2026-10-12"},"depositpaid":false,"email":"api.4689af95@example.com","firstname":"Api","lastname":"Guest4689af95","phone":"01234567890","roomid":4}
2026-08-11 03:28:34 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=255.1 | headers={"CF-RAY":"a29426a52a260f1d-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Tue, 11 Aug 2026 03:28:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=gifBOUh2nR0O1cN92y9VGjkNNU4zwUCmlDqKk8ON012b4ILbpltt8Txg7DxCn7Kh0zFdkJb%2BF5DnKCS%2BlXH7YlWQZ15VJ3hEteSEMTqlFG542GkmwMgnTm8rWmquRA2T54laNJilGtBbRFmCJw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"k9thKleGSn-bMdAZnpoFkQ"} | body={"bookingdates":{"checkin":"2026-10-10","checkout":"2026-10-12"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest4689af95","roomid":4}
2026-08-11 03:28:34 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-11 03:28:34 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=256.9 | headers={"CF-RAY":"a29426a6cb122717-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 11 Aug 2026 03:28:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=kmU4%2BLAkxug0iXPqULEHbh6zyUk9xQWf9zE83ZIpJZwxS%2Be0H4n%2Fldt041Bo9K03vR62WZ8QkrcUwAonY%2Fhe2v4QAJQsVUAHXBrL7IVmNV7GkZaTq1sn4Z5jDqIIQhkXB%2FJHcrJYN7HbHjcS8g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"_nZh7AgBSXOwGOcTljLL4A"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-10","checkout":"2026-10-12"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest4689af95","roomid":4}]}
2026-08-11 03:28:34 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
