2026-08-13 04:03:08 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-13 04:03:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=261.0 | headers={"CF-RAY":"a2a4d40888dfc667-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 13 Aug 2026 04:03:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=dp%2BXJG3U4f5rCNOcGQ%2FiqtnXLC6iMfiO7%2BYJgBi7TfzIS9NdSS71HhYM5j8uy4OILJp3SR3TUyhiRAHlsTq7vKZHNLOINRt7w0wsbDZCMKAfdjnDbZNV9oimj2LYRJVxiL6eO%2BMWAAFC85hbjg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"fe_JE6YjQJycJ7zNLPU1MQ"} | body={"token":"<redacted>"}
2026-08-13 04:03:08 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 16663174.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-16663174","roomPrice":175,"type":"Double"}
2026-08-13 04:03:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=279.0 | headers={"CF-RAY":"a2a4d40a0d79c667-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 13 Aug 2026 04:03:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=FMOzuXKYYa%2B7CfMD0BoV7gr%2Fw9lTR2mVoth3Lz8RNTPz%2F3icjs2HVA3Nq5ImePq8SotDMd44NW3UnV1PFklbLbws9hcgzRjjFAuVuKlWYNw%2FufuMEf7xS7DzjEtom0tyGgK3nTGiQ7giHt43TA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"rm5E7lc4QWyO93GrLPU1MQ"} | body={"success":true}
2026-08-13 04:03:08 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-13 04:03:09 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=252.1 | headers={"CF-RAY":"a2a4d40be8811ee4-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 13 Aug 2026 04:03:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=n4wo3QAQh61RpPeXnCUCe4nYEFPllkCD7rqDiVW2vO9YlY0mGVP8T239a%2FuWVb0LSyaBzHmXq9odO5GAQqJC76mVYKMQ1mC34DKa9l7vASD745YxzP9c%2FHGC7VYQ3jfoagodPnlHr4wHWv8ZWw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"NdOvtuHBSHa04SReLPU1MQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 16663174.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-16663174","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-13 04:03:09 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-12","checkout":"2026-10-14"},"depositpaid":false,"email":"api.9075a725@example.com","firstname":"Api","lastname":"Guest9075a725","phone":"01234567890","roomid":4}
2026-08-13 04:03:09 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=399.4 | headers={"CF-RAY":"a2a4d40d5c631ee4-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Thu, 13 Aug 2026 04:03:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=NOZ2Z7BbA1FThLcjaK0d9%2BCNVMz6hVn3wbO6kGfHLrpxaZuYalM7VXIBbXT3l41oxzgDH3zB7N21Zv6y3kYD5qPFTHskzT2CLm91g8oUTYGZto8syrPw1ckdI2kQJZsAYnseTeVza1uy9vzVLg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"ngGYAB7VQCaw_M9H9fVATg"} | body={"bookingdates":{"checkin":"2026-10-12","checkout":"2026-10-14"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest9075a725","roomid":4}
2026-08-13 04:03:09 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-13 04:03:09 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=245.1 | headers={"CF-RAY":"a2a4d40fde62c667-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 13 Aug 2026 04:03:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2Fafw%2FCOKISEl8DBQf%2BXeoYtoq7G7nWO5TamL9e7%2BVRR3IKc0wWX%2BJ4Kr80pQ3URtjSrd4KB4QDgZyV9FLpKmsf1jR3UQ7sScJ6E9tK6hEl1ZFoyUjIRZ1nf8qvM%2FV3IeqAObIWGYHlwPro56qg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"_hJg8qLKS7i0VGCqY53eZw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-12","checkout":"2026-10-14"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest9075a725","roomid":4}]}
2026-08-13 04:03:09 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
