2026-08-14 03:59:38 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-14 03:59:38 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=508.1 | headers={"CF-RAY":"a2ad0c48eaaee417-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 14 Aug 2026 03:59:38 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=hUukFaYR40i3DFc4o7%2Bk68HEl07Ae2eTN2d95oSclyJK31toUVmnoSkdVVdA01IcN9v8WWyGDlXWiOUc%2BX86utmYqCYbghsb5gKaCIqg%2Fvm2Q1N7%2FHP7bCpYT9oD1aMwf4IHF4%2FiUdurBZu44A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"NknD9Lx4QRGs-4e1-_9nXA"} | body={"token":"<redacted>"}
2026-08-14 03:59:38 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room e8bec18f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e8bec18f","roomPrice":175,"type":"Double"}
2026-08-14 03:59:39 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=315.5 | headers={"CF-RAY":"a2ad0c4be9bfe417-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 14 Aug 2026 03:59:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rQ6yfwPXYTDHYIs%2B8CqA6PGsSTx9CR6wEhICKxm1gEWdBZWwLcpVMPz9%2Fysj8AwUXmbcitx5%2FT9GSvyq%2B5SzwxAjHV4vMKrjb0q32kZUMT9igL7y%2FKkLGrobv8dWnogIAUOqZVXl2IqgqG9Dvg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"zlnuWMiQSmayCoCh-_9nXA"} | body={"success":true}
2026-08-14 03:59:39 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-14 03:59:39 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=463.7 | headers={"CF-RAY":"a2ad0c4e19fe2339-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 14 Aug 2026 03:59:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=NX%2BtJMtiblWvr8zmF7CWYmjBZNmY65RILqDxSWREM5MsYi4amrFPddukzHy4gEV3Kgrua%2FuLo121Qfk1WRdklGsLcq6u9FUfbzgf5c25MGlms6F7nO3nhCbnxOvf4ptZY2kRTM9aWoaXPC0O3A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"gFxmJOC8TaWZ0QtfLPU1MQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room e8bec18f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e8bec18f","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-14 03:59:39 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-13","checkout":"2026-10-15"},"depositpaid":false,"email":"api.eb68aef6@example.com","firstname":"Api","lastname":"Guesteb68aef6","phone":"01234567890","roomid":4}
2026-08-14 03:59:39 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=248.3 | headers={"CF-RAY":"a2ad0c50cc162339-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 14 Aug 2026 03:59:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=cmG45iV9T1dBr9pseUuGolQei%2F3Idf3E9pp8s3JY4quUyr3RhjBZSOAYjyn2IwovFkX2DomHYetXQqKEX66x3j14mCDheGs0DNlzLD0LJGtVsp71%2FHdPD%2FsibKG1X1%2B8t9YWvk2N8v5lMx6BoQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"PM9-3JcAT5OcHuxV2h0iww"} | body={"bookingdates":{"checkin":"2026-10-13","checkout":"2026-10-15"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guesteb68aef6","roomid":4}
2026-08-14 03:59:39 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-14 03:59:40 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=271.7 | headers={"CF-RAY":"a2ad0c525861e417-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 14 Aug 2026 03:59:40 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2BciFLUUKQzfCla9eqTez7GMssbhRg3Bu5sK2TjxbfJYJS7NwMO0QmF2SiTNidj3kexC5yfIRE8618kfXmf7ooQ4H4593Sksp%2BU02jaQrZ70aihakv2xv6zb746uxdvwL4dZ6tOrys4QJsQRkrg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"IW_COExwRquKRc_R6WHkDg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-13","checkout":"2026-10-15"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guesteb68aef6","roomid":4}]}
2026-08-14 03:59:40 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
