2026-08-15 02:45:38 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-15 02:45:39 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=416.2 | headers={"CF-RAY":"a2b4dd46ad2edf26-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 15 Aug 2026 02:45:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rqO%2BMBI8vDo45C0PAhwm0Hlh8y59Ne1uMRuTZDT%2FhwQnyh9LxULpjDKj4AKO4iOK9KumrGg9TlAEuAdNqDAnw4g3yrZ16s5QzyCuvRnQSe63mNUnyGJSAMtdgcHoTTZFcOXZHHstIjR2liEP2w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"7HtdrS7JQV-I0QIn-_9nXA"} | body={"token":"<redacted>"}
2026-08-15 02:45:39 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 2d307ea2.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-2d307ea2","roomPrice":175,"type":"Double"}
2026-08-15 02:45:39 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=382.8 | headers={"CF-RAY":"a2b4dd491b9cdf26-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 15 Aug 2026 02:45:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xosKCVUERFVquYoNlU1IbURPWubToGlwe8CogSSbXRhK7jnE9vSSJ%2BQZDaQIrYZ2noI9%2F5yLBKB%2B0YKIWBY7fJ9ePWdRKZkpAGtPU6ZoqgYFUndjNQgVtgtRWF7JhOVtci9qCZ8%2Fs4lmxLE7qg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"pRd2rLrxRLKqMvb0jq4OvQ"} | body={"success":true}
2026-08-15 02:45:39 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-15 02:45:39 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=226.7 | headers={"CF-RAY":"a2b4dd4babd1f4d9-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 15 Aug 2026 02:45:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Y%2FHKJBVNOHU0Y9vjGhYwqwF7BPvrhEtnNe84ugMHdcL6VTl%2F5KJfw%2FIrFFJorRGm1AtxdKIlH30zcP3HOsu8A%2B%2BjLnd0mxGwvR%2BzbTvfz6EBaNrKzSkovns2B81Q7vhDmcHFPyYo%2B6%2F5B0%2Bu5Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"EkGnmt2rT3i5oWApjq4OvQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 2d307ea2.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-2d307ea2","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-15 02:45:39 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-14","checkout":"2026-10-16"},"depositpaid":false,"email":"api.a01b903a@example.com","firstname":"Api","lastname":"Guesta01b903a","phone":"01234567890","roomid":4}
2026-08-15 02:45:40 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=360.0 | headers={"CF-RAY":"a2b4dd4ceeb4f4d9-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 15 Aug 2026 02:45:40 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=qu3KoQ6BtK%2FS7Nlosd73F6B3VwAfW3YKz7Vb202lIrbxJ4AOF406CGCohUYsHhSX8%2B33qh9vz0XtvQ%2FvaWMBsZnVhhBMhth1arvaxZ0s55WQGcrs9bgapHL4N24HZnMmheuizok4OQc02Wx45Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"jaw9gPEbSRWMkRWZ2h0iww"} | body={"bookingdates":{"checkin":"2026-10-14","checkout":"2026-10-16"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guesta01b903a","roomid":4}
2026-08-15 02:45:40 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-15 02:45:40 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=366.1 | headers={"CF-RAY":"a2b4dd4f2e5adf26-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 15 Aug 2026 02:45:40 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=dEfbA34snUUVIF%2FrOaZ2L4et1zye%2BMLmX8XlW408rJamjZkMpLhQKGtQ1WfrplPetuMVRG9euFCqrGIXelUIFY4pvv7HbLDlopFNoF0mPBZ12cnVsff%2Bq5bXypQHLYfSf5a9r8uZFr26eLc5pw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"TtMwV54ITpW4U6JO2prcFg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-14","checkout":"2026-10-16"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guesta01b903a","roomid":4}]}
2026-08-15 02:45:40 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-15 02:45:40 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/booking/4 | status=202 | elapsed_ms=199.3 | headers={"CF-RAY":"a2b4dd517d94df26-SJC","Connection":"keep-alive","Content-Length":"0","Date":"Sat, 15 Aug 2026 02:45:40 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=KvB36CAQQYJmp83ySfJRS7Ce9AYpnw9yUZnMyqTOCtpPRT1ixiBuDJNHj71SmHys7N8VcLw8lBWevibsohUaXQDY%2FRfjX5Mi%2BXQEDwucqHM8uh%2FoRLCQivGcJtHJX%2F7DNvyJBPfXWp9M1vXmmQ%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"Rjyru0J3RNieC2ui2h0iww"} | body=<empty>
2026-08-15 02:45:40 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-15 02:45:41 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/room/4 | status=202 | elapsed_ms=209.0 | headers={"CF-RAY":"a2b4dd52b917df26-SJC","Connection":"keep-alive","Content-Length":"0","Date":"Sat, 15 Aug 2026 02:45:41 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=z6CDPCnWSEldiur35DvQAJajalfPYdXp7MI5Oh9IrWsaFcF3K8e8BWzVV3wV%2BenMXVbZf64Z05pl0U7c%2BJiNd7D1Mna%2FH33nUgqIANgHtVdJly5K4AjELnAI6WMK8r27h4cP1XQsWwBwAo%2B0LA%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"Ov7IBQILTkKw0Siqjq4OvQ"} | body=<empty>
