2026-08-17 02:53:37 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-17 02:53:38 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=467.7 | headers={"CF-RAY":"a2c563b65c42a5ff-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 17 Aug 2026 02:53:38 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=zvpB924nsPAlaF4fW70%2FBmNkZ5UKdoG9SsZDVNcFcU20eaH%2BJuuJLgTZ%2B8r60EuU2sh0kG1G2BjwEKCroFnWpTQui1%2FjAw2%2FCv5zhGIk%2F1UyvLxeooF8CNhnnui7X2dKHBiCYsWIpjevvlXLYA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"FbagIqVrRwm4AQ4A9I3ezw"} | body={"token":"<redacted>"}
2026-08-17 02:53:38 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 95611f7f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-95611f7f","roomPrice":175,"type":"Double"}
2026-08-17 02:53:38 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=279.2 | headers={"CF-RAY":"a2c563b91bdda5ff-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 17 Aug 2026 02:53:38 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=qzPCiEgoE0W1U4lO01sXIqJgeQbRAU6JONBI%2B26U%2BkHq3T8L3IXBE%2Be8uWPMLdTTM03Sye6SaMNnSd3BReU0h0O2JQUz3vrrIXCuYlrxpvyHPplSMfu7L49g8tiknAMjSp81lt8Dtp35V8pm6Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"pNY_ccAKQkqsbQDl9I3ezw"} | body={"success":true}
2026-08-17 02:53:38 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-17 02:53:39 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=691.2 | headers={"CF-RAY":"a2c563bb09da1d4c-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 17 Aug 2026 02:53:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=1aaVziYGH%2FcXArcNcrxIwtpvJK9SeO6%2F9nLpQutkNjWAgbrtDWpi83DitKMD4r1bd6hkMEJ0Vz2Qk0KiXgptoA%2FjZlpx6gcWB421OgNk7FTSHYdgeowMhnDF4h%2BuUhlZG1NTNgP5T%2BvlIWMNlg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.48ys","x-railway-edge":"jfk1","x-railway-request-id":"Asskioj3SHyZUm2jnPRhug"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 95611f7f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-95611f7f","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-17 02:53:39 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-16","checkout":"2026-10-18"},"depositpaid":false,"email":"api.fbccb85f@example.com","firstname":"Api","lastname":"Guestfbccb85f","phone":"01234567890","roomid":4}
2026-08-17 02:53:39 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=579.1 | headers={"CF-RAY":"a2c563bf2d731d4c-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Mon, 17 Aug 2026 02:53:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=O7EsHAQZoWhAfAUdoOwVlZML7kEW%2BxzXaHJEdCVvPzeCfWKOkyEnSJKJLbnel86ZDA2Te3aqrIHiXsALtooOoEkos0kfWZvtZKCFcNcuWifg4qmPK059uSvoOgGlYQCum2aK0Q22F5%2B8hILeTA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.48ys","x-railway-edge":"jfk1","x-railway-request-id":"88R-aGY0SgqGjH2nY53eZw"} | body={"bookingdates":{"checkin":"2026-10-16","checkout":"2026-10-18"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guestfbccb85f","roomid":4}
2026-08-17 02:53:39 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-17 02:53:40 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=450.5 | headers={"CF-RAY":"a2c563c2c90fa5ff-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 17 Aug 2026 02:53:40 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=NNsRigKeJ%2FGmAkrsAjc6M%2FINwbiWRgmj7rlyaTHmX1JdgBQrVEdg6BLb3Ft3GmvVdjT3Mj9UM3HmA1Gmcsbx6TDeTL3jLDB4squgabozZwdnzPGRoJvv0rBqANEc0LT2F9nDP9SmN4hkycPXyQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.48ys","x-railway-edge":"jfk1","x-railway-request-id":"U3k6lTBSTe-NqlDF2h0iww"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-16","checkout":"2026-10-18"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guestfbccb85f","roomid":4}]}
2026-08-17 02:53:40 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-17 02:53:40 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/booking/5 | status=202 | elapsed_ms=255.1 | headers={"CF-RAY":"a2c563c5a94ea5ff-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Mon, 17 Aug 2026 02:53:40 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Hic5mQx6wguDvJGhswEhQA2jnoKoO%2F2B60g5KL2xybRcuEdGJuLfUQXiWF4jrv%2F%2B4DPUJC1tsZo2MaTRijun6vnvgKuW%2BhxF6JdO6AkbbqfJujfPSWx%2FzsetVvlgquHIjGmzvvcBjG2ZPp7piQ%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"xXfIdn91Rq6Kf7QfY53eZw"} | body=<empty>
2026-08-17 02:53:40 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-17 02:53:40 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/room/4 | status=202 | elapsed_ms=269.5 | headers={"CF-RAY":"a2c563c73dc2a5ff-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Mon, 17 Aug 2026 02:53:40 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=AaBHRug8KXdw2x5NyB%2BbdDrRGWqWSVm8npmWPH6%2FxSYZMoU%2FhFL4fv8xzi%2B4ncesk6aVeaDX4Tp%2FNTt2VtsASrdt3V13jR0N%2Bv%2BousnJLyW9CVQ9nSWpA0dHSltN0dqSqrsGzDw4%2BxR5lyv6nA%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"jfk1.48ys","x-railway-edge":"jfk1","x-railway-request-id":"LGJKhSebSWOFIeRDnPRhug"} | body=<empty>
