2026-08-18 02:49:58 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-18 02:49:59 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=448.3 | headers={"CF-RAY":"a2cd9bbf09f1d6c7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 18 Aug 2026 02:49:59 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=19%2BNEP3xOYDpNwz8bY1QRDC6dCOws8ehxly3xxyCjn%2FVp21eK93NUC0HbULYVN0PY3WGCkEBNhITTscNh6I3JBcbT2H7scKxtQVXGRzE7pjnzo%2FZedBjxArjcNbk0a%2BKjz3seg%2FEzMSdjxmqtA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"Y86ETkgnTna9HAFNn6XIxQ"} | body={"token":"<redacted>"}
2026-08-18 02:49:59 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 98684b6f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-98684b6f","roomPrice":175,"type":"Double"}
2026-08-18 02:49:59 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=273.1 | headers={"CF-RAY":"a2cd9bc1a906d6c7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 18 Aug 2026 02:49:59 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=GIE7ZSAKmmNiJ9OSVoEQAuATRkkS3E0XRGLYJPQrPnHM%2BfwnPGzGobDCJo5ZkGJnY2N96XdsIeBpfGXFe2V%2BYNdDZqzd4KhcepXZmDAi0WlcHWBxYMZCGRuXuJs81QYah5OAJ20HHZ1NsdCfxQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"tNd7_hUNRSymr-Qt9o6EoQ"} | body={"success":true}
2026-08-18 02:49:59 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-18 02:50:00 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=626.4 | headers={"CF-RAY":"a2cd9bc389adc980-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 18 Aug 2026 02:50:00 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=MKz%2BDEeEY%2ByZBOiEEdBjlyF8%2FG9J4tD8twunpQTpwRzSHBMueB0lQLlBldwgiYkt6zYNBtYGvXjV4h5hVKUvv%2BidPjHhvFDN2%2BZvWF9%2FN%2FMaLemjhrLamh9BjbW2VrptmgbXg26lM%2Ffimumm7w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.cv40","x-railway-edge":"jfk1","x-railway-request-id":"gWaktaXJQW-RIYkVlt7tkg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 98684b6f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-98684b6f","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-18 02:50:00 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-17","checkout":"2026-10-19"},"depositpaid":false,"email":"api.76edea93@example.com","firstname":"Api","lastname":"Guest76edea93","phone":"01234567890","roomid":4}
2026-08-18 02:50:00 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=602.8 | headers={"CF-RAY":"a2cd9bc74a54c980-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Tue, 18 Aug 2026 02:50:00 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=4Iy6%2BVzGWt4QqNR40jOkIfZctOXIVYtU5xbgXz4ZcdGoW265cumpZufNSysA%2F85XWDFijHkscn3krXnJH9X87RLu%2Bq2GyWiF0s2q2RVwyiZK5Qga5vIYigQVxX4B%2FNrBCgwrH9YqxFxV%2Fw7A2g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"jwAd9jg4RLaAsS5b2h0iww"} | body={"bookingdates":{"checkin":"2026-10-17","checkout":"2026-10-19"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest76edea93","roomid":4}
2026-08-18 02:50:00 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-18 02:50:01 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=616.1 | headers={"CF-RAY":"a2cd9bcb1c21d6c7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 18 Aug 2026 02:50:01 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=WoD616R9%2BtYuKmaAITeCEpc9Flb2nN4q4uw8o2Bd7dQJT4R6r6g9FQ8KQuuMF9D3VSFPMQZ%2BZsoKfexl60QrRi4ejQZr2PQ1meaT95%2BHylZLMWpJvZ%2BqVNp5uJVN8xgcV5Pso%2B6v17XuRlbcYg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.48ys","x-railway-edge":"jfk1","x-railway-request-id":"kPvGQjJOS8aA-jc30_TJvA"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-17","checkout":"2026-10-19"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest76edea93","roomid":4}]}
2026-08-18 02:50:01 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-18 02:50:01 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/booking/5 | status=202 | elapsed_ms=416.7 | headers={"CF-RAY":"a2cd9bcefe9cd6c7-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Tue, 18 Aug 2026 02:50:01 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=r3ZLvykrqf2oRPOOCOGwltjm22wMazPU6%2B4UU14LxhR4NEWK3d0JWIak7joGZCXQnxeC%2BQ4sfNf%2FrYhX%2FLvWD26wkkNEC46Czd%2B2SUjPwqyo0mkcXUy6V%2BgfE2%2ButRSM37e0kRa17pUJVl2ipw%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"jfk1.48ys","x-railway-edge":"jfk1","x-railway-request-id":"_312QRvhSXuB2dVLWUN5dQ"} | body=<empty>
