2026-08-19 02:51:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-19 02:51:27 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=465.4 | headers={"CF-RAY":"a2d5db472d3ff6c2-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 19 Aug 2026 02:51:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=qU%2B3hdzBUvzlnKJucWuttgauWBEArd0JII%2Fl5wwt5N4NVNq1XhTDXIXLYGSQaUgR4qrwr%2FvijqjlB%2FBGnRjTKRViTZCPX4S3n60PoYz1VijOOw4HO6DNJNprg1fiZoWe7pSAieGelMNXcULxDQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"8HaqkGvKSCuXPXtH2h0iww"} | body={"token":"<redacted>"}
2026-08-19 02:51:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 21931e56.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-21931e56","roomPrice":175,"type":"Double"}
2026-08-19 02:51:27 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=297.1 | headers={"CF-RAY":"a2d5db49dd07f6c2-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 19 Aug 2026 02:51:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ME5Yti%2F431XU4wTmi3etRr4pgOYJYYObFuk%2BV1m%2FLXXbhear%2FmNbTwTBfbDbqCyeEbdwAUwIo5Pn8UD84wauGUWGceEHZurXd%2F5m7rVxMAjsR60E58HJ7yBd80yRYYDr61GLMQCrKQqqDTXhng%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"wsSOdCf-QTaAdLV52h0iww"} | body={"success":true}
2026-08-19 02:51:27 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-19 02:51:28 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=486.9 | headers={"CF-RAY":"a2d5db4bff8db163-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 19 Aug 2026 02:51:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=cxzx%2BbSUaus%2BemT6y07nvgql1FcihKIElB%2BZBQ9thDg6VVterenVf1JkRaHPL%2BX%2FWg8td77UOuYYJ%2BOjKZ7jv6vzTs5CaoUJiyDVdune0UjNJz304a2f3ULEG%2Fj1PAilixi%2FY%2B14Sv6%2B2txt%2Fw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"JUjF4bD2R06CuGXGCYBc-A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 21931e56.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-21931e56","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-19 02:51:28 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-18","checkout":"2026-10-20"},"depositpaid":false,"email":"api.0f0b34cd@example.com","firstname":"Api","lastname":"Guest0f0b34cd","phone":"01234567890","roomid":4}
2026-08-19 02:51:28 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=272.9 | headers={"CF-RAY":"a2d5db4eca0eb163-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Wed, 19 Aug 2026 02:51:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=CWtwkawD3JjMpaIkbejQYFyHfID2gfmIs4FxPHSGIWWrFWIy0slaFcUr3CQ2SDxVcs1XgBlYIsxn82H7bp0BTvYptTTUL5pQgyVkqM8ZWoWSs4E6qhZCJIcad3d4umYI8FVp0GtvQkfAX1Criw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"D1SWceceT9mN3YBHxtoGcA"} | body={"bookingdates":{"checkin":"2026-10-18","checkout":"2026-10-20"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest0f0b34cd","roomid":4}
2026-08-19 02:51:28 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-19 02:51:28 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=281.5 | headers={"CF-RAY":"a2d5db5079ecf6c2-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 19 Aug 2026 02:51:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=S5Pe35iZpBW%2BfLcDR4alVovCunSmaNiFZ7DKNdDI45zkB%2BX1%2B1y%2B1cRPU4uaQCe6qa4u%2FAWywgvyjeuo3h3cak4SbbXbvuL6A0goq9eI1po7hu8RJK%2BX4G3OCCC%2BavQF%2FXQSDdkY8QOZNYCZ3Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.aghq","x-railway-edge":"jfk1","x-railway-request-id":"SnrnOpkMRXaumxBW2prcFg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-18","checkout":"2026-10-20"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest0f0b34cd","roomid":4}]}
2026-08-19 02:51:29 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
