2026-08-20 02:51:01 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-20 02:51:01 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=439.3 | headers={"CF-RAY":"a2de18051cae78eb-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 20 Aug 2026 02:51:01 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=O8otOYXzczhF93NEzln%2FHFv5hjFmnCfXWJxC60Iai7EnmjRw97F3CBTAgBTUe8n4vhQpF6Hyle527y8mzk4P1Zu4bDSSiv%2FmfXrRqJEYhL5ti65hPQEY8QPGXlZi7zZAuxQnA5BrAOdiziiFXA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.sx7j","x-railway-edge":"lax1","x-railway-request-id":"C-8jiz70R--aS7gXpHNmDw"} | body={"token":"<redacted>"}
2026-08-20 02:51:01 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room d54cc483.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-d54cc483","roomPrice":175,"type":"Double"}
2026-08-20 02:51:02 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=560.7 | headers={"CF-RAY":"a2de1807aba778eb-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 20 Aug 2026 02:51:02 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=BvIbjjBb9COToKorr%2FGC68laB5bbd%2BTdfAdEjdj6ZABVDZelwqejoaIjHsv9rp%2Bb7OCLew6jgcQxRGjDWS%2FOuHF5UkkDHH%2F3WVVC0VI%2BtyMytJcq5fHpMwLO327xk0xHSiGC9D5fv4%2BLymgIzQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.sx7j","x-railway-edge":"lax1","x-railway-request-id":"2dbWg5o5Q6K8qDo6jq4OvQ"} | body={"success":true}
2026-08-20 02:51:02 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-20 02:51:02 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=291.5 | headers={"CF-RAY":"a2de180b592638ce-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 20 Aug 2026 02:51:02 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=MwYNn8dcbGWrC0aw9NJY%2FnOdhVpuW%2FxOe4FX1jjEyOfF7Cucu4KVHjRuDR6JslzKuFi0MctEzZhWGJqn1rs6VH%2Bck2mzXb1N0R4k17Yw5y6FrfBVDvICvR4bghMZYmB%2BzHwjH%2Fr%2F0Cz9ghe1kA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"S8Y8kexkRrCHTZKl0_TJvA"} | body={"rooms":[{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room d54cc483.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-d54cc483","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-20 02:51:02 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-19","checkout":"2026-10-21"},"depositpaid":false,"email":"api.8ba60715@example.com","firstname":"Api","lastname":"Guest8ba60715","phone":"01234567890","roomid":4}
2026-08-20 02:51:02 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=231.2 | headers={"CF-RAY":"a2de180cff8f38ce-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Thu, 20 Aug 2026 02:51:02 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Wsrl2fV2m5KNjiUA98jZWNIkNLdDMgWbKYWkx9weeHtLUY32b4%2Fzm9OOX%2BLKwxf3lKL6SwN3T4FStIHPuDLlnaQqn7ur4xhoBL2AoZNi3zwBr3wv19b02cXdHp7%2FFMN%2BHZt8I%2FY1lXsI7uWlhQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"eXVia5fWQl6D_m8NY53eZw"} | body={"bookingdates":{"checkin":"2026-10-19","checkout":"2026-10-21"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest8ba60715","roomid":4}
2026-08-20 02:51:02 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-20 02:51:03 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=289.8 | headers={"CF-RAY":"a2de180e7e4a78eb-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 20 Aug 2026 02:51:03 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=RB2S%2Bnd6oj%2BiLDwjD%2FPaE%2FHBeHmonPGsXrCFz2fmukGxEWIMlxxfTHXWE6DnHsSZ86JQda0hcRza5XxOxOcjxJVZYguzRJ6AG1txqblDEIufGeyARiGxsoB5h1hUPX0OJsUmsod%2F3vrgf03hQw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"wcUQ7pqnT8OYiD8OY53eZw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-19","checkout":"2026-10-21"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest8ba60715","roomid":4}]}
2026-08-20 02:51:03 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
