2026-08-21 02:56:29 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-21 02:56:29 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=303.9 | headers={"CF-RAY":"a2e65d67ea4ae7fe-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 21 Aug 2026 02:56:29 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=U7nJgdkE6ypQQsOWjjE8UB%2BoP7adlzpqv6G%2BwQEZ1qYKJgoL9Nunb1Mv%2FLwUBbAY3KTWZ661qHAG7OEtzTteiVS0V8DLoODwpUQ%2B04VyxLkXnNDm3PUURGieFQ40kLeIyi9oGYKiMXBN%2Fxqqog%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"U2UnMlvbQGOURu4WnPRhug"} | body={"token":"<redacted>"}
2026-08-21 02:56:29 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room f5719989.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-f5719989","roomPrice":175,"type":"Double"}
2026-08-21 02:56:30 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=590.0 | headers={"CF-RAY":"a2e65d697dafe7fe-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 21 Aug 2026 02:56:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=pqbP1lkWTNmfgHEOQtgs05SQCbqsvoy9Sr0LzY9Vb4mBOD4BNemB82EO2rQdNo77bA2rYQpccmWzeFgyrjKkBQUio8FujPQ6o4hAnT7tYXR3Rjcrec8E5JGeBGGr292ENwRcHtjh4vuujUyamg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"1p4mYgBXTvGiVqAdpHNmDw"} | body={"success":true}
2026-08-21 02:56:30 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-21 02:56:30 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=472.3 | headers={"CF-RAY":"a2e65d6d7fc91413-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 21 Aug 2026 02:56:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=7fDFzLutO7kKGmx%2Besz1I9UF6rlYVYexBIiuSijNisuzqgcWvd9hAZGihktxA6twI90ccZqs3VuMMsUChb8E1JWDCab%2FDWRLpFH6gSCsmZFSItAZAhBUTtb%2Fn1K3FhiFX2ZK5rRXp4yQqFbpLw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"_77rG0ENQA2ijDyqCYBc-A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room f5719989.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-f5719989","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-21 02:56:30 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-20","checkout":"2026-10-22"},"depositpaid":false,"email":"api.85c2654c@example.com","firstname":"Api","lastname":"Guest85c2654c","phone":"01234567890","roomid":4}
2026-08-21 02:56:31 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=605.6 | headers={"CF-RAY":"a2e65d702bd81413-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 21 Aug 2026 02:56:31 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=yNKO1nKykw9%2B80jd4l7qcVLgOxSNhKNj1IV0Po8Rcy4bkkO2hAVS8CyImYMxRIFInY8%2Bnz5Zdd5kGAMja4UjxxlSf50NrnVjv7K4gWDHXDwqgopWqIX9wcuiYYG6lj%2Fjc1vzcN61XbH7KUfYtA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"RwsyVW77R_aHighh9fVATg"} | body={"bookingdates":{"checkin":"2026-10-20","checkout":"2026-10-22"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest85c2654c","roomid":4}
2026-08-21 02:56:31 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-21 02:56:31 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=282.4 | headers={"CF-RAY":"a2e65d73edd3e7fe-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 21 Aug 2026 02:56:31 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=w6ip0jHtZSRE9DlZYWd3HCnQc01uqNeT2wVmBMoy0yM%2FQyMA1%2FGKhv31AGIusFLhjgjjnJS8Va6PwmXWrWKP7z%2B7Rr5DT9Bx0xOvujQhthgw280oM6WKF0GH5FRptUVxoBWhNOLQwkeB%2Fs33QQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"5ooeE3JgTjiEUmlgnPRhug"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-20","checkout":"2026-10-22"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest85c2654c","roomid":4}]}
2026-08-21 02:56:31 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
