2026-08-23 02:56:22 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-23 02:56:23 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=413.4 | headers={"CF-RAY":"a2f6d7fe38f8b8b6-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 23 Aug 2026 02:56:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=TER01BMq5fq1%2FNzvJuCfby5%2BQtyMYDLeFjSL%2FH99nHdJZmW0XHcCFaRDGQEvE%2Bv36UXzEq16zwozOiRcLpEhrlWZyi7oTuoU6ST5Smzmo2LMZ0zdi9jWIeuAEeufkh%2B7X8rsAFRh2Z4oZW4bkA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"vrEz1j5PQYmPDA7dJH0Vcg"} | body={"token":"<redacted>"}
2026-08-23 02:56:23 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 3ab4c291.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-3ab4c291","roomPrice":175,"type":"Double"}
2026-08-23 02:56:23 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=426.2 | headers={"CF-RAY":"a2f6d8009f33b8b6-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 23 Aug 2026 02:56:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=BOk30oZ5W%2Bpz%2BW4UhpRkyjusW3FyFXMpV7VUqnEbAhH7keBhKXuiXd07hdTCC%2F6M%2BPKBpe0n29F58an5M60x8h6j1JEPZ01hG0rgNcbS%2B6ZRvcaR5UFpBPNDql%2BigxMHJ6pQbc%2FjRC%2F%2B0UWzTA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"57F2StsuRHC3zPMxJH0Vcg"} | body={"success":true}
2026-08-23 02:56:23 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-23 02:56:24 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=552.9 | headers={"CF-RAY":"a2f6d8037b83f591-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 23 Aug 2026 02:56:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=j0sqKebNNvxO6geRCiIq9DbPSr5%2F%2BCUkEcgWNtkxLFX71wWWBbanuvCV7F2YsXeh0%2FRXw%2FqriVDfozW4N0x0EktbqP76MkEfoqyDuVO%2FQk2CZMhKp3y7PkHPzU9whUkatErUz737jijO9Lq1NA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"I18lueuoRd2Rt__ooB_USg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 3ab4c291.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-3ab4c291","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-23 02:56:24 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-22","checkout":"2026-10-24"},"depositpaid":false,"email":"api.5f1b2570@example.com","firstname":"Api","lastname":"Guest5f1b2570","phone":"01234567890","roomid":4}
2026-08-23 02:56:24 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=372.2 | headers={"CF-RAY":"a2f6d806ba2af591-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Sun, 23 Aug 2026 02:56:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=YXu2wp82%2Fk%2FSkmwGofsTdyB8w8zVNQAgBwb7aGWAlmRc6TYJ0PjsWRwYzrYJmfu%2FGtj2fml6tMA68Ip12oF0XgBUTaomBi%2BQS3MD1X4BeCKXNh1j55Bl7J%2FMMW0WEqC9Un8hCbipuxCn8DlBZw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"pbj7CkNHSUmG5bfPoB_USg"} | body={"bookingdates":{"checkin":"2026-10-22","checkout":"2026-10-24"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest5f1b2570","roomid":4}
2026-08-23 02:56:24 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-23 02:56:24 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=380.7 | headers={"CF-RAY":"a2f6d8091e26b8b6-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 23 Aug 2026 02:56:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=EPJr8SEGrhKa%2FTpmQNP%2FtWF6qbPw5Ndq%2BK0FyZFnUCZ3iS2xb1rTlQroBwuAL50EjhfoN877qhl195ZcTkFVgO7eH%2F%2FU%2FAFNjD%2FUk%2FB5y8ksT%2FGCwt4bP4feSETZ%2BMKr4PM0ZVWnr1Fz8epzsA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"K9KTFKH3TrKSKerBDcO5xA"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-22","checkout":"2026-10-24"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest5f1b2570","roomid":4}]}
2026-08-23 02:56:24 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
