2026-08-27 12:12:24 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-27 12:12:24 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=257.3 | headers={"CF-RAY":"a31afbfe8a31eb2e-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 27 Aug 2026 12:12:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=CO3FC0R%2FCz6bPgicQsiYC%2B%2FMI%2BfPG79EQe%2BQPy8H7ea8A8AIE4wTQGQND1XK9hi8NU%2F4itgd439Ir9iirTSbBRRzTo9xivSTNXogRBYaQPFUPE4Hdi%2BEPVaADN%2BkiX9tFcew4XAeotPhigUp9Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"BBxqvbv9RheSxc-VljLL4A"} | body={"token":"<redacted>"}
2026-08-27 12:12:24 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 97c40e56.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-97c40e56","roomPrice":175,"type":"Double"}
2026-08-27 12:12:25 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=259.0 | headers={"CF-RAY":"a31afbfffd2beb2e-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 27 Aug 2026 12:12:25 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=nokr8vVJSWRfnltwbih%2BDn%2B7uX3CZ2%2FK%2BlafR2cZ7%2FKLqnWO1JHuxbGYv8V0e2YoR9WHH7pwq75upSYnGdxsYIf9Gby21fBHVFmKpBPS9fALdWJlen2kmo46mbdipZK5gy%2FeN%2Bj3V4o9dnTi4Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"P3mab6P3RPWPS4Rk-_9nXA"} | body={"success":true}
2026-08-27 12:12:25 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-27 12:12:25 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=604.1 | headers={"CF-RAY":"a31afc01cd6fd011-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 27 Aug 2026 12:12:25 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=34roM2GdNch2T62wOr9LN%2F7j%2FH%2FIFqP26Hzxdd2%2B11rtkJzuLjghH3GyIu0a9mU1QUDnTCqtO18EvqxIu%2FZ3%2BjstY4N4SLhAqBIYGh%2FvhqP0KTQ8dR1Y2MEERnaZQmzse0RfFsx%2FYHHRpC2aiQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"kTYig1oNTKyxu3qinpoFkQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 97c40e56.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-97c40e56","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-27 12:12:25 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-26","checkout":"2026-10-28"},"depositpaid":false,"email":"api.645af66b@example.com","firstname":"Api","lastname":"Guest645af66b","phone":"01234567890","roomid":4}
2026-08-27 12:12:26 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=414.3 | headers={"CF-RAY":"a31afc055e46d011-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Thu, 27 Aug 2026 12:12:26 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=KCMUqqWyjUZDADokmekenpKzcxSSEavaZu8PP2ZXATbubL18XqL19xcVYgMUKouRln10XoDqNuRmx47HNA69DGOfKl330HQ0ZFQsThNZbjjh%2Fx7SEJSdrzvTx0hKfxDpcbv0ZgaXdpWUOMgwxA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"BmM-aQ0XSCSyL7Yk2h0iww"} | body={"bookingdates":{"checkin":"2026-10-26","checkout":"2026-10-28"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest645af66b","roomid":4}
2026-08-27 12:12:26 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-27 12:12:26 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=212.6 | headers={"CF-RAY":"a31afc07ff78eb2e-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 27 Aug 2026 12:12:26 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=BJa44XyU%2FpEiJZlKk9E9DSn3EJnwKUNU2F3gY%2FtkUBSH2%2F6%2FkVtuFT80aiSyLlJeFjzuVZDJCg3q4VuDhra1NAxdPfVm00HRl%2FqbV%2Flr0zV4Zx02D3cPNSLjQRKxwJHNw1uWq9uH8eTaPz0eAA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"mVr80veaQG-hrAYWjq4OvQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-26","checkout":"2026-10-28"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest645af66b","roomid":4}]}
2026-08-27 12:12:26 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
