2026-08-28 13:37:19 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-28 13:37:19 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=560.1 | headers={"CF-RAY":"a323b5bf9b4bebe3-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=X8%2Fn0pfgxZETDAOxKy54uI7DMWx1r2zxzTOc4CjPgazMj6p2mLvUHbyz7bTOu4wyxk8eOLRBS3AuKySyHM%2BOPy0wYGzowmCg0EPYg%2FvNj6E9kx140mavmtCwaMeFULn7LeVZ680Z3faZv3NITg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"wGjla_DiScW4yvBTY53eZw"} | body={"token":"<redacted>"}
2026-08-28 13:37:19 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 86237fe0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-86237fe0","roomPrice":175,"type":"Double"}
2026-08-28 13:37:20 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=383.7 | headers={"CF-RAY":"a323b5c2fc53ebe3-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JAiNBISbiWpLLVhIPWTVTcMJEbViCWYZypROFAb2riojVYin759ye0ygUMcA7X5pC3vCu1nsVG4RBWaZB68LQcs1CLj5nxdXfcRtUIT%2FFPGjbRCJFuGLXt8sk5veNyeIbgq8rX40AZs0JAikTA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"W_yLg5qFTnSbVQN5CYBc-A"} | body={"success":true}
2026-08-28 13:37:20 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-28 13:37:20 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=574.6 | headers={"CF-RAY":"a323b5c58b3a235c-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=043FJ9DowJu8cCkxaC5YdSk2hJKiwkJBfgSLA1PDfDVlplJCI3TrKIyGi9xc0P3iVM0TtYDP7ukKu36nKsicRtPvbMYDnGy%2FYD67phnxLJHnrFRfCH83b%2BayrXmY8pUMywjsGN4o2S930tx2bg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"pSss1gAKRRyknadBpHNmDw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 86237fe0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-86237fe0","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-28 13:37:20 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-27","checkout":"2026-10-29"},"depositpaid":false,"email":"api.54fa60b9@example.com","firstname":"Api","lastname":"Guest54fa60b9","phone":"01234567890","roomid":4}
2026-08-28 13:37:21 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=242.4 | headers={"CF-RAY":"a323b5c8fcde235c-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=PmIY%2FM%2F33GMZRsaOT0ANkWP5NxNjQr%2F9EsZrL0P%2FkXuuaa0xIdtyzBCW2ri622gOryfYUJAtkV7MYsYYXPtBJ3aCRtYrl0s8DcGd4Oy91dv4uQSAgLcMzgJJ6MvMiT4gcvzhpMHBSVifBNM8zA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"bR6v9OCJQPWUkW7tljLL4A"} | body={"bookingdates":{"checkin":"2026-10-27","checkout":"2026-10-29"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest54fa60b9","roomid":4}
2026-08-28 13:37:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-28 13:37:21 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=225.7 | headers={"CF-RAY":"a323b5ca78b3ebe3-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2F3sFcqFhc%2FeyQAvuZKnIR1I7B1kPPhGBNvq9j%2BqtPWdYz6HTRTo3VKLQ2Bqbllt3RX7NlVBrSe5i4WLmkzewU3MzW9JQQ%2Fsem5IrxFFCVdWh6yTGWCb6HnlsdsRJqBGeA5wwqheMS1dpmPWxfg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"KTrqnRJISCuwotdxLPU1MQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-27","checkout":"2026-10-29"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest54fa60b9","roomid":4}]}
2026-08-28 13:37:21 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
