2026-08-29 08:28:29 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-29 08:28:29 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=298.6 | headers={"CF-RAY":"a32a2eba5e78a465-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 29 Aug 2026 08:28:29 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=jYE9azQqRgGaeecoLnVrnXOarO82U9jvWuyE6ZzpGH0%2Bk7BhjBDI8EL09D6zD5S%2FRosP8dl6Bh3KX7PHVLTh8Pep040G3RvdaShEfDq0yOPK3Gceamfi%2BaOlJciavwbH4%2BYjHul8HHI8Mpi00w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"5LotIEsYTgipxwcwO8poTA"} | body={"token":"<redacted>"}
2026-08-29 08:28:29 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room b1bcf786.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-b1bcf786","roomPrice":175,"type":"Double"}
2026-08-29 08:28:29 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=274.7 | headers={"CF-RAY":"a32a2ebbf913a465-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 29 Aug 2026 08:28:29 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=iT%2Fi8wjeUXtCEikkEkn1wBveTLv8%2FjRutvdbIzaZ2T0gjzB7XYAsPZ%2FZszEftxPkIDyKlrUPNoFzrMdMhWJJTR4kANxG4I0EIFDhaa%2BqTw0NMbdAcBYvhHq30B57ysKEI5U3ajxynnSYSYMpgw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"6OGD_SfyTY-dRf4hwoOzXw"} | body={"success":true}
2026-08-29 08:28:29 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-29 08:28:29 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=189.6 | headers={"CF-RAY":"a32a2ebdda7c1153-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 29 Aug 2026 08:28:29 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Jt5ucUOc8kFZBQNCUGZ0mWsjLewFiXWtDTAYs0U%2BwoabDD9neeZ4oa8WNowTZ%2B6kmjUE7GdXScg%2F3q1xF%2BmA2Uxnx1p0XxPKRqjw6FxHXOq5ZiBs19GXtwtGFykqBzZGIZ5kYAZyaeEULjD6EA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"lsqGYdVIRamHLLFFaP71AA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room b1bcf786.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-b1bcf786","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-29 08:28:29 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-28","checkout":"2026-10-30"},"depositpaid":false,"email":"api.f446283a@example.com","firstname":"Api","lastname":"Guestf446283a","phone":"01234567890","roomid":4}
2026-08-29 08:28:30 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=178.8 | headers={"CF-RAY":"a32a2ebeeb1b1153-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 29 Aug 2026 08:28:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=CWHoOWVQ1WKCgWNZl0RMZ885U7DyJIQp2buP0ScDEKoZ%2B6g%2BqUhINz6EkoweABApcsFL16LGzq6Oq20MQ%2B5BmSHM3x8rHP3%2FutoufVW9lRaa%2F5ByJzGUr3hK6h194FQ4TM0cQQQV1v%2B9BSEFsA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"pBnmrUj6Rt-lk-BGwoOzXw"} | body={"bookingdates":{"checkin":"2026-10-28","checkout":"2026-10-30"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guestf446283a","roomid":4}
2026-08-29 08:28:30 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-29 08:28:30 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=243.5 | headers={"CF-RAY":"a32a2ec00862a465-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 29 Aug 2026 08:28:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=iCoMIsY7LSu7gKrdCMv9ptd3QGyM%2FQbkNQbnEmKgZig%2BRiCce81PgLO5wRzcHVWfi0QOE0bUYkzb%2BQKaOGk8iglFcquxW8HZx40tJ2a%2FxCniZxs%2BmgjlYfxLhJmEGoiAvv0olU5sgvkaucaW9w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"J7MZC6S4Tla4b3VAH4GxDA"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-28","checkout":"2026-10-30"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guestf446283a","roomid":4}]}
2026-08-29 08:28:30 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
