2026-08-31 07:56:52 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-31 07:56:52 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=580.2 | headers={"CF-RAY":"a33a7b2b0cabae99-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 31 Aug 2026 07:56:52 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Zo5T7n7EZiidaZvUn9ujSCz8h5TxbyLUbA%2FIqElrOolh1gYjdtw9ej0DS%2BeJGb1WxG3w5wq%2Bkv8BalLGTNLZMUHNxSHxxtqU%2BXsuQ%2FzNNluZq354T9QpYRWVjr9P7D6bj57CbtXoGRU4icdoXg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"WMspC-mnQp69I8rilt7tkg"} | body={"token":"<redacted>"}
2026-08-31 07:56:52 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room a44a81f2.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-a44a81f2","roomPrice":175,"type":"Double"}
2026-08-31 07:56:53 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=406.7 | headers={"CF-RAY":"a33a7b2e8cdbae99-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 31 Aug 2026 07:56:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=mCgc5BnmkHRBZPui9NsR%2F98GsxGYHOQAANQanMzZIvUct%2Bt0L9GnsdmIEl2uKFViuPgKhWmPdo9tK56lXfmip0kr0y6EtHaL66jzGqCOiXDcqXTmj7%2BGOp9gkJ84AP5AhZiqGFkVmOiGTIBdLA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.sx7j","x-railway-edge":"lax1","x-railway-request-id":"pq6BM_8aQYOB4Av2nPRhug"} | body={"success":true}
2026-08-31 07:56:53 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-31 07:56:53 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=458.4 | headers={"CF-RAY":"a33a7b3139289e50-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 31 Aug 2026 07:56:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=SuzyBiu9xvIjSO4VSyp95P5gHbjpGUbbAGGIJDfPUfrtnWQfZVEPOm1tUl9ioewjkK1TIENBTkmQyKRLfzI%2BEiMV7JysxqWaaUH8x9JLzZ9ixdMC6nNzJtZdj0MwRp134e7OyykZ6hanM4Kd6Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"dCeux2JrRYKEtIq40_TJvA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room a44a81f2.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-a44a81f2","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-31 07:56:53 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-30","checkout":"2026-11-01"},"depositpaid":false,"email":"api.d44c7dd7@example.com","firstname":"Api","lastname":"Guestd44c7dd7","phone":"01234567890","roomid":4}
2026-08-31 07:56:54 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=258.6 | headers={"CF-RAY":"a33a7b33fabe9e50-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Mon, 31 Aug 2026 07:56:54 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=bLZlvnQYBAtWbucBV6nemTPkUQxpiTQQgxkDX1tk%2Fh3cYKwOKZ6sHPhiASB3Q%2FgcU%2FCLhRDh15WAX17aVVV2Wx%2F5ip7pg2AqRk6oXgGXUWwZbNKuudk%2BmwI0Ih8aX9W0O2FgT3tpc%2ByntRZAPw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"aEl6F_eRQbKx9U_Llt7tkg"} | body={"bookingdates":{"checkin":"2026-10-30","checkout":"2026-11-01"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guestd44c7dd7","roomid":4}
2026-08-31 07:56:54 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-31 07:56:54 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=222.9 | headers={"CF-RAY":"a33a7b358dc6ae99-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 31 Aug 2026 07:56:54 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=2YzzHu0kkTbCjMqUJ9XEOYS1XUhcOM8faQJy2RKAuj1MsxSM7WJDLEjANx90JwZeOWe7iwN32%2BS5dCH0Rnyae7pYtFJrjr8FWydPIqwrYFVcuA4nYse%2FYt3R4NWFwMFwT%2BKB681EeWoVnNmptQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"7y6DzVELRsin2Q6iLPU1MQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-30","checkout":"2026-11-01"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guestd44c7dd7","roomid":4}]}
2026-08-31 07:56:54 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
