2026-09-01 07:02:42 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-01 07:02:42 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=143.3 | headers={"CF-RAY":"a3426934982ab7be-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:42 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=UKo6%2B7YTGzg8BNjSjnTG6hldurDu6KlJBEud07iZLKC%2BzFPVefyYx%2F9cL4Mjarn8TuXkti7zzAYB%2FpJmcSR1dcX5P9ROMwOOZGJJHYLhXhzu9qT3upOHtHs%2BoGK%2Bi8%2BkgjkRJddCHCa3poFILw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"NDhNiUMMQgWTcUvGwoOzXw"} | body={"token":"<redacted>"}
2026-09-01 07:02:42 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 78e60328.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-78e60328","roomPrice":175,"type":"Double"}
2026-09-01 07:02:42 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=147.8 | headers={"CF-RAY":"a342693559c8b7be-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:42 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=pJ%2B2YyuHdGmYecFGH1Lr34hRzNjV8scLDAVebeXa4L%2F6ptPDccMgLuKhma1LcsTY9Zo7sLWBP87QoilUdQbSDt%2F21%2BTdy1%2BFsoj1JNsdFPVuW9MsgCYyqYUJFvyfcH9EtWpTtgqZSyuy270rQw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"pXZM3zjFRNCBu6w6woOzXw"} | body={"success":true}
2026-09-01 07:02:42 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=134.2 | headers={"CF-RAY":"a34269366ca5ef66-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Zjtmln2zlR3zOdwimlco%2BIuKvCqAlzEWWI0yAT%2BV0CANXIbmLuXckmqqBzFud5p2HvBEJit0U1yzrZGz4nm7MTHOuGjRWD3KLMmGejfUVZycC6mSQyXTlsEXwjnati3mjs73RmzgZGF3WHpUuw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"QbzIWMB5QzO9jHDcU79b0g"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 78e60328.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-78e60328","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-31","checkout":"2026-11-02"},"depositpaid":false,"email":"api.4148859d@example.com","firstname":"Api","lastname":"Guest4148859d","phone":"01234567890","roomid":4}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=121.8 | headers={"CF-RAY":"a34269371e73ef66-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=DIQU9TPOtKEK4yTTW9PNs24Z1Pc5h1q1TabB646jcxMFD%2FlJWmeb81JhUry%2BDe%2FP5%2B9oCiGVYnTJYEBOXK85ddrVbHuFlrDgoTcP4SYHoA8Qw9eG55Z%2F5IooqLm1Sl5Fd5vtXoav9bJUQwrXpQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"c_2Zl0z7TROKe07jwoOzXw"} | body={"bookingdates":{"checkin":"2026-10-31","checkout":"2026-11-02"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest4148859d","roomid":4}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=142.4 | headers={"CF-RAY":"a3426937d84fb7be-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=zqBisfX6ORWFE6AjILh0fEn2BJf6L4vEv9vqC6ojkQ4qL5ySgfueqF3LYrLxMwvv3l8BRnIEj6ks8FCxZiY%2FJLa41o1Xo5tkSNf1XhXWT6wg4LgHRjEE9J0BES7TEivOrPUSRxIcFpYuostVhQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"hlfFirbPS_C3MHlrjVra_w"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-31","checkout":"2026-11-02"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest4148859d","roomid":4}]}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/booking/5 | status=202 | elapsed_ms=115.7 | headers={"CF-RAY":"a3426938ca62b7be-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Tue, 01 Sep 2026 07:02:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=2qTtyBnD%2F%2FE0lQAiB3kQFiL6YLFLvjuXeIUVNLWdXQ7Wzn5fcrv8Ai%2BR21UdJ8YPeeKxraTUifRiye%2FnX%2B2m1jFCuPkU%2Fmh5r2EBW3IFsEsv4EGH%2BM2sncnXvvi%2BBwAFLQPA2VAvMCptnMRqLQ%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"uhZrAw5GQICoTCPJU79b0g"} | body=<empty>
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-01 07:02:43 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/room/4 | status=202 | elapsed_ms=211.2 | headers={"CF-RAY":"a34269398be1b7be-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Tue, 01 Sep 2026 07:02:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=oDQU%2B8mOypw8AqjrTK2%2BONN8c%2BeAG%2F4v%2BPJMblt%2BRok%2BKdW7y%2BZjyJdbTgoyavyi7QWvUP7TMDDYS75JjU6JZaRRMG%2BnVomMh%2Fc5doHd98hZcO1EM8KBd1B%2BEVKgpdgE48g2Dc35O7UCAtgBUg%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"rKxZJAIyRpioEBxCc9o55Q"} | body=<empty>
