2026-09-03 06:43:14 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=290.4 | headers={"CF-RAY":"a352c7724ed6ae26-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 03 Sep 2026 06:43:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=sF8iR2IHpi7zT%2B8%2FZzWrKvrfvCNAiT3zrCzRMuIdagdSq4dhrRu5A1UE%2FBzHNbZjvGiIWb5r7I%2F36gZVxLpWbN7XQGlWt5rNzbtasUcGlnp%2BEPuOZTC%2FhCqB65ysRzCDtIHbthmP7yLB128XyQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"zMl7E9t-Spus31fUozsQ6Q"} | body={"token":"<redacted>"}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 559a905a.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-559a905a","roomPrice":175,"type":"Double"}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=210.8 | headers={"CF-RAY":"a352c773ec8bae26-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 03 Sep 2026 06:43:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=vKVkHabL6cExvFgrWWVvDwDWcdiTYd%2FasnBlVZnSZJVEHJce3DHj13I0fusj3a8Gv4OcuxaYrIPxfQ4%2B%2FDXX8UyKu%2FIc5OaWHHXBySyo1klBF5KVOmr48cJYOfGB7liYGYjG9AYoD9iU7y%2Bmiw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"QS68SLqrTJm08uw1ozsQ6Q"} | body={"success":true}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=237.4 | headers={"CF-RAY":"a352c7756da2ff48-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 03 Sep 2026 06:43:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=tN4nhAmVWFvvjl9713Yyo1d0j1Xwyp%2F5mCyz9N%2BTgp1TGIxyEB6JBewY%2Byu7XegOeTuB2eWD%2BOM29vohZ1eCHjI6dbAZYLPx1sDw6AazBzREsENM%2FAIafFx9VRuGLzRihL7I9v8djZjebsGgug%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"K0lbtz5yT5ipG4RtozsQ6Q"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 559a905a.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-559a905a","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-02","checkout":"2026-11-04"},"depositpaid":false,"email":"api.33db1d2d@example.com","firstname":"Api","lastname":"Guest33db1d2d","phone":"01234567890","roomid":4}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=172.3 | headers={"CF-RAY":"a352c776ba48ff48-MSP","Connection":"keep-alive","Content-Type":"application/json","Date":"Thu, 03 Sep 2026 06:43:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=t4QlekpIWXNTaeyWLY6jlxQV6LPd93OmKdDFuN9eNCJ5Hbsa2FDwd5BEj3uPGKoFgJj4K3tdoOvYspD9kLXBV4PS8K9mLHAHnOYQNJBPoLFxA8Vc%2FOE4DydUSTHrmzEjEXP4CRv41HqlJws9HA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"tJkrxxGySG2TSsgKozsQ6Q"} | body={"bookingdates":{"checkin":"2026-11-02","checkout":"2026-11-04"},"bookingid":15,"depositpaid":false,"firstname":"Api","lastname":"Guest33db1d2d","roomid":4}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=186.6 | headers={"CF-RAY":"a352c777c97dae26-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 03 Sep 2026 06:43:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=buJyqjKnWBlVYhFKNkC71IWRIiXFrd4WaEvdY9l1%2B8vw36YB%2B4Q1whaU0Cv9Eig3fBZfFkqH2ChMbIyCP5B%2B2aaLW9qJcOYBV4YyD6aDvdHCrC9jVJPi2OzapjturbUIZC7LzmwZoH2VO83boA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"FES0nJZNTLaJmVaNPvyhXg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-02","checkout":"2026-11-04"},"bookingid":15,"depositpaid":false,"firstname":"Api","lastname":"Guest33db1d2d","roomid":4}]}
2026-09-03 06:43:15 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/15 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
