2026-09-05 06:33:26 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=322.3 | headers={"CF-RAY":"a36333d6dbc25d07-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 05 Sep 2026 06:33:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=qbYquxaNCgfr5qYRE9VG4IF22dZZbkksaEATfN8J6D6v3iu6Yc0JS6M0ODBWueBoZgy9kpxu4QYWocOT52sTNe6cuq1NanT8pSAOVYjl7OZYdNSi31ArY4t3u7L52P6G3ypQQicYAPHfdwJBkg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"uFwpDmoRRwO9bcsDo3UVLg"} | body={"token":"<redacted>"}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 830bd4e6.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-830bd4e6","roomPrice":175,"type":"Double"}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=167.4 | headers={"CF-RAY":"a36333d88f9a5d07-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 05 Sep 2026 06:33:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=RA6M0kwPKCSNgh6RUUU7dvqBHZtp2jReX6RrsJs0hbq3RQbdOcyFq8BngfjlS7EX9ahJVn0KUF9RiLIq41J25NE5O5YVMfCr665b9RMtWi1Q571VSHk6E3N1vadcIrdFBR7rUDyRrHOP9r56FA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"ywDNkj46TKm70M9Eo3UVLg"} | body={"success":true}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=199.0 | headers={"CF-RAY":"a36333d9e8de540f-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 05 Sep 2026 06:33:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=W5srqa4MKDF5vf2IyFClYU%2BCHx5DsXxIdcjG5%2Fr8iqBJZcuElDS%2FfATRd3kqmJCnxH0o5pu6WpGU3rkQqD2el4qdMZfhDEM4VKsJTpspS0wuNO73UOTbv0Nd%2FctMNDMxMTs9VT%2B4JHPBH564oQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"H-Aka8t1RtKdxnOxg4a9AQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 830bd4e6.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-830bd4e6","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-04","checkout":"2026-11-06"},"depositpaid":false,"email":"api.8bbd974b@example.com","firstname":"Api","lastname":"Guest8bbd974b","phone":"01234567890","roomid":4}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=152.9 | headers={"CF-RAY":"a36333dada62540f-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 05 Sep 2026 06:33:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=9TnAYDD%2BBXUn%2Bqhyb5HVMfefTSb5gZzusFSR1bT2tB3GNPK6ays2fBiOSqa7jYrX8ZKhREWpZpVLMgnDfWmNl7h25%2FeybZyBC0llIv9tWb34zj%2Bbaix0krly3HwORlghob511XpjR3TNZUMhbA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"TxYfmgUoTTGt7IMFU79b0g"} | body={"bookingdates":{"checkin":"2026-11-04","checkout":"2026-11-06"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest8bbd974b","roomid":4}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=162.8 | headers={"CF-RAY":"a36333dbcef35d07-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 05 Sep 2026 06:33:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=AdZvRND5pdEH%2FJD6JNmwlbFgaZKFOfwT%2BCfMY21%2BWijSFwi4zmtqj7gf2%2ByX4dllq4KtpdrOusVLijwnLiuIhOCO%2FMoeu7y%2FqnxX77YsIymKSxb5IwsuBSU%2BKDbbcx1h1dcFdHW2zPxCpiXXDA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"SGbN-HkUT_y4ntJfg4a9AQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-04","checkout":"2026-11-06"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest8bbd974b","roomid":4}]}
2026-09-05 06:33:27 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
