2026-09-07 06:51:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-07 06:51:07 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=240.7 | headers={"CF-RAY":"a373c87b69c1f39d-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 07 Sep 2026 06:51:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Gwh9TzttWExlSq7lZi7NF3bDBK2TUzjcE8qnKENx%2BsBRp%2FnEFFrVMlx6%2FAANw1cPo4bgUlSLkrlNqmSPXLCGPaXsp8CoELm9G0DgTABmLEHGB%2BV4CceK5ShdTanbYibAaB5DtdBBpFSS3pElVw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"AAi9tGKyTn6IDZtCc9o55Q"} | body={"token":"<redacted>"}
2026-09-07 06:51:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 37a0db2b.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-37a0db2b","roomPrice":175,"type":"Double"}
2026-09-07 06:51:07 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=157.8 | headers={"CF-RAY":"a373c87cdd3cf39d-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 07 Sep 2026 06:51:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=HyTfQNwnlTSqAUPXtcdxazCg%2F4tYrG5B8p7YVHVRg4A9h2jq19kMpxUTCegIYXG1ojPr4fpkKOSgsYq3rtQ6DDsaotZsFmoOEGqgD86%2BTL6jGlCvG2%2F0LzORWnLVBfdI74OFPRVaL26ILZHn9A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"rCP01PCqTQebZ7AUozsQ6Q"} | body={"success":true}
2026-09-07 06:51:07 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-07 06:51:07 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=136.0 | headers={"CF-RAY":"a373c87dfe265fa4-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 07 Sep 2026 06:51:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=qiXG5TLsP4NhCBA%2F7MXm%2FEJ3BlxXIageH%2FGl6IGm2iK20JwGRv1J%2Bl35%2FCXDRtrqP6T541xXlcFjog%2Bgd7IQZ%2BZGErbpzzeSpMx0u2dADr%2FxhZ9GaI0RBEL3FfLueRL9UqknIVFk0BRskO94GQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"VHhqkt1dRtWMzIItozsQ6Q"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 37a0db2b.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-37a0db2b","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-07 06:51:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-06","checkout":"2026-11-08"},"depositpaid":false,"email":"api.a93b989d@example.com","firstname":"Api","lastname":"Guesta93b989d","phone":"01234567890","roomid":4}
2026-09-07 06:51:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=123.4 | headers={"CF-RAY":"a373c87eaff35fa4-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Mon, 07 Sep 2026 06:51:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2BllZqAwEG9WJKsri2ds%2F7hZTYnGLMn5YnSeRmY0ME1xrYKUFwmBZooWWpunOcsjwKg8su510E8CZ89ENoWj0ctmv%2F%2FRU2cpHMqviT4Xohuy7MBQZiHx6rpEKZ9DHL7VzwzBcJZvidG4QoDvLDg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"8vTfGv1WQB20Z7Joc9o55Q"} | body={"bookingdates":{"checkin":"2026-11-06","checkout":"2026-11-08"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guesta93b989d","roomid":4}
2026-09-07 06:51:08 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-07 06:51:08 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=127.0 | headers={"CF-RAY":"a373c87f6b9af39d-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 07 Sep 2026 06:51:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=bKOc7CMk705CWpeqPaF7lpsRl4QIS6aSm50fZv9IsmMoc5oQhff3M2FVg077SWdTJf%2FFgVyQHVWmGBRFq39CBugijKQIGtZXb8UKCYiYWPCYXlBp4KiLAYq1MalQS50cVPMkdaEj4Xgqfl9npg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"gntd5AdtTximUbnGozsQ6Q"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-06","checkout":"2026-11-08"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guesta93b989d","roomid":4}]}
2026-09-07 06:51:08 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
