2026-09-08 06:47:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-08 06:47:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=265.5 | headers={"CF-RAY":"a37c00300b2edf82-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Fxlxr8mXm0s0BaJORPHLHyHZAADhdH9yTyW%2FjoY%2BKnFJq5amRgHagdcqoTJJo4Lqb0kSkDBtgFdYtrPfwYeRQuZCI3DC9eGR5nc0DRiCLbS6lpygkQUdtbIVPA70NYoZ6WwTbjsA6Stmi1NR0A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"GkF-XghlR2KA5ekRlt7tkg"} | body={"token":"<redacted>"}
2026-09-08 06:47:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 6a855c40.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-6a855c40","roomPrice":175,"type":"Double"}
2026-09-08 06:47:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=442.0 | headers={"CF-RAY":"a37c00318d95df82-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ki01qC1OiyemORZQM2BzLIufTn5sh2qRMujq07llKLfrCK398LwBSHGjERTGyEbsyEGPEqO%2BtI2bTF0ITeKSu0DJCHfLSCbCGTfb3Um4%2BlVE4vsOydr1sY2HXV1zJ5AvVZkZKmWIA9%2Bf%2Fq2gWQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"esuEbkw7THCu_buYYqVb7A"} | body={"success":true}
2026-09-08 06:47:15 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-08 06:47:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=414.2 | headers={"CF-RAY":"a37c0034884937c1-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rcSfAQmuZkPCp1u6eP5%2BVvNBzdHHNRU7Pu4tFEANYXS64zaYrb%2BzSOWxc2v%2BVWjfmIpp6iEaEIakfkVQr9faC%2BVT%2BEK5MutmrCnukmwPBoy%2FXTWxH5jLBPsFYjD4kUM1J9UQQWId3YMARPOaHw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"n_5-wpMWTCOc4ibA6WHkDg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 6a855c40.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-6a855c40","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-08 06:47:16 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-07","checkout":"2026-11-09"},"depositpaid":false,"email":"api.199dbb98@example.com","firstname":"Api","lastname":"Guest199dbb98","phone":"01234567890","roomid":4}
2026-09-08 06:47:16 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=218.1 | headers={"CF-RAY":"a37c0036ed5137c1-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=TNz8AtmAoxrikUgwq2%2BB06Yggteom9ic0SW5V%2FmFT%2FyEaidl1jfnjGNYO7gw8s%2F%2FuTA6bhGzBb9l7booaBxqR91ATvgRMRFCCEw7AbDnQUkEWPy5sU8lEtecruOKlELFAEZpz9Dl0Vjqzq6IAw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"TJkc0gCDQQu9n4xhLPU1MQ"} | body={"bookingdates":{"checkin":"2026-11-07","checkout":"2026-11-09"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest199dbb98","roomid":4}
2026-09-08 06:47:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-08 06:47:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=395.5 | headers={"CF-RAY":"a37c00384863df82-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xTNOi6sNcuTKVeU0iLGslM29%2BPjJ%2FMT0bH%2FJq6hbww2s9QXObAjM29LhlD8Nmh34bAwkGnR4l5TGoKxe4D8Tl2s%2BAMtyQhn%2FYKnlu6vlj8MrjffUhbBFTSmha93ZhICTVLSLzh6YOWu%2B8rXHfw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"xGmCAoydRrSBt1jYjq4OvQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-07","checkout":"2026-11-09"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest199dbb98","roomid":4}]}
2026-09-08 06:47:16 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
