2026-09-09 06:56:03 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=247.7 | headers={"CF-RAY":"a3844a77b9f18e82-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 09 Sep 2026 06:56:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=gVZh1tR%2BQkZ8bYl%2BZFgfS%2FG63Y%2BvFfz7rb3UiIX2sLTMWgaK%2BWd2fxDiG3Q%2FYh4XzNPeHB3V3rqqF8WLWOv9q7NiBOLBI9TpVeDTBi6si%2BS9Ji3CAgIgZK2coY37YV31%2FEc2cM4EcJRp3um9QQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"iVXLouvxR5i61GM7woOzXw"} | body={"token":"<redacted>"}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 7b80112c.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-7b80112c","roomPrice":175,"type":"Double"}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=139.1 | headers={"CF-RAY":"a3844a791db28e82-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 09 Sep 2026 06:56:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=kFWR%2BM6eRpyQH8Mnm5LMf9gapF6zJOH2ZzDz%2BL0LbbCxbzt9A1bAqpeJCx9qFjob5sE2vckT4y0USQpUbuKOV8Azz44OOnTxn%2F50SzsZ1FFP43PXVrOQr0zPhwJLiczKY7YsgBArXHVjEcOH8g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"M9mGuyliRKWPVWgMwoOzXw"} | body={"success":true}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=162.4 | headers={"CF-RAY":"a3844a7a2bd305e5-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 09 Sep 2026 06:56:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=8PglOEiPz47H43RAmaGj9zipZ94KxjO5rHV5uo690JSXgwI6SSAzT17TRZBC6vHpwClhIaJElZFlnTDuvKIEK4SZZKMobm5%2BiwTCZlYzJpyrHmIbX4%2FmfPtUsfArPxV4nbkkaxkQNA04EqhQyQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"oel__oY9Tr6-HbWt8u2xcg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 7b80112c.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-7b80112c","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-08","checkout":"2026-11-10"},"depositpaid":false,"email":"api.f89a59f0@example.com","firstname":"Api","lastname":"Guestf89a59f0","phone":"01234567890","roomid":4}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=126.0 | headers={"CF-RAY":"a3844a7afc8205e5-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Wed, 09 Sep 2026 06:56:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=lJhpjvQG3ANTH3KX3Goi6N36ZC6FB%2Fc58SqXbvhOt%2BKypEEZ%2BXPIihRckVrwv5sPSyjcE21eIxUW6nyKJ6bBtC4oWh%2Fc5xCkkwBjHW%2FRtqviRAtqaVAb4jN4EcIev7hh9Ca4nq862wtFHRGqPQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"BkNA1AVURFCyfhKpH4GxDA"} | body={"bookingdates":{"checkin":"2026-11-08","checkout":"2026-11-10"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guestf89a59f0","roomid":4}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=134.6 | headers={"CF-RAY":"a3844a7bcdd38e82-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 09 Sep 2026 06:56:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Wz39%2Bt1UArYvVjkHmAv%2BWX7r8LAoMkto0rcYXOYW8Y0NaCvK584kIZ2SRNh7PLFfjohFKkjhR1Hcs8uaDKk5W%2BYCQEYqEqbIvDJoqVsvtH%2B1kA359v752ak2ldKiBZblCk8eab8DaadXvU8VGg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"jt-MKQFtRjqtpt8KCx5-qw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-08","checkout":"2026-11-10"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guestf89a59f0","roomid":4}]}
2026-09-09 06:56:04 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
