2026-09-11 06:52:17 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=316.4 | headers={"CF-RAY":"a394bfb459d07888-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 11 Sep 2026 06:52:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=6wG5dSRGKrcnnmleY%2BDXlX2WSbMidDm%2B3v1Rgu1e7EPGit3ybL4nrhg%2F%2BjWbGocXzi%2BIlrCbuG79bp5WpLr9JQtAZX63kN7xalFGmmZ9QqgWs3o8fpPzJ5yhIQunrN7Ft3bOqXpQoDBH%2FkBxTQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"QpQjGu5LQHGtppm7aP71AA"} | body={"token":"<redacted>"}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room a9eaa0e1.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-a9eaa0e1","roomPrice":175,"type":"Double"}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=293.6 | headers={"CF-RAY":"a394bfb5fd137888-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 11 Sep 2026 06:52:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=UrC5iXlZx2HENuofnb0HArbcfPzq3pZvkiNyiybEKipO1OtFu2CO3T31%2Fzlbsz0rf7qfTxph85emZzSwVP8K%2B4NMTMRRW4kJKrV%2BqJdlh2sEu36HuAqR7zj66ShQTaAd1bKDIx6Aj0odBwt%2BAQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"RJ3cJQbSTOCFP60YezItjw"} | body={"success":true}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=222.6 | headers={"CF-RAY":"a394bfb82f99f03c-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 11 Sep 2026 06:52:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=DI3uZiRBJHgYqFNkq7ocm2d4ZE2T5dWTeNYjUQfK3HKFF%2BNf3t9pq9KjKlNuZpJhw1SbsAPczXuF9O%2BVSJ%2BVoMToKBSebvI9nEtyGX8nKfr3kdI1oFG5KVOoDZXRzgBsxPNPFJiUJMfw0c2kTg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"bJ_WJEo2TnmGPOa6aP71AA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room a9eaa0e1.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-a9eaa0e1","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-10","checkout":"2026-11-12"},"depositpaid":false,"email":"api.1c64c741@example.com","firstname":"Api","lastname":"Guest1c64c741","phone":"01234567890","roomid":4}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=207.4 | headers={"CF-RAY":"a394bfb92ff3f03c-DFW","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 11 Sep 2026 06:52:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=C%2BoVQUAkoiqpDwzXqUeh0IH%2BXxQxitiAK%2BsnXDjIiljZTo4IdxigBj4oXyRMwM8ztUQ7tG18aSe5FVevg7oiwD2HwGZUXrvcUpvLKfzfTj4l0kZZ9pcZKAo%2BXEQfpQvT%2FzbJtVqGuvhtVlU7sg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"4Y6kICdUSMuHkXv4ezItjw"} | body={"bookingdates":{"checkin":"2026-11-10","checkout":"2026-11-12"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest1c64c741","roomid":4}
2026-09-11 06:52:18 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-11 06:52:19 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=270.7 | headers={"CF-RAY":"a394bfba78897888-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 11 Sep 2026 06:52:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2B%2BFKki8FpV1NzrHKY1opqMbZK6BUyCMOuYnpMesOY%2BqB3ifMUAc9jzCpBMAllcBQ6tkdJB524w8WHWdAFPvYOGSf%2FXkIBNYRM%2FLH%2FWkpbCf1g5sNMIMrxzuCoHtUfy6Tery7dDNQJhzDUnnIAg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"S3cAiCwZQxSF4vjrU79b0g"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-10","checkout":"2026-11-12"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest1c64c741","roomid":4}]}
2026-09-11 06:52:19 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
