2026-09-13 07:01:23 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-13 07:01:23 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=153.9 | headers={"CF-RAY":"a3a547c6eded16a7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 13 Sep 2026 07:01:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=J82IX9QHZidi%2FsRxtFUcnuffrnDk8%2BRJ33XMaRJJJh%2FSM09l11XaKWCkMxGadFXYh9pG%2Bkv1n2yAXXxJS7yY%2B9Swmhas4Z7Gs5wCbDgfquj8k1UtLZLSop6YcZ4PEJl%2Bq49gzEhf5K1iMOvX6g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"TImINwH-T3CgmLcfyCLmYg"} | body={"token":"<redacted>"}
2026-09-13 07:01:23 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 52761c23.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-52761c23","roomPrice":175,"type":"Double"}
2026-09-13 07:01:23 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=140.5 | headers={"CF-RAY":"a3a547c7afff16a7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 13 Sep 2026 07:01:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=dVQl0kKBUBWufWDh6TOtDrtMY1ig0T7uxA%2FWoTuzimnOlIzPCLDFg%2FZ78OIVysIzpJmy2mvkGLrP8BMkcw4VEudCiIRit%2F1SlQks7NGoWR97cCGfuqJX1IT%2B0qnCRjxZgSalqbvC8bY8ws8w9Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"B60mpElMQ4WREfIZyCLmYg"} | body={"success":true}
2026-09-13 07:01:23 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=145.2 | headers={"CF-RAY":"a3a547c8ba9b6e9e-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 13 Sep 2026 07:01:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=G5lgfNNJeNGwTEdnuVQWjF7Kh1UOS93MYPzyqF8mcSW7WUWcCkj3BGqY%2BJ5GQS4wv7xOi4j%2FS5iYW6l6yumovzG2oeA1kPtKwJhSbeuXJOrO61yrW04owQ0My8Snladv%2FPMsa9fTYK1D8rR4Dw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"EtNNtAuNTjCcwllp8u2xcg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 52761c23.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-52761c23","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-12","checkout":"2026-11-14"},"depositpaid":false,"email":"api.0a17bc06@example.com","firstname":"Api","lastname":"Guest0a17bc06","phone":"01234567890","roomid":4}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=205.5 | headers={"CF-RAY":"a3a547c97c646e9e-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Sun, 13 Sep 2026 07:01:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=9QciClHm11jWlZ%2FIO5KbXt0dtyqfRu16b1U2n9Cq9e8Uo0ovdDb6DDIWInrdsfz71upZjp9Fgopn2ika0DThho3kKHHx5mOr%2By13RXfVI18uvruVCjBFkLTlqfzsq5ZIebIBuaDMNjc5iFtjvg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"QtpyM0NNTV-P8t8dH4GxDA"} | body={"bookingdates":{"checkin":"2026-11-12","checkout":"2026-11-14"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest0a17bc06","roomid":4}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=132.8 | headers={"CF-RAY":"a3a547cacf8416a7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 13 Sep 2026 07:01:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=NAhPSsoL3r3EaydjKQEQHf30cjG%2BlrYZr6zPJHv59amARL1nAxk3MjEfTJtj2kvaoI9FART3ClC9aYEB1cCgUSGhpnkF9sX73fm3PQW36E%2BLWOwrEdI9ObPiqdaR%2F5PfhDNHAHc7i3QHoiyaxw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"nlm9k71FQKOH4CSk8u2xcg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-12","checkout":"2026-11-14"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guest0a17bc06","roomid":4}]}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/booking/5 | status=202 | elapsed_ms=112.5 | headers={"CF-RAY":"a3a547cba9c316a7-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Sun, 13 Sep 2026 07:01:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=AdNI7sMEmm6QkhR7jizn1%2BD5ikSOLUAC%2ByXEWWAHySVv5H7LRavXgZsDsZZXeFU4LY5y%2BhgeFWd%2BjSOEgTyweEprcqKVAkiWM8CKfEAvgj6fOSQHMWQj6XdSNrB1qv9LVyUXow9KHkRo8XS15w%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"OOuu5FcjRwSJ_vwvyCLmYg"} | body=<empty>
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-13 07:01:24 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/room/4 | status=202 | elapsed_ms=212.2 | headers={"CF-RAY":"a3a547cc5b8016a7-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Sun, 13 Sep 2026 07:01:24 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=H3vEcdkI%2BfV%2BlSvwBb3p1hZVLcVzvLv%2F7%2F10n8I1xtLdSoF3CSjiWwIXD8EMjMzqFAWLS8EFbBs4KdKAcmgbBHZMmnmIgIB0xG%2FMhJH0FcU4ZQtX8TgbiZgc6PLKMDXxXzJWtbii0gdaFnlTfg%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"-dzDFPzhSyuChdwgyCLmYg"} | body=<empty>
