2026-09-14 07:24:33 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-14 07:24:34 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=690.3 | headers={"CF-RAY":"a3ada71568910b21-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 14 Sep 2026 07:24:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=gqJ%2F4mHEXdl30m3wwo07uIh74L5F%2BfC3KMTdQS1oqWCf00P5Gj7m%2BtJgTtohs9yrvg1UHgUvxzbeA%2B7rYChmjr1TshsdBJONdKfm6CJ6qNHnzhOOCjY6qZ0td7G5Ota8GjlYvp%2FTkRyH0EvppA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.sx7j","x-railway-edge":"lax1","x-railway-request-id":"zFlirix7Sgm4A-T0wUFZXw"} | body={"token":"<redacted>"}
2026-09-14 07:24:34 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 995225ea.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-995225ea","roomPrice":175,"type":"Double"}
2026-09-14 07:24:34 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=581.0 | headers={"CF-RAY":"a3ada7196be50b21-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 14 Sep 2026 07:24:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=63%2FpDsNebZt%2FCHfc5Rszi0vbyDX9PQaifaDSZMDQ3ZU05FSXspNC5pneqiyJL0Hv1KtEfq1o%2FyI5zHE9w4%2B3A%2FVeLYR6581GjdVwo0CBe4gA376uuWzhMlR%2BZEABtUuD%2FK64U74TWjvUr1%2B0iw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"g8YDd7Q8SWCaaZkK9I3ezw"} | body={"success":true}
2026-09-14 07:24:34 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-14 07:24:34 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=246.9 | headers={"CF-RAY":"a3ada71d4e6c1172-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 14 Sep 2026 07:24:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=j%2BdKMIVi3EP97cYroc5Of%2BkAE8WKzQTzfan34Jd1cD%2FDRROLkpNJnrljyUdhKGKWqGbU2quyloKpQfgMnjd4sqjKSqSWRLZYl0dLPFEi2k5yt%2BiNlYAuuqWwjz1QhND6XdzBooJV3a8dif%2Bz4Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"gxnVpWGTTZSTY-5TWUN5dQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 995225ea.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-995225ea","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-14 07:24:34 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-13","checkout":"2026-11-15"},"depositpaid":false,"email":"api.8a65c7a4@example.com","firstname":"Api","lastname":"Guest8a65c7a4","phone":"01234567890","roomid":4}
2026-09-14 07:24:35 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=195.7 | headers={"CF-RAY":"a3ada71e9b441172-LAX","Connection":"keep-alive","Content-Type":"application/json","Date":"Mon, 14 Sep 2026 07:24:35 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=MIpwvVrc4zrtuzRpcJTS4%2FfYoev9mKxipRfzwVd3L2grBqVZ0mFOGalTbpiN4O29Dt6p8f4TWyssEsJ6FwyIkj3zhJT5nSXwaPE8oD%2B6jn%2BQg4%2FXwIuxjCHKnYzt%2FWgiZ66kVYKWkcMx3BzUrw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"cV6WwN1nTZ2hdEAA9fVATg"} | body={"bookingdates":{"checkin":"2026-11-13","checkout":"2026-11-15"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest8a65c7a4","roomid":4}
2026-09-14 07:24:35 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-14 07:24:35 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=546.5 | headers={"CF-RAY":"a3ada71fd8c70b21-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 14 Sep 2026 07:24:35 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=4He80txZbz0ltD2gRDxWW0gePb6bJgnyKMaXgeZ0cEkpesGE06tgnl2i0z67v%2BoXEnxYULh1w1U%2B4YGfqJwutibGELQbD%2FwEg95xM0uKnikqEAB3CKQyrWCbsEenRaNVMGyOpGBENVKvM%2F7Org%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"tKzxZn9TTlqckgD_6WHkDg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-13","checkout":"2026-11-15"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest8a65c7a4","roomid":4}]}
2026-09-14 07:24:35 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/4 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
