2026-09-18 06:54:43 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-18 06:54:43 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=216.0 | headers={"CF-RAY":"a3ce70e28c6f1064-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 18 Sep 2026 06:54:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xmVJeMuW1XOg4Ku4m7Kb05kbbDQAqGkOEy7RT2ld5UV1vaTzo0szDm%2FYmLBd6RwBd0qNi0hwYmQFtMPE5w%2BSHPhk1SGwLMamV9d4Zrj7w31CPvaGL34oZqfDxhFAotKc5oGBHDAP94UOyebINw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"FWrh3XltRtyUmY8xozsQ6Q"} | body={"token":"<redacted>"}
2026-09-18 06:54:43 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 4e7adf0d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-4e7adf0d","roomPrice":175,"type":"Double"}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=226.1 | headers={"CF-RAY":"a3ce70e3bd3b1064-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 18 Sep 2026 06:54:44 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=YJ5ys7LJNDdIluNJhr4oWOqaQd7oztIMY3%2BBX7Y%2FXPa6SFwqH2fQGk%2BiL2nLc1G1baYGrTHVJXHW9GwZOGVDiEUD9cNxhrkIedHw4HRVOrVk60bsxOl9niqw%2Bo%2Bi%2FtliK29XRquibXJS3CnUqQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"xBAIhnQIRD6MG96iCx5-qw"} | body={"success":true}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=257.3 | headers={"CF-RAY":"a3ce70e54ec61156-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 18 Sep 2026 06:54:44 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=1c9UNWmrYL0Mg3Qz3Bur1dFnCAOULEpbd6QpnZZQy1LyHvWBBOmNW8Hn2fWaVPUetXaSJ4603oP2Fzr1EFaqc9bUooZL47hvFdUgQOvmJkpmu2quirA0CA9Hz2dpPpEjyuoS1r8n%2Fbz2Mvvixg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"OmON6el2T0eHP8unH4GxDA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Please enter a description for this room","features":[],"image":"https://www.mwtestconsultancy.co.uk/img/room1.jpg","roomName":"208","roomPrice":250,"roomid":4,"type":"Suite"},{"accessible":true,"description":"Please enter a description for this room","features":[],"image":"https://www.mwtestconsultancy.co.uk/img/room1.jpg","roomName":"207","roomPrice":220,"roomid":5,"type":"Double"},{"accessible":true,"description":"Please enter a description for this room","features":["WiFi","TV"],"image":"https://www.mwtestconsultancy.co.uk/img/room1.jpg","roomName":"205","roomPrice":180,"roomid":7,"type":"Single"},{"accessible":true,"description":"Please enter a description for this room","features":["WiFi","TV","Radio","Safe","Views"],"image":"https://www.mwtestconsultancy.co.uk/img/room1.jpg","roomName":"209","roomPrice":300,"roomid":8,"type":"Single"},{"accessible":true,"description":"Automated API lifecycle room 4e7adf0d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-4e7adf0d","roomPrice":175,"roomid":9,"type":"Double"}]}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-17","checkout":"2026-11-19"},"depositpaid":false,"email":"api.e19fd17a@example.com","firstname":"Api","lastname":"Gueste19fd17a","phone":"01234567890","roomid":9}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=130.8 | headers={"CF-RAY":"a3ce70e6bf7c1156-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 18 Sep 2026 06:54:44 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xxjEb9eIw5miAGxgnAVtr9GlWSx9qW1Eay0Vsz25iEGMM9Wh6NY6UKkkkHqrGxa8XAvER7UUeqhTfeDjfgiIRFbMNlA22nyl3HvQK3kZZBP6Wax%2Bs6jf88HGqfUgHhDrNsMKwAP8OCVYK9HNKQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"XUNdzvW4QRqI72rUCx5-qw"} | body={"bookingdates":{"checkin":"2026-11-17","checkout":"2026-11-19"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Gueste19fd17a","roomid":9}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":9} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=9 | status=200 | elapsed_ms=137.0 | headers={"CF-RAY":"a3ce70e78f5b1064-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 18 Sep 2026 06:54:44 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JLyhi8%2FiEtDXrrHdp1iXcRIUPkaz1ImnPGXcU4hyRP9Mn6p7Y6JMWL7qMSIldgp1S6xk6trwc0%2BBsXUYch0VFMMhjz0JzVsRDj%2BWGInpJi%2F%2Bej0samBe1Z29t2uqBrsQUrJZig0GP1VqgW3NoQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"kZoo_Y00QrGoW9hUCx5-qw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-17","checkout":"2026-11-19"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Gueste19fd17a","roomid":9}]}
2026-09-18 06:54:44 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
