2026-09-20 07:18:34 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-20 07:18:34 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=294.5 | headers={"CF-RAY":"a3df0e904c4facd6-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 20 Sep 2026 07:18:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=WeJYIrVLImX1Xmb%2Bz%2FKb4WeI7PHTovTyt2%2BcVB2AkOg0u4eqbwaugkJuB5aVAP%2F8Ld8N6n7g1ioh2d6YpqzNnzFhWEOX2r9xXkm16S6Hg9JI5a%2BwHJOzw9oOq22zQSdpMIBtGxeGC35c35MdRA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"yPbY7iZGQ0iA4TqBH4GxDA"} | body={"token":"<redacted>"}
2026-09-20 07:18:34 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room d691c62c.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-d691c62c","roomPrice":175,"type":"Double"}
2026-09-20 07:18:34 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=290.4 | headers={"CF-RAY":"a3df0e91ed89acd6-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 20 Sep 2026 07:18:34 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=hje8MKkV5Wwkhl3iaM0gLDJWUWxBH4Z0DcKai1aNcfSJ6rcBc0G%2F%2Bl45hKopNq6nb3UtYmf2bsGXRciSUesIOjvq4QQ0J7NTJb9LXTSb7Pk%2BVSyL93pmPX%2FMNcw8lpE%2FGQ84%2BpxO4I67iB2rLQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"_MnPpbmsQbKjBGDBwoOzXw"} | body={"success":true}
2026-09-20 07:18:34 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-20 07:18:35 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=195.1 | headers={"CF-RAY":"a3df0e93fb2f0bf0-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 20 Sep 2026 07:18:35 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=C7SL7okBbNyAJl6u8%2F855u9VAaSDTL9w0g7pIU3kxuGjTiqGR%2By19CikhuLgoZTbE1YJknaM8gwjDgcJSrCytR%2F5sF5ULTQdXplsv%2BDf80mtWDXG1iJBCn304WqddNSh5MQ9AesT117zYAwhyg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"9KSpwAqeQuejkCHNH4GxDA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room d691c62c.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-d691c62c","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-20 07:18:35 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-19","checkout":"2026-11-21"},"depositpaid":false,"email":"api.6b8a0f7f@example.com","firstname":"Api","lastname":"Guest6b8a0f7f","phone":"01234567890","roomid":4}
2026-09-20 07:18:35 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=142.3 | headers={"CF-RAY":"a3df0e94fcab0bf0-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Sun, 20 Sep 2026 07:18:35 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=crVYcoahpXBqF%2FXbiR16Ddoa8vWaWNivLXAN6OpO%2BU6pW9bCqO8vhlYILOXxz%2FJu%2BMrCn8H6U5C%2B4QWWh3d0QGbhu%2FLw0j%2BIgRUDOXPc8kondkdDXdNyqhPeoZ0xWJAcYBJ54GLaZ2pTU93%2BVw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"9QVwzlMlQIe8T8-zPvyhXg"} | body={"bookingdates":{"checkin":"2026-11-19","checkout":"2026-11-21"},"bookingid":7,"depositpaid":false,"firstname":"Api","lastname":"Guest6b8a0f7f","roomid":4}
2026-09-20 07:18:35 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-20 07:18:35 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=172.6 | headers={"CF-RAY":"a3df0e95d8afacd6-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 20 Sep 2026 07:18:35 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=4l1B%2FVLF1s41SSl6bSQ0F7Jhh95skC4iDRRne%2BukcYM0eUJr2YrdmrYQ3sVXvVfmojsBXuuTcRwg6DjQqQaSDJTo0wWfiF7nPph00d9zhvRr7YFpluAYskczsqCtIg7JTq1BlmymcVCFVQJZfg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"Dlmfv4ZvQRCO1Af0woOzXw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-19","checkout":"2026-11-21"},"bookingid":7,"depositpaid":false,"firstname":"Api","lastname":"Guest6b8a0f7f","roomid":4}]}
2026-09-20 07:18:35 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
