2026-09-21 07:28:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-21 07:28:21 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=222.8 | headers={"CF-RAY":"a3e75a442c5af0a6-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 21 Sep 2026 07:28:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=GxKBupoz%2FAD08ocfK%2BQZXFSiPfJpP%2BzvYKuh1%2FODvFqpGq87l90MbeKiyBbRY7M06WzRwJcbsc7WxdctF%2FMGcjAriSGI1iACb4msiQRz4K8JiwWM5gkcsaDyFpzN4wFLUwJhYRKwudKQgEqsSw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"RRqUTmO8S2-oOmA-Aax-fw"} | body={"token":"<redacted>"}
2026-09-21 07:28:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 0a8d9ed8.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-0a8d9ed8","roomPrice":175,"type":"Double"}
2026-09-21 07:28:21 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=215.1 | headers={"CF-RAY":"a3e75a452e2ef0a6-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 21 Sep 2026 07:28:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=4yzBfHFR%2FRREBsmbxsoieEqn7eAcqa%2FOi%2BEAVfEFmIEQBWs3FN96CPwBIrJDQJd1ZlMfUF8Uwe8g8718m0ttIzh5Mk8bNwCxfPNcS2PokpemNDMLI6oqZ%2Fc2a%2FSn9co4H5l1Nzrc%2F%2Fj9YZ4h4Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"GvLqKXP4Q2etN4HZAax-fw"} | body={"success":true}
2026-09-21 07:28:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-21 07:28:21 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=309.2 | headers={"CF-RAY":"a3e75a46ef291d52-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 21 Sep 2026 07:28:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=zpNClUFUrzuXQTEadURXc5C1w9jvxz%2BOpdjFcjxltip2rq%2FfVViUtjFQGCKJAEyEbcpRTkbgCl4l1kUvcnRe76f0bzY9IIaXjsPtvIO9Q6nnqn2PyHDvVAZhTyF3IlQ4EaAuFc2xezhMlkYq%2FA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"foCXN9ljRnyUkpABAax-fw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 0a8d9ed8.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-0a8d9ed8","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-21 07:28:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-20","checkout":"2026-11-22"},"depositpaid":false,"email":"api.7fbee805@example.com","firstname":"Api","lastname":"Guest7fbee805","phone":"01234567890","roomid":4}
2026-09-21 07:28:22 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=273.4 | headers={"CF-RAY":"a3e75a4878f51d52-DFW","Connection":"keep-alive","Content-Type":"application/json","Date":"Mon, 21 Sep 2026 07:28:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Jv7dQ9HlSajZEp71KggzDmYeD%2FKyOh0QrPa4NfFSpxjMoAeUeObXq0xqoXE%2BHcNc34w39YdCWePt%2FhSBKC7SskaM0KNxKEGQpQrtKUoRW%2B3R7doVVCT71lY8c7tTIXUvoYSUJ78zKcTmdyUpZw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"tB2BVq0mQRy-1jxwjVra_w"} | body={"bookingdates":{"checkin":"2026-11-20","checkout":"2026-11-22"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest7fbee805","roomid":4}
2026-09-21 07:28:22 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-21 07:28:22 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=158.5 | headers={"CF-RAY":"a3e75a4a2f52f0a6-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Mon, 21 Sep 2026 07:28:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=HUrktUIIl2U%2BlIztpUqp%2BxjrCwAqFTTbW4b1nwJom%2FIw46UOghdIUeZJb7Vq%2BBHOEMhiUnrtoIp8RtWotJbuPwVtJWvKxn7%2F%2BfOBQtCoKN0bK%2BSwvnXFlevvIQUlgkLKQPK42GfqBA5HRasXnw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"mJ2n-3RWR8u55sEFAax-fw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-20","checkout":"2026-11-22"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest7fbee805","roomid":4}]}
2026-09-21 07:28:22 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/9 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
