2026-09-24 06:59:35 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-24 06:59:35 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=405.6 | headers={"CF-RAY":"a3ffe840cb9b2f73-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 24 Sep 2026 06:59:35 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=5FTtCrHxWT4tlRcicOhX4KKKDpbm5UJ3Pt9zZ7d7cuB6lAPrNOrhp3DkkaR00tOcStMTmVk%2FspNZZokZGPx0pgb4UFGjuGCK92TbzVVogizQwF2SR4oMPsjahSCGb8C4Dr%2FnOpuc2k7BQPrVtg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"nNeZqC5ETcKsFjFhxtoGcA"} | body={"token":"<redacted>"}
2026-09-24 06:59:35 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room b882d6f3.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-b882d6f3","roomPrice":175,"type":"Double"}
2026-09-24 06:59:35 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=376.9 | headers={"CF-RAY":"a3ffe8430dac2f73-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 24 Sep 2026 06:59:35 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=x899%2B%2BGSyuEB9Jt4ncMBCi7r%2BeKb%2F7l6Tds9K71pC6bu8e7QDGjkAbtUKNH33Ch0I%2BYz%2BYNuA4mCJPx2gGhT3gDpdGD1oAxt7jIT6fFn5eA12iGgLOeuVSVE1Hlxl%2F1aUPbInWts%2FTUS0niUAA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"FT3z5MhwSE-i1GUvWUN5dQ"} | body={"success":true}
2026-09-24 06:59:35 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-24 06:59:37 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=1370.4 | headers={"CF-RAY":"a3ffe8494ff58e7f-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 24 Sep 2026 06:59:36 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=O49aIxF8LWJlhDw%2FeylUAE4BEei8xX6d147KRjPHJsqJ5C0PUjyXeI%2BQt527mA2VzYOAGCpmHqazJ87Z76aDZD6AW4sCYeDpOyVYQVPZ1a582stht2mSJq6MWPg3QNHbIH0nn8n9G%2BU4o4E6jA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"PlMwhETKTJilkSU9lt7tkg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room b882d6f3.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-b882d6f3","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-09-24 06:59:37 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-23","checkout":"2026-11-25"},"depositpaid":false,"email":"api.5ddcb3bb@example.com","firstname":"Api","lastname":"Guest5ddcb3bb","phone":"01234567890","roomid":4}
2026-09-24 06:59:38 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=846.3 | headers={"CF-RAY":"a3ffe84dfe6b8e7f-LAX","Connection":"keep-alive","Content-Type":"application/json","Date":"Thu, 24 Sep 2026 06:59:37 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=wfNozKcxa3uaLoDb9kFdWut5f5qY2%2FY5%2Fbxx6UyaZ0%2FMDAUmn8NdESMaiyYBeM%2FKBy9I4GIyZ6zD4kMWCq9W8%2BdGSXfPy6%2F4ce9YkI3mw2DA8Y2CcqXOJVMo8OGLkkbPlXPy77GRCDG6%2FEOGxQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"UXmlqp7NQp29OewZ2h0iww"} | body={"bookingdates":{"checkin":"2026-11-23","checkout":"2026-11-25"},"bookingid":6,"depositpaid":false,"firstname":"Api","lastname":"Guest5ddcb3bb","roomid":4}
2026-09-24 06:59:38 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-24 06:59:38 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=368.1 | headers={"CF-RAY":"a3ffe8534b6e2f73-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Thu, 24 Sep 2026 06:59:38 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=kiJQDuJixP5KPw%2B%2FiSA%2B4HIPfB9RCXO9urcXPJA7YDU2koHdde0WtidZP6erhiPhypg%2FiFhGHVSkHKmGaZkhodQUF4YBB%2BJRDhOQqzYzQIv%2BurfwbTtEdXh8EzVs52lPngCxHqVLFEc%2BNl84KA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"iAkHnQNLSuqLmhyzCYBc-A"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-23","checkout":"2026-11-25"},"bookingid":6,"depositpaid":false,"firstname":"Api","lastname":"Guest5ddcb3bb","roomid":4}]}
2026-09-24 06:59:38 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/6 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
