2026-09-25 14:57:02 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 14:57:03 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=266.1 | headers={"CF-RAY":"a40ae1093f0a1ae2-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:03 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rHVaxdPRNdzgwpsQ4gf5Dq%2FcBNOv8byoTWdiC%2BEv3fRm2o2x0fIsNtbeCSjCvUquNgLL467MGovmhIOA3zOoeVClBEGAxR3%2FyWMeXrRvIsssYL4uxpvofRh40ng67eVHBccFV5oVc7Tp01ue7w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"CElj_yLSQiOzjyk2jq4OvQ"} | body={"token":"<redacted>"}
2026-09-25 14:57:03 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 3c76f5e0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-3c76f5e0","roomPrice":175,"type":"Double"}
2026-09-25 14:57:03 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=372.7 | headers={"CF-RAY":"a40ae10aacd51ae2-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:03 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=HY5NyIf6e2qzXcru548fD%2Fj0%2F45%2FKTRa0TRxEFKcvR9YtwheRjHvkJ%2BojC1%2BjaqCzrRTH01oMQOvRzy6p35WZCETaMiPWcags5Qx8ygwrLvRGQ4zPGkUsaRg8uFX40OxDovSDh%2FypJKvZX5aBQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"8Odv3ONORjKBqfKG-_9nXA"} | body={"success":true}
2026-09-25 14:57:03 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:57:03 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=424.9 | headers={"CF-RAY":"a40ae10d58f3cf23-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:03 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=T9M3bxmPS%2BoLwFjoW2KJRZLeMX72iZAZJUN0fMHIJOr6UKxeV2w%2F1sdUceG87xH3eEzX7PqNznOUOtkyg6TOqoyJbd6Yyu1EhsqA9JjOykjkmWcyG2DqVY8HqbHXknkquP855iquobsImWa1eQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"EbKorQvwQIuGlfLmYqVb7A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 3c76f5e0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-3c76f5e0","roomPrice":175,"roomid":22,"type":"Double"}]}
2026-09-25 14:57:03 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room/22 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:57:04 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room/22 | status=200 | elapsed_ms=381.6 | headers={"CF-RAY":"a40ae10faf51cf23-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=vSEV%2FhY8tVSZj3FGZlKzkhuWPzMskGj3gTK9idwpDxTNQeaK4rzTJaRkKT0pgXEfRlgAcd1WZ3%2F0SvwfhoMf5ydeeihi16l%2F0KHCVAC3WgIZwhrBkAJJbOvQijRy4gYOKznHYPCazlJfTH0g1g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"pQUemA-uT36k87-1wUFZXw"} | body={"accessible":true,"description":"Automated API lifecycle room 3c76f5e0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-3c76f5e0","roomPrice":175,"roomid":22,"type":"Double"}
2026-09-25 14:57:04 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:57:04 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=371.1 | headers={"CF-RAY":"a40ae1120dc7cf23-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ENL%2Bfbd0162ftcWOO4uK%2BfrSBlE5WU17DdiWPYN%2FxIdAXf4BdqBIjbCQ4flplha3mQkhZQ6iArliQpHd%2Fk9eeuCcOEZHFuMyGfRdSkzL7BaoAE%2BU%2BI8wkJ7FtS1doHid8946LD4Lsg4WR6BIEw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"FDKg3jc-R8iJPemZ6WHkDg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 3c76f5e0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-3c76f5e0","roomPrice":175,"roomid":22,"type":"Double"}]}
2026-09-25 14:57:04 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/22 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
