2026-09-25 14:56:19 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 14:56:20 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=478.5 | headers={"CF-RAY":"a40adffc0df92abf-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rWw1CmAj7lKFlVjdY9P6Ubz2rJhzeCEJtzuRyBO591DP%2FwHhcZje3nc%2Blx2JapWbb%2Br8NbVr1gK994RGafBtetR1wZsPFqw42N1OImdB2SJuyL6Vq5FyyEhD2hnZ8VE%2FFAqbJjLSxwz1aZRT6g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"OhhalMouSveYg862-_9nXA"} | body={"token":"<redacted>"}
2026-09-25 14:56:20 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 476b2f1b.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-476b2f1b","roomPrice":175,"type":"Double"}
2026-09-25 14:56:20 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=217.8 | headers={"CF-RAY":"a40adffeb8742abf-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JOR8pg6uG%2BIantZ4hPX4z59rwGsR6Y0sSn9dTgwqTxeNGX0yJJLYz1%2BNlozgcRpMj4syn9zgvLuEC700mNL%2F7xjRv%2B%2FOeaEHoa68laEFVI18IAY0rr2TpdwVRp2piKfkeAgQCUOm4fHfKDXhjQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"u-o9gYTURcSpB8t0-_9nXA"} | body={"success":true}
2026-09-25 14:56:20 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:56:20 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=404.0 | headers={"CF-RAY":"a40ae0006d862acb-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=apJzMcHObQPclItos6r6X4toSLajmw7hl2wqgZDy27WMYTTmecNyOeJW47Ch9pEIDM7e1kS5OAPELKn41Qlap%2BWhtsbhGsVtY83KG8AJw7EYRmc0AnNCuGTVxU8it4GjNKI7CWFB%2FGDSOcB%2B2w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"auvkSYBeRAmP6w3m9o6EoQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 476b2f1b.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-476b2f1b","roomPrice":175,"roomid":12,"type":"Double"}]}
2026-09-25 14:56:20 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.c39ecb7e@example.com","firstname":"Api","lastname":"Guestc39ecb7e","phone":"01234567890","roomid":12}
2026-09-25 14:56:21 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=212.9 | headers={"CF-RAY":"a40ae0029fad2acb-LAX","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=gD5ppM%2FkMMKj5%2F1S5T%2BMbJzdSH575h%2FsuJ1TbS3ThuLI05ntiq%2BxnBNi4s7Yei97Xyn5cEFoE9L%2BjrlIMn4bD3fstiHMDK4kRLIsvy%2BTKEoYIbqP4KTm1TjXv7FOT%2FdeyGvUnpI5n9t5U9sftQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"W9657wugQgOJWWlzCYBc-A"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":6,"depositpaid":false,"firstname":"Api","lastname":"Guestc39ecb7e","roomid":12}
2026-09-25 14:56:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":12} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:56:21 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=12 | status=200 | elapsed_ms=364.1 | headers={"CF-RAY":"a40ae003fdbf2abf-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=VsUNBgUMJvh23yP0JVPHPz5xPaO3CrgCJSW5O5yM1Xiq2jih5KmQRRJVNUL6PU8jODZfMMeWL2mml87evZ83Oa%2FcQUsgzwhNJKrN9qcw7HQ2osMVLfJMXMakIBHYx8%2BtmouaxNTPST8fZThL0Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"VY3eDVrPQTmEtwXAnpoFkQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":6,"depositpaid":false,"firstname":"Api","lastname":"Guestc39ecb7e","roomid":12}]}
2026-09-25 14:56:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/6 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
