2026-09-25 14:56:49 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 14:56:50 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=403.5 | headers={"CF-RAY":"a40ae0b82ddcd098-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:50 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rA84rkRzXPOcaVzhEjzL8VrCGaUH7iuJSTc6HT0N84I29EdkzO2njlACK92d6OUZEOKFDtR24IL%2BDSxgIQ02j5YDgl%2FIoQxiRKcTqL6TSOCgrsBR90nQO9jpZ0GUTyvQYyoDxvPanSrvsEbagg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"CsqXH-5CR2CIZVpgljLL4A"} | body={"token":"<redacted>"}
2026-09-25 14:56:50 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 56e0d952.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-56e0d952","roomPrice":175,"type":"Double"}
2026-09-25 14:56:50 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=367.5 | headers={"CF-RAY":"a40ae0ba7e4fd098-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:50 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Qefio9EphrBITUMQvMEocaD2oFAAJhKOlSjp2Az2WB4dccjE%2B8cZtUtAKuPr7xUZLsK%2BUgDBcPywz%2F%2Bufniq5zYfIlke5CPVQ%2FwADjEfvO3RjDr9e5w%2BX8pqGGtfyX%2B9TMiFHffPu9f6SqAjIQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"lY4cKIRATkuUjHfj6WHkDg"} | body={"success":true}
2026-09-25 14:56:50 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:56:52 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=2013.3 | headers={"CF-RAY":"a40ae0c38b162b52-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:52 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Ls6fK%2FU6d05BfsRJ1roaen3bfO%2BDWcxoXqS6DH58vBfbpFDlNhT3KgQV%2FLQrhvkcAcjiYmawMxnos738Ve9nct9Mev6WTxuTWz6hZ6Ald2vT7evBXi3q%2FOZWj0a64fVo%2Fk6txSce1nEU%2FYMpgA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"99ujDURDTiWEnqXmCYBc-A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 56e0d952.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-56e0d952","roomPrice":175,"roomid":20,"type":"Double"}]}
2026-09-25 14:56:52 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.060412b0@example.com","firstname":"Api","lastname":"Guest060412b0","phone":"01234567890","roomid":20}
2026-09-25 14:56:53 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=798.0 | headers={"CF-RAY":"a40ae0c95f0b2b52-LAX","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=IiEd1WsJfQC32F9ssBxBQslqYvJD%2FjKEiYDq4z2E0iMRoZYab0uSQ6Rh%2F%2FAwz3TyOhTCQ1g2fykmKUSF3CYvAfpiBcs6UiZwVFB0k17OcwN%2BUhvVWPJtlMmZScNrsbOhoFSBwIqsrKwcNH3i6w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"GrJac_YESXC4gimuLPU1MQ"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":8,"depositpaid":false,"firstname":"Api","lastname":"Guest060412b0","roomid":20}
2026-09-25 14:56:53 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":20} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:56:53 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=20 | status=200 | elapsed_ms=365.8 | headers={"CF-RAY":"a40ae0ce58ded098-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=OJkd9MuyuN0pEaFxmbEqCp549xdONnxNRyNCJrtJ5ozQziPW%2Bw0v0pDQBziEFKcXl8%2F9r%2F6vgN%2Bqkk660kcNGRH8mXEavqbTprWer4HjUhZMWi8Iac3BcUkklU6jT%2BJPjzMckDlwMTKLxhQsHg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"jQbec5alQ7qam7Man6XIxQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":8,"depositpaid":false,"firstname":"Api","lastname":"Guest060412b0","roomid":20}]}
2026-09-25 14:56:53 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/report/room/20 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:56:55 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/report/room/20 | status=200 | elapsed_ms=1278.5 | headers={"CF-RAY":"a40ae0d09b1b2b52-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:54 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=EvYdA%2BZn1%2Bil%2BuTXiqqDmwqvcV%2Bx3CWa%2Ftx7GuiqqplCFwVu5VjqkB3cN7ccAYFiaaVid8t3iuNu289F5BVgz1e4FIY%2B%2FrCvSQ%2BO%2F4pOyAKOdi%2BMk5OfwRL4KYht6cskyoa81WXIOGyqoNlEQg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"x8NGaRc3TUC2O-sXCYBc-A"} | body={"report":[{"end":"2026-11-26","start":"2026-11-24","title":"Unavailable"}]}
2026-09-25 14:56:55 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":20} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:56:55 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=20 | status=200 | elapsed_ms=372.1 | headers={"CF-RAY":"a40ae0d8accbd098-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:55 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=zl03V7LguK%2FAtS2o4puobO%2F1FjX7gdX11kRPQW18DUBEcADhpNHdYqt%2BOxz5SovqsRAG8QYUKD7BEUqR4QwM%2Fa7h3kZGuiXL5%2FYjvTWXp6EUfT0s8RRjRrQCiPwFdu7S%2BEhQrc2NdkuNz2zsVQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"t6E3a_MOQGmsCWMeWUN5dQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":8,"depositpaid":false,"firstname":"Api","lastname":"Guest060412b0","roomid":20}]}
2026-09-25 14:56:55 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/8 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
