2026-09-25 14:56:04 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 14:56:07 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=2606.5 | headers={"CF-RAY":"a40adfa3fadd56fd-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:06 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=aRuvzXotqplz8kUTC57a19h6ExufIUItYEvA5rN62y5e2PW2IoYF51dr321Y7bbe1%2BL5hrwCKBmwHuNa%2F8E9mMKWnzIW2Kgk%2FqkVMNdUjy7%2B4tQ7shEln%2B%2Fxo2S0L0b4VlsIVVZdR5wGvXRLJw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"i9992gXNQF2v9TW-LPU1MQ"} | body={"token":"<redacted>"}
2026-09-25 14:56:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room edb03e2d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-edb03e2d","roomPrice":175,"type":"Double"}
2026-09-25 14:56:09 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=1750.5 | headers={"CF-RAY":"a40adfadca2056fd-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=CYWtDSvQ2Y%2F%2B5Y9mFigVVw2WWRYdRUKnSXcQ%2F%2FU80WXy3YUliCkt35ZtWqV40CE0075I6Ak4wwtT8qDL60EEopZFOFeVfzz9VAALLk%2F9ewbhEBYSQ734Bo8vLNQSAZ5qB%2F4U5PmsTnfGNZ3K8Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"AVb4JpwQQq2vSBFvnPRhug"} | body={"success":true}
2026-09-25 14:56:09 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:56:09 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=447.8 | headers={"CF-RAY":"a40adfb8f8a01f54-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=1KSn7ZUlg7gXCm8ttNvSOdxb3DH5OvVyN9QwG3wNHjbEQZQ%2FAlhTZP6CGivaUkAvzLa1KiXjTsJINhSx9ximfzdSh3CeVHRE4fkBFI%2Fn81A7pviP9udjToCgGtnUrCmxQgx35JRZ9X9KiQRYbQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"5yz39FxUR-ioG1BFjq4OvQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room edb03e2d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-edb03e2d","roomPrice":175,"roomid":9,"type":"Double"}]}
2026-09-25 14:56:09 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-23"},"depositpaid":false,"email":"api.0f2890d3@example.com","firstname":"Api","lastname":"Guest0f2890d3","phone":"01234567890","roomid":9}
2026-09-25 14:56:09 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=409 | elapsed_ms=352.6 | headers={"CF-RAY":"a40adfbb8abf1f54-LAX","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=fxoax3fxt%2FiL1qu19un7U2fbdPzrbb4gFyI8RcntRIvQoBrAh5alqUN%2BuNWQitHMrc6SPOthlW8Dvd9pIXxQTZrVpseoCSyvvT6y6YVyiKw1Za%2B7OdOWiu5u%2BU0hmIUUbhdi1hzigoVbwbj%2Bpg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"AmsPPPf6TfmcPMjM9I3ezw"} | body={"error":"Failed to create booking"}
2026-09-25 14:56:09 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":9} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:56:11 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=9 | status=200 | elapsed_ms=1981.0 | headers={"CF-RAY":"a40adfbdc8ad56fd-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:10 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=4Ntpb1c33Hzkd0Y0ZmqKtgKIaUXxm8diRCom5puWK22%2Fj56uq9OG7%2BjiF9ro763vqdfRK6kdNQECtoZdjTegvwtxyoyDlXnHUx7nQiF%2FF1X9AZhbpT%2FtKjXK%2BWCUnujLKFkFW2EpI2Yi%2BZ8c3Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"QedS6yIxTGm_cJ5ipHNmDw"} | body={"bookings":[]}
2026-09-25 14:56:11 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:56:12 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=537.4 | headers={"CF-RAY":"a40adfca2dbc1f54-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=1kNCfJERnNGcM%2F5tbQPqiWX6OMDHRZkZj%2FL%2FH6ahMBU9WTF7FGdl3fHP%2FcwRoHAtZGLeke0Lu1xkxtO2EGKWTC%2B4JzStdvuTTnPnJPlM9UeOyglPw7vFZtCgr8n83qBF%2FFFv3IJbjXAPjl2Y6Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"mwE1SP66TLq42Ccn6WHkDg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room edb03e2d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-edb03e2d","roomPrice":175,"roomid":9,"type":"Double"}]}
2026-09-25 14:56:12 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/9 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
