2026-09-25 14:55:44 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 14:55:46 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=2023.4 | headers={"CF-RAY":"a40adf241bf10d77-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:55:45 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=wBBFvHjOvY4brZAqfkb%2FVVtVtahVhHBpRUWxw%2FKKpoJuLM9gnmp7L9I%2FlQU0BwT7hZrd8QCn1rfDJ1UtOBP7o6z18ng3LX%2BSEKwBGuak18zFqsyaiJQ7w%2Bz80ihSuf4Xgw7Boahr%2FHlStBrGuA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"ss7XuP-MQ6CoX-t-jq4OvQ"} | body={"token":"<redacted>"}
2026-09-25 14:55:46 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 21a2d9a3.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-21a2d9a3","roomPrice":175,"type":"Double"}
2026-09-25 14:55:48 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=1687.2 | headers={"CF-RAY":"a40adf2ddbb90d77-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:55:47 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2ByFiKajTKtxHKIXrJci0YDQsIYf7Sji%2BRjGPWEmuII%2BQUXnTTIBThBz7amJPI9xIw7SbK2EqFem8N8Agoo898Bj30DCGxNLnXzTlTrwfMpoYxs%2B16uxCAMA6lZzvr5rB37by%2BwHwK3qO47w9lw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.sx7j","x-railway-edge":"lax1","x-railway-request-id":"AbPJ0eonS-2zZN3JLPU1MQ"} | body={"success":true}
2026-09-25 14:55:48 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:55:51 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=2555.5 | headers={"CF-RAY":"a40adf3edead8900-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:55:50 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xGVp86%2BGaqVWN8OQXH9l3olA0%2Bu%2BpIHhKMaCr3j3tPNk4t3lIjjhApmYTuCxQwyl4cLImX7Yoh21v4zMgI3f4R2M37swIg%2FuHtWEzAMKJg98mOyJ5fFJhLxmKUcokVe0DMC2LzWoK5SNPQ4I8A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"po9IO8tRQNKFAZCH9o6EoQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 21a2d9a3.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-21a2d9a3","roomPrice":175,"roomid":7,"type":"Double"}]}
2026-09-25 14:55:51 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.36532cf8@example.com","firstname":"Api","lastname":"Guest36532cf8","phone":"01234567890","roomid":7}
2026-09-25 14:55:52 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=1226.7 | headers={"CF-RAY":"a40adf485e7a8900-LAX","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:55:51 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=gy2X1lkQ4ZkIjIm%2B3ntM7XNPxqtlY%2FctsKzSIKN%2Bt2TyGguF2JNY6rOdtd8wDIuKgpNHXmGUSlGMoZl3bFq54J9c8oAi2H68yYkG0HjjeenR2Z0iuRWJWYsKfLYFe8yNlkJDiVQWK%2FmJKQIeIA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.sx7j","x-railway-edge":"lax1","x-railway-request-id":"wVgXKxbfTZCwcLO1npoFkQ"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest36532cf8","roomid":7}
2026-09-25 14:55:52 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":7} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:55:53 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=7 | status=200 | elapsed_ms=1026.7 | headers={"CF-RAY":"a40adf500c220d77-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:55:52 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=YlZhF1uhCLCLfiWNn10ZKx0AjUlHJifl0c1K9VP0XZ44WQuMnw7JeRrgjxnzY1FCDAn7f8dLJueP0iYihYNwt22hSSHbULjXF7zMCQx5O0A5lZcrGyi1CB7DXi5NAk9wm4fx8D%2Fj3oGRxXkCMQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.sx7j","x-railway-edge":"lax1","x-railway-request-id":"tmqEm8HbRdSP1xgnlt7tkg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":4,"depositpaid":false,"firstname":"Api","lastname":"Guest36532cf8","roomid":7}]}
2026-09-25 14:55:53 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":7} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
