2026-09-25 14:57:06 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 14:57:07 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=282.0 | headers={"CF-RAY":"a40ae1228f0fa295-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=vnaY2dLZPCQRJ0qjSr1PJ3VYZKIvEssWSoROt%2B5ct8u3wnyW5v2mBp1c7xfC96ak2SNqVfC6tThXU%2BlkV8w5HL8Nu9A8yzysz8sjc89SBlPjIPgO%2BsDK8uScMVb0lkwM8sAQn5prMc2xFNL03A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"AUUZMhcKQsu11sPZnpoFkQ"} | body={"token":"<redacted>"}
2026-09-25 14:57:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 5d25e31a.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-5d25e31a","roomPrice":175,"type":"Double"}
2026-09-25 14:57:07 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=382.3 | headers={"CF-RAY":"a40ae12409e4a295-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=bV8YoooD8XNTbx2VpHDfv%2BVAtW6s2MkXTAQ8x%2B%2BStgYO%2F%2FvypFQyYodJfUmoHWY6NUOjjY8pWr0uWSz1aDvALbzp3%2FbbUcdT21Qd8SO5MR54XMAJDtLklvdUIEz%2B%2BdSFtLXousiwJ9tqqLd5GA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"dD6n-uhkRjOev2x_9o6EoQ"} | body={"success":true}
2026-09-25 14:57:07 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:57:07 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=241.8 | headers={"CF-RAY":"a40ae126a8c32acb-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=8NPd%2BsR2cYpcCqS9%2BmvCuK0FyrgTcWjncGpLrn9UfW3%2Fs%2BcLavnZDP%2FKMn4V61SN%2BQALsaNA%2BCyQQWDTXk2CbeID245H7PV%2Ffrwg0Rj57FVcGEdyRfIJJMdQn7tw1SblJ%2Baci%2Fl2x54Rni9JIA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"dzcJJPnySmOoRoYW-_9nXA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 5d25e31a.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-5d25e31a","roomPrice":175,"roomid":24,"type":"Double"}]}
2026-09-25 14:57:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.0a1f15a1@example.com","firstname":"Api","lastname":"Guest0a1f15a1","phone":"01234567890","roomid":24}
2026-09-25 14:57:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=364.2 | headers={"CF-RAY":"a40ae127fa212acb-LAX","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=nqSGGDyPw31rK820f0PD8uVDNuzMtjKmhfAcHpI5O%2FvnKOSgispbvl0MuoykOqhsjzwX0XxezByBawQoheGWEO%2Fm6PKbkij6M2NbLGNPnMyGFm6QFXJLWjSHVdxIs0a%2FkNMm6buL01BnMXGKBw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"uyLm-svIT42CPjIv0_TJvA"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest0a1f15a1","roomid":24}
2026-09-25 14:57:08 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":24} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:57:08 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=24 | status=200 | elapsed_ms=389.8 | headers={"CF-RAY":"a40ae12a3ee4a295-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:57:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=qBU25feMZBt2NNVx3mwQYOKAv50x0sghOxt1SIRH1ptSr2Ihpg%2FvpVkf6bAz3ewbCwn%2BjkMUcgIqa1mXjJPiv%2BdL6Pkya4Ku%2FWB9H6lfRKJPc0oZxccx1G2KyhG5oP6EN%2Bxti8ZL9nmW0iu8Kw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"4UwvfWVSRgGpuGXx9I3ezw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest0a1f15a1","roomid":24}]}
2026-09-25 14:57:08 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={"checkin":"2026-11-24","checkout":"2026-11-26"} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
