2026-09-25 14:56:42 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 14:56:42 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=302.3 | headers={"CF-RAY":"a40ae088991bd098-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:42 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=e2Yf6dPuRMPgkrUEXRyqo%2FdVf40G9ZwsSOoQpdHkJ7PUKxPq5R0keiVyC2OeiSAnhzrVnJ7o2DSiyqSWBYLjPf%2B8o4N8s5wdRZFJ3hQo5fsGEfwPv%2FlbzTCav3f7DzO5HfS72bCD2kWngCYFkA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"l_saQ7EjSdOof0i89o6EoQ"} | body={"token":"<redacted>"}
2026-09-25 14:56:42 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: c51a1984.","email":"api.c51a1984@example.com","name":"API User c51a1984","phone":"01234567890","subject":"API lifecycle c51a1984"}
2026-09-25 14:56:43 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=436.9 | headers={"CF-RAY":"a40ae08a9feccf23-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2BsO%2F21ukwR8ExV5T2Mv8%2Be3tlqdItnTVU%2FT4Krb63cHdYcZVkkVyepPzj7pbKnqq32xlZoskK%2FXdVXuxoDZ9QYeQj%2FxbMVtlYX%2BXXec6CTUE0rnQylm%2BLRKoMuQuMO3JoNRcgy3v8VlowwEqLQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"FLaL9L8CTIiRyqpBjq4OvQ"} | body={"success":true}
2026-09-25 14:56:43 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:56:43 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=395.3 | headers={"CF-RAY":"a40ae08cf85bd098-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=DU8HE3%2FscWvaljPVd1EMaS6EEDQuqIGcIXF339r8Fddmwh29vQWx3KyCQjg5G18whkN%2FYdsCWJ2Z4vJV7cDeKUq5wW7%2F7WfUWh8tnTlgXMkr5CHyv7kaz%2BSID5DTXRdqu%2FVSh8ubnxHR1h8lVg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"3mDNdygiR3iuK_dAnpoFkQ"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest98a75355","read":false,"subject":"You have a new booking!"},{"id":5,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Api Guest36532cf8","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guest7b597226","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guestc39ecb7e","read":false,"subject":"You have a new booking!"},{"id":9,"name":"Api Guest7ef359d9","read":false,"subject":"You have a new booking!"},{"id":12,"name":"API User c51a1984","read":false,"subject":"API lifecycle c51a1984"}]}
2026-09-25 14:56:43 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/12 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 14:56:43 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/message/12 | status=403 | elapsed_ms=387.2 | headers={"CF-RAY":"a40ae08f7c21cf23-SJC","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 14:56:43 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JDlIlcdb9EFifOkmJydlNeVJ1nzKFolROdlDChQzjo%2FVMt%2BQ%2BADPBzl%2BUtorg6g%2FlqhFmGgJsWtjklp8DxMhsU%2BDWgnRu4zpTeJvHVbP4yslmludHuPEWAsz7VeNxbgVVondGupjelfqbvVwRQ%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"YXb86wWtSJqC3L0sWUN5dQ"} | body=<empty>
2026-09-25 14:56:43 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 14:56:44 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=356.2 | headers={"CF-RAY":"a40ae091da17d098-LAX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 14:56:44 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=t55ISPGTTj4UqZtvj4kzLAhHuOrPtjOs0qwWmB87XpbtIiguoBjQr0ABqD%2B%2B2fTTpJYS9MnIVvF6NI1W1%2FtlR93flkS6hI9MIyKEpZshmY1YUIvhQZTpPJtnWe864g4cKmNnT3KG2g6aOSi8ZA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"sAkPnV2jTwWrTlHZ6WHkDg"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest98a75355","read":false,"subject":"You have a new booking!"},{"id":5,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Api Guest36532cf8","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guest7b597226","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guestc39ecb7e","read":false,"subject":"You have a new booking!"},{"id":9,"name":"Api Guest7ef359d9","read":false,"subject":"You have a new booking!"},{"id":12,"name":"API User c51a1984","read":false,"subject":"API lifecycle c51a1984"}]}
2026-09-25 14:56:44 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/12 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
