2026-09-25 15:00:52 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:00:52 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=292.2 | headers={"CF-RAY":"a40ae6a518388816-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:52 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=45tBze9iVwluvnUpp9Rj1%2Bmgjq46H5Z1mg74mubCGmUEdIupYeaXmqEKSvzzchBmIsyE4S8dX2y1TqRgbK9L5jd9v1zUqHu%2F05%2FXE0aEhV00vi%2FYf7f5OSh62eobYxfxcRWem3CywnPCHVkiQg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"nhflDdxEQDC7HlYm8u2xcg"} | body={"token":"<redacted>"}
2026-09-25 15:00:52 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room ba8bc29d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-ba8bc29d","roomPrice":175,"type":"Double"}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=173.1 | headers={"CF-RAY":"a40ae6a69d2d8816-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ijTMx3mQNiEso1BKsy3bGv9TruRhW1NDolNyJ7I5VscroQi80vovIq39oOo%2FEDuZOOgFi3e7UuEignWb3ble26ZEdGavAxHYMzpicJiLKGjoXHEnCjdH0RxXoUXMcBacWmsXSBw91XTts8azdw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"AnFaz02LSkSzuvXnGbGh5g"} | body={"success":true}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=298.3 | headers={"CF-RAY":"a40ae6a80b8aec6f-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=dWRZ0JhLNUr8zci0XMJBOXla0VzJAfCV2FjUM%2FsbkKmiuGf%2FfVUPCuAZsTA9BbbOVXsPISyFdFM5cFF%2FV0uIbxwu7kUAM7t3XeC5px%2FDTKnrYdygx5EbS%2FJjwlj4DFFa8qJZ0d%2FPd3SBN4SDCA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"Km-GBmvNTQKlMvr5O8poTA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room ba8bc29d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-ba8bc29d","roomPrice":175,"roomid":17,"type":"Double"}]}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.22e199eb@example.com","firstname":"Api","lastname":"Guest22e199eb","phone":"01234567890","roomid":17}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=235.8 | headers={"CF-RAY":"a40ae6a999f4ec6f-YYZ","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=EWB0GMj3cBTrNRonKsnzKPXJWnTbLD8HpiIvm8akejsYyHoT0zFDq3AzhBFq4BgjMee8%2BIDQUozOzeUf7J84z4B2cJjDykzr33%2F11JOu3PtEiyBliMkMUlZjiqjNZu2NF7AEXni%2BLEGJaNsDKg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"yh8TAXo4SDODCydcBhdwDg"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":17,"depositpaid":false,"firstname":"Api","lastname":"Guest22e199eb","roomid":17}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":17} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=17 | status=200 | elapsed_ms=154.3 | headers={"CF-RAY":"a40ae6ab0e718816-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:53 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=KVfIABc6JkM2JckEVKvhWH9834xKjsyzlZrN6Xoa6w3QzTFPE7H4YSxv2ol0qUwZfup4OxZMzkpa8jQGbaAz%2BCn3iGAbirK5nW6yzJ1BnaRr%2Bdv6lCYA73PpGKC6PmkCPEUkUmcpEDMK0IQFVA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"bj8_wugGTRyPbwhh8u2xcg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":17,"depositpaid":false,"firstname":"Api","lastname":"Guest22e199eb","roomid":17}]}
2026-09-25 15:00:53 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":17} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
