2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=192.8 | headers={"CF-RAY":"a40ae709aa89e5b3-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Djttfzr1OwAKhyDtfyWe17sV0iprbZYOHfZa1G%2BbhUxCoL5F3dfuGmbH4AAiUBsHO4Y%2BytXrnDpviTrXb3tKDomC7k7CmYPQg6jHYr1DqUBCrMSgfD1SHAbpSiTy5EsT0pu4U7Nc%2FttvM1QpEg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"jxywXcC9QK-p225lFFmdQQ"} | body={"token":"<redacted>"}
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: d2af0c94.","email":"api.d2af0c94@example.com","name":"API User d2af0c94","phone":"01234567890","subject":"API lifecycle d2af0c94"}
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=295.3 | headers={"CF-RAY":"a40ae70af9887091-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=8PnPztkjPAEDSW4sJ0Ud4bSJpdeZa%2BDj3j44azdTLOwRd6FH9GgRpZlrSYyucG0p2rdI8a6jnzoCly5MYrs2vDogX4WWasCowxk%2BzR6GWACaC%2BQA0umA9EJXn%2FvH7ltPFz5a6Zt%2FH78pjTu4bg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"7ZTfwSAPRguSMhzpCx5-qw"} | body={"success":true}
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=218.6 | headers={"CF-RAY":"a40ae70c6d8ae5b3-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=cnrAMXMcUS02ijUDkTkucODCRZNe6S74L2tKQLE4AHZ0lBQeCq5Bx%2F4OF0Go2bpizT6s0UB6kmBknGMjdTHcfJVLtkIxkotKlvYsZmaGBSfh%2BFCy3tpVq9NVsq98uG0KCD7ovikp%2BZAAFdivTg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.gre5","x-railway-edge":"yyz1","x-railway-request-id":"D36Mzn3JSIiL8k4XaP71AA"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":3,"name":"Api Guest3ce2f308","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest551b3008","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest22e199eb","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Api Guestd6d69354","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guestdfb8eed1","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guestff51e763","read":false,"subject":"You have a new booking!"},{"id":11,"name":"API User d2af0c94","read":false,"subject":"API lifecycle d2af0c94"}]}
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP request | method=PUT | url=https://automationintesting.online/api/message/11/read | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP response | method=PUT | url=https://automationintesting.online/api/message/11/read | status=202 | elapsed_ms=230.1 | headers={"CF-RAY":"a40ae70dbad1e5b3-YYZ","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:01:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rGsISiI1z6in1V4g0WXfZyCKRBOyN5PIxSJKLn7HTfHg%2Fp%2BwQR%2FftZAw5pPr771I%2FIeZJ6UEAsTpkzeY58fYj1fgGigSS9h7aRtW9QG15qq%2FaIsxTdIIwxOQsCsWKhQtHI2dKbeeNKSzIDmamg%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"rkxPIet5TCelpIVPc9o55Q"} | body=<empty>
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=224.0 | headers={"CF-RAY":"a40ae70f3e147091-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=diYRYggDzIf71NYe4ZC3zmk3A1GrDNQet9aQNpNgkRIxm3SFUYS3ccT%2FrOV5Lk0tZ22iaUf2PYgjiD2ZDlOlJBk9iJIhmvN6%2BmwKNNJh0O7sVMXGWic2n9vgiWESzb5EKdBZe1yI9ohOL4XDog%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"D2JoVIVzR2KFEajRGbGh5g"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":3,"name":"Api Guest3ce2f308","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest551b3008","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest22e199eb","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Api Guestd6d69354","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guestdfb8eed1","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guestff51e763","read":false,"subject":"You have a new booking!"},{"id":11,"name":"API User d2af0c94","read":true,"subject":"API lifecycle d2af0c94"}]}
2026-09-25 15:01:09 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
