2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=212.5 | headers={"CF-RAY":"a40ae740dee6ac3f-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:17 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=SK1%2BIQM%2BWr1nwtEg6cCBeE6mBpwn25PHSXZcV7eKt880DgoduePrQRUZikrfVO9ODYIaUUT%2FlcWBtxihdbYQWqTuwpP85fWn0XwqR3G7ZMUzg612Tt%2BZFW%2FUon0I8UDzexLkAbk6rmxUh9JCyg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.gre5","x-railway-edge":"yyz1","x-railway-request-id":"ZASkOHuVT_WNtAY-Hn5Ytg"} | body={"token":"<redacted>"}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room e0506960.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e0506960","roomPrice":175,"type":"Double"}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=157.7 | headers={"CF-RAY":"a40ae741cfe5ac3f-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:17 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=63%2B8z%2BRdKQOhOjr3bpNEOjvsqgSEhn2qcUijfKGnFPoxKEEoBL8%2FDjOYYkKTAm4DLFNR4sIofWPNd38JZ4EGNjY%2BI%2B0qLOlDlqMQg6oEL0Ms317VwTPPlRnLPXTpoTpA%2BIFYR%2B66fmd%2FcH%2BYbw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"XDPR-7JuSXyyl2hIg4a9AQ"} | body={"success":true}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:18 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=278.0 | headers={"CF-RAY":"a40ae7431a48b8f3-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=HuE948oBSZhKYvwTgjHK4F43wi8xfvg0fdsfGwlBOPhow4jCw7R3GpjJ2AL9h%2FdrzEcuJPA1B%2B6EpyZCfn6X2rHzhlUHJEyURpeLKSH0PqPGinZ5YYfupDqzWEr8qaHn5hICIpq4AMHa%2BzczPQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"qMoHFcscR9OsdlBpezItjw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room e0506960.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e0506960","roomPrice":175,"roomid":28,"type":"Double"}]}
2026-09-25 15:01:18 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/28 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:18 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/room/28 | status=403 | elapsed_ms=237.2 | headers={"CF-RAY":"a40ae7448e68b8f3-YYZ","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:01:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=2cPZOCS8LxM5fOgL0p2Bb6Ax2x7DGDCOMZAUKviTuEDX5zTTLUoZlZd2rkc8rLf7IcRH9FblXpmDbm70cOBFk28i0eYHoCwcqt3ask1zqKNYk9XLBVYkiPY8AUpSqNyrQVDqlKvKMvDSSPFtYw%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"awNirVcJR0OV0z25Cx5-qw"} | body=<empty>
2026-09-25 15:01:18 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:18 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=219.8 | headers={"CF-RAY":"a40ae7460a3fb8f3-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Y2DuSSOmuKiDCdcty4HdTnRYcqUHZM6oQnaVM%2FxkZp4v1WtlgQANVBGZJda3dhgPixZeOOwHlBsdExn1Sp4I%2FD12OyBd4y%2B%2FgtnUnhybOfipaFWfuwo1pb%2BoV7weJIOxhtSfXORHpyUNZeK78Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"_caKnbN-SpKxJYwDFFmdQQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room e0506960.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e0506960","roomPrice":175,"roomid":28,"type":"Double"}]}
2026-09-25 15:01:18 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/28 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:01:18 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/room/28 | status=202 | elapsed_ms=161.3 | headers={"CF-RAY":"a40ae7476e5cac3f-YYZ","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:01:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=T4NMWJbt4rTH4GeMd3vgbg7ophNHZIjpW47dfnI%2Bg%2FNGUAhNBwVGFTJ9iUvqHXc%2FRCt1iaXbsuyHQ0pM%2Frzk3dgtN3Tv82P9ZbULPfogvMttz%2FEAoLPZvwrHKFSGPpcVNZ%2BX0pzpn%2F4wQ6cX2Q%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"yyz1.gre5","x-railway-edge":"yyz1","x-railway-request-id":"NOh3RowfT7m55wCsHn5Ytg"} | body=<empty>
