2026-09-25 15:01:12 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:01:12 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=285.9 | headers={"CF-RAY":"a40ae71fdf588816-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=p0JE90MqGruBDpb%2F6f8FHJxWUZ53BgylnF7FzIWcCE0Sze3%2BVgcrRw6KexS3emO82CQ8GClIun8l7l6ChNLYEDqzBjs4Wzbq9uw%2BC2SnoIFJfyOiNXwC5NyuxPMpYxkpearDh6vpacNUPEoaRQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"HHKiwhgbQRuwtDovHn5Ytg"} | body={"token":"<redacted>"}
2026-09-25 15:01:12 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room c7f6cb84.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-c7f6cb84","roomPrice":175,"type":"Double"}
2026-09-25 15:01:12 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=151.1 | headers={"CF-RAY":"a40ae7215ce08816-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=XOCuaEC7uBLTpTqHCdCHzy1AzU%2FLPcqKbxqPwXQDbd6bTlN9tUjeossRe8i9HuyklDwc0JjkHC5emh0WXPCYNUIrL7wbvh5y2DuouQoofKhcQyE1szn34uBAmZvTskzZiotGpleQE%2FJtXcISBA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"oI73ia-RR9uzDdb2O8poTA"} | body={"success":true}
2026-09-25 15:01:12 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:12 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=205.4 | headers={"CF-RAY":"a40ae7229898aad4-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=vZizvqetAAVchtXbVaft%2Fp2kBtnKbI00OhvxE0KlEcleZBaHlYiSlrhbUgnSsPkHDsDSBQq%2FrBZawPndhtGyOSIBo5AlH4j9s7rpnH0qmrcKyp0%2FpDDjy93RjwKSB1p1ofZAJX5M6eAj9muj3A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"DzXtBOkjRemjmTOnO8poTA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room c7f6cb84.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-c7f6cb84","roomPrice":175,"roomid":25,"type":"Double"}]}
2026-09-25 15:01:12 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.77dc34bc@example.com","firstname":"Api","lastname":"Guest77dc34bc","phone":"01234567890","roomid":25}
2026-09-25 15:01:13 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=137.4 | headers={"CF-RAY":"a40ae7238977aad4-YYZ","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=1OTx9KIKDI4%2Fi2cIva2QKmbn9v1poJE3Z0mWy%2B8x4tEzqWsE2eF6qVFebGq26H2%2FTmQ2M%2Faj2d6OPSSmRXsULCBZUKbIPtfjhymxnGKGrEZr9eCHktI2xd5gHMF2r6FmayseIECYDdKqWsmj7A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"9DHLsaI1TVyC4UlNCx5-qw"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":21,"depositpaid":false,"firstname":"Api","lastname":"Guest77dc34bc","roomid":25}
2026-09-25 15:01:13 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":25} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:01:13 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=25 | status=200 | elapsed_ms=231.5 | headers={"CF-RAY":"a40ae72469478816-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=YjmpgTtFF%2BtvSVw1wBKuk9nHWlpdA9igqck2nxibckrN0qI9v9WF0gJI%2F%2BCE2cRrn80ziP5%2BJwPHZ8QTiq3eNwb0N4Wc9RGeqt7MFpwatI%2BnjsNpRPLbus2HfLhR6eGh77YAY8fpVJTD8DW5kg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"SubkaltHRT-XM6ydU79b0g"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":21,"depositpaid":false,"firstname":"Api","lastname":"Guest77dc34bc","roomid":25}]}
2026-09-25 15:01:13 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/report/room/25 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
