2026-09-25 15:00:54 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:00:54 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=231.9 | headers={"CF-RAY":"a40ae6b1bd5bb8f3-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:54 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=h4BfENuaSqtoad02bLBUXLygMw9VT1v0o9GLOr7o3OKIJ%2FX6p7v%2B2LFwy6kGX%2FZIxA44Lqyw%2FEVUgIBsPmCYeo0JJ0PMLjfgEO3J1n6s3ucAehWtSKh2bAAxGcIKFSIH9XHs7CuPCMCEImzEfA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"Fg9KQHhqQ1maZKBmqmzx2A"} | body={"token":"<redacted>"}
2026-09-25 15:00:54 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room db85f396.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-db85f396","roomPrice":175,"type":"Double"}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=232.8 | headers={"CF-RAY":"a40ae6b2d8a0b8f3-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:55 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=scogNLGH4waolLD2aC8yhtVxsW0n1guxDU0mKX6S1sDgOFBr%2FXGthC2Itq4%2Bd5%2FVlMoKMmyScYemMSrJkGNvO6T0Ce4xVNlqJjLRtW%2B%2FxPE%2B53ze8JBuT6LJJHYX7%2F75dnrV2N0%2FtWaRdJwx9g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"cODK2PG7T0qqyFxCFFmdQQ"} | body={"success":true}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=302.7 | headers={"CF-RAY":"a40ae6b4a9320c26-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:55 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Z2Ac4pCrY8%2FLq%2BdJx9%2F0cZgcoCQobsDUz%2BF36ROSj6nzWxnQKLxTb46Bi4wyzScO9x0W2xSFm0NW0PLdpmg7NoSmVk1PeDpepLvYNBnWoe4pKHcgHfwo%2FE%2B2otUYLi0XV2u9%2BYBwdk%2BPplHlBQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"Uac0tY2tRaSXvj1uH4GxDA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room db85f396.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-db85f396","roomPrice":175,"roomid":18,"type":"Double"}]}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"invalid-email","firstname":"","lastname":"Guestdaf4ede0","phone":"123","roomid":18}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=400 | elapsed_ms=223.7 | headers={"CF-RAY":"a40ae6b6385d0c26-YYZ","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:55 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Ud6at6pc5oWUHT556Zv7WCqMyJckoO7DC7%2FLaD%2FgH8jG87iW5%2BAzfnBj8GEffbcelpNY3T8nf0nkRc%2BC%2Bh9smkWjiB3JB7YWxLHD4AcEmUTc12zlvrI7jhAmwynF5hrwB41CzkY9oJmOBOpkdA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"6nYSHc2GQJSgjqNswoOzXw"} | body={"errors":["size must be between 3 and 18","size must be between 11 and 21","Firstname should not be blank","must be a well-formed email address"]}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":18} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=18 | status=200 | elapsed_ms=154.4 | headers={"CF-RAY":"a40ae6b7ad5fb8f3-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:55 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=qU83aDVzoFuZNWG9ELObiSZv%2FtEH0N%2FPNtL4A3qh%2FQU%2BHZC2lNdDSSGGsS3iOBieV%2BWewAkjyRS7GKOQxiyC5ChDpXvEu4xuTuQ%2FFyQuv7cRiWR743gRmh7uKA1HVY%2FtETlJ6FnQlR90Tu4IYw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"gW5qDeKBSymhsMI6BhdwDg"} | body={"bookings":[]}
2026-09-25 15:00:55 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
