2026-09-25 15:01:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:01:07 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=214.2 | headers={"CF-RAY":"a40ae7022ebe36d4-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=UOUrvoWaaqDu3VtFWf3a0Y6EJxVc%2FFjc9Y3LmIUFbNS6npBfxZ8WhQ8GiJo%2BQDsMajClNECdn3islnpe3AWKNi5HVv9%2F1iuWQ3oWFziSrWaZFufRGEWxeUIFEeohPKpn2nWna5pO8OLWRQy6WQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.gre5","x-railway-edge":"yyz1","x-railway-request-id":"T9Y-0uPySo-A-oGfFFmdQQ"} | body={"token":"<redacted>"}
2026-09-25 15:01:07 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: ae6706e2.","email":"api.ae6706e2@example.com","name":"API User ae6706e2","phone":"01234567890","subject":"API lifecycle ae6706e2"}
2026-09-25 15:01:07 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=193.6 | headers={"CF-RAY":"a40ae7038d042116-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:07 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=YLVin1VJUq9Q5Lbe%2FYEtpi6LNFlW9gv7g1jGL%2BQ7fOk%2FL7db0OXKkcpjQBCoNGtRbNYX7JXEa%2BPy8Ovb7aet%2Bq3zLKom%2B2T880wbAZOmfmD47jKx9w%2BUQaG6aAu7MOTGfIIjGLNyMsVbXV7n9Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"n9cdMc8KSVqnpdNCozsQ6Q"} | body={"success":true}
2026-09-25 15:01:07 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=230.9 | headers={"CF-RAY":"a40ae704595236d4-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JXiIhghORV%2FO%2FtpSs4qL%2FSI%2F4WHd03vmePRyYikMiXvNPexKVqva%2FvTFRvXBneQRneGocC1I3qE2mK9C5GnVLEHAzWLLU5eRlwTAT%2F5QsRXGZmf4sVhj4soJd0s6YVxmMLvY8klGRwfDIPLdnQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.gre5","x-railway-edge":"yyz1","x-railway-request-id":"NoQfu5JuQ4GabA_4PvyhXg"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":3,"name":"Api Guest3ce2f308","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest551b3008","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest22e199eb","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Api Guestd6d69354","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guestdfb8eed1","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guestff51e763","read":false,"subject":"You have a new booking!"},{"id":10,"name":"API User ae6706e2","read":false,"subject":"API lifecycle ae6706e2"}]}
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/10 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/message/10 | status=403 | elapsed_ms=145.9 | headers={"CF-RAY":"a40ae705de0c2116-YYZ","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:01:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=o7G0xunATjhfUOxvCjeOL5BU%2Fn2e9F8SqAZ5gVu29e%2FbT8wU2mV30MijnHes%2FzLneR6ldyi%2BSFitnt%2B%2FT%2FKf6oj7%2F6bwq1eQ%2FtI0XhIcyZxQCVeVQMjZRLzcmoLjjhdMbpMeMuTUX4QLVGcPVw%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"tEdvmV7CTlSewpcDozsQ6Q"} | body=<empty>
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=149.3 | headers={"CF-RAY":"a40ae706bc0436d4-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=5hEs6AOaYgwLiS3XTGp1lKKC%2F7xEm5x0EzwovlxRrwvbsUqRtUxG0Q6Ss2Hh9cU0uv0y96ZKPbxKzhDPCkcdLLS3NS3D30IkXeBUmHphKe1vmgnOODywoiM3RD%2BjCWR8kNr7RxyaPQbriyx2Pw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.gre5","x-railway-edge":"yyz1","x-railway-request-id":"12LaiIJ9STuQnjRiPvyhXg"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":3,"name":"Api Guest3ce2f308","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest551b3008","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest22e199eb","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Api Guestd6d69354","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guestdfb8eed1","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guestff51e763","read":false,"subject":"You have a new booking!"},{"id":10,"name":"API User ae6706e2","read":false,"subject":"API lifecycle ae6706e2"}]}
2026-09-25 15:01:08 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/10 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
