2026-09-25 15:00:56 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:00:56 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=231.2 | headers={"CF-RAY":"a40ae6bb6e24086a-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:56 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=69Qc1d852vf%2Bkv2KF7l%2FdkY4pPACn0ZUX8sEkVepT1uyAn7KQj4Dvfov9EL9%2Bw16sk4hbeXUhI9zcL6cr4EaE%2F0Wju8tI2t9Kq0vafGRNXJkiViZ0dVxoycrg5DJbDu2rnnbaLuQHFEphXSGhQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"6RRugehnQhGjJSSsFFmdQQ"} | body={"token":"<redacted>"}
2026-09-25 15:00:56 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 1928625e.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-1928625e","roomPrice":175,"type":"Double"}
2026-09-25 15:00:56 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=237.2 | headers={"CF-RAY":"a40ae6bc8a9b086a-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:56 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=r2%2BzYV0HVdqnEBJkO%2FjP8JjHXGfnekTWuIr2%2FqYyP%2B1O1Pag8uZlZnPRXRD7MmZG47PQ%2BohR8HF4%2BZoaRXEPVV5l5B33UnV8dw%2FL8TW%2FNbBdYiuG8tKq5JjmG8VcxAU9ATgGWdcgGT5q%2BUuwsg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.gre5","x-railway-edge":"yyz1","x-railway-request-id":"6wcfF0xzRYSag-oTaP71AA"} | body={"success":true}
2026-09-25 15:00:56 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:00:56 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=228.2 | headers={"CF-RAY":"a40ae6be5f11a252-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:56 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=DVZTkE2fFAszZuH6ysmNbWJ3UxLFSb1H3%2FGyZvplN9JKV318TUdEfS%2BJN%2BiEzan0zjlC65Y7Jduq4W94wFKijpz%2BR60Da0NdOBJiK4hB24F7IWEn5%2FVNCz%2BlTLjxb4HYLhf8FCnPtpd0wXTl%2Fw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"MC1_beuaRimXbb5lFFmdQQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 1928625e.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-1928625e","roomPrice":175,"roomid":19,"type":"Double"}]}
2026-09-25 15:00:56 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-23"},"depositpaid":false,"email":"api.bfab5bb9@example.com","firstname":"Api","lastname":"Guestbfab5bb9","phone":"01234567890","roomid":19}
2026-09-25 15:00:57 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=409 | elapsed_ms=228.1 | headers={"CF-RAY":"a40ae6bf682aa252-YYZ","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:57 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=5AZcBJHjcJHgy7jV%2F%2Fs6sKn6bqVvW1IZ6tPxHjKk37nd%2BW0xoRLkbxNuG5LcajnT0faaNWjjqT2Bd%2FM7Cqk5QgAkWHf33MvCqunebECklJLum0Ccbg2UsnZ6OLkwtsFWnqmRYHcaKVuLqC%2Bbhw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"EzVc9DO6TsqHmBZCc9o55Q"} | body={"error":"Failed to create booking"}
2026-09-25 15:00:57 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":19} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:00:57 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=19 | status=200 | elapsed_ms=155.2 | headers={"CF-RAY":"a40ae6c0dd17086a-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:00:57 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=mrLW%2FrCs4q9WXpJUKWVPvvo1jkQ5A89HVhQIh2lZzkr7bhOMf3Aye9VTj3tM0dAwtVKNlCCVWLA3yj9HWeLEAnrlVnY5ITB%2BvBX69RCJUqJVRelsJ5MF0McXQ6LkSrfS9ysmwKHG6%2FxPQ01lFQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"dQjRcMyESY6gcEH3BhdwDg"} | body={"bookings":[]}
2026-09-25 15:00:57 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
