2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=149.3 | headers={"CF-RAY":"a40b0163fbf0e5c3-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=KLWO6z0NV5osgQJ%2FzuzU5m9j%2FIAaa84KGFMp10lkcXUx4KxazkEvqXaWSbUJYiA1Oxpd4lmDjcUkcnjf5eJwlI0rkzRe2JJ0RbsXvii0apok1evpxaWqaL1pmhkEfPP4sz6G2Zzoj2yAYNxBbA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"Pp5stlxSQsyROlOQjVra_w"} | body={"token":"<redacted>"}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 5d811ab0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-5d811ab0","roomPrice":175,"type":"Double"}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=119.1 | headers={"CF-RAY":"a40b0164be19e5c3-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=gRZF8xvfRNmQ5FeT6zFGJyTSH%2Fz%2FyGXhaHLxdu0idQXIAg4f4Ezlp9%2BUo4lBEMvGHopTsRpMDVqrNZDpRZaUX9GRrAu6k6dNqtI5RecV6IFjB%2Fv42CXb38t%2BG2yol%2Fa8jc3jXLgR8nSkmxC4wA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"YEI7V1AWR5i3sS1PH4GxDA"} | body={"success":true}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=316.8 | headers={"CF-RAY":"a40b0165bca0f331-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Hly9PJ2kHEGXf1Fkc6LokJxUCEFjcHFOL2kLuDeC0VXAZw1Ch4sB5%2F7IhtdJF3n7HZmlQ38COYECcm1vSg6AMoJpBzAiX%2BF6eUT%2Fzjh3ziE7fk4nLHKa5BVYdL%2FXoYKn6UPjeQ9I6eT2FW7A6Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"yxToPkQuS92WrED7PvyhXg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 5d811ab0.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-5d811ab0","roomPrice":175,"roomid":10,"type":"Double"}]}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.8d9d86a7@example.com","firstname":"Api","lastname":"Guest8d9d86a7","phone":"01234567890","roomid":10}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=199.7 | headers={"CF-RAY":"a40b01677b00f331-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:08 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=kDRQP2vDSkDHrPfbXUJ1KFApthpbGDMaZnQt7dm4Dk5PT%2FUwWyaVKfrM7tAPNi20BT3OhUncW3Fl8TVq9G0Dg07%2BAHGhRDSO5ARQyk6EY9L0tP67xokwdvCRcDMmJ45tlcZRovqFCSId4rVbBg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"wSzvlrD6QbS14yUsqmzx2A"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":15,"depositpaid":false,"firstname":"Api","lastname":"Guest8d9d86a7","roomid":10}
2026-09-25 15:19:08 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":10} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:09 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=10 | status=200 | elapsed_ms=112.9 | headers={"CF-RAY":"a40b0168b8d6e5c3-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:09 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=inz4Gk1QMhQl3%2FwZNawPtvSh9jyfAZskguLvpTLIC3I%2Bj5tPH%2BYqvODwmeOFalkFy%2BH0KMGq4vC7hlIUVSfspM3SV9xdmu28t%2BG%2BxLbKOlfGAk50QdS2QYex3UpB%2BPPz4w%2FH2HegP4AxP8dnhw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"10GKI3dKT2uPoY5Uo3UVLg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":15,"depositpaid":false,"firstname":"Api","lastname":"Guest8d9d86a7","roomid":10}]}
2026-09-25 15:19:09 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"overlap.98b48612@example.com","firstname":"Overlap","lastname":"Guest98b48612","phone":"01234567890","roomid":10}
