2026-09-25 15:19:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=239.4 | headers={"CF-RAY":"a40b0192ceec5774-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=WhKwS6JeeOIyNCVpBf1Ele77bFeG3rPpZOUGi6ywgp1I%2BFbd6bDkRKnpw1Nu1xIbiKMzhTH1iNAPI4T6QBQtS3UPB55IEh1mgEQS741NshPk%2Fu6jxKxO9IsvjnMic%2BJnJavN68StfKxf1V9XxA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"2vpjnxgET6yoyRDAPvyhXg"} | body={"token":"<redacted>"}
2026-09-25 15:19:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 92f02780.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-92f02780","roomPrice":175,"type":"Double"}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=213.5 | headers={"CF-RAY":"a40b01941b495774-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2BBwp%2FBK1GhjhMC9QudM0cGVKaDvExT92NAwuT9J7EwjZ0q44ajQD30aUYGpNuV5skoYaheh%2FYJtpx7WR5LFQsk0pl1t8tBobLyeJRLQGgRNSSXbw7WalFMYc8KsFLgN8XYTACTFloX%2Bl39mC1w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"vmZ16m5MTvW-iFBO8u2xcg"} | body={"success":true}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=171.0 | headers={"CF-RAY":"a40b0195b9fc43c4-EWR","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=eTIdColpfTuXhwPZy8F%2FUIJVNHL29WM34Nj5J5NCN6cAKoGqhlLB%2BoDdp7q4KiWw%2BFZZUPlO%2FinehCSpyLiOlKCZkG6MVnizmvy10aIZrMOAzcqPXy4TB6F1h6xDB7gANfW5%2BU%2FN0rCwV%2BbuRA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"u2lgLZj4S-6NECLvo3UVLg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 92f02780.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-92f02780","roomPrice":175,"roomid":12,"type":"Double"}]}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.c2d71ed4@example.com","firstname":"Api","lastname":"Guestc2d71ed4","phone":"01234567890","roomid":12}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=211.4 | headers={"CF-RAY":"a40b01968aa043c4-EWR","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=RvMNG%2FxrXEINcocM2qPGo1HxREn3o31wL6hrE8kUoroAL6nu9MSuXK2xKZ9mLzADSId%2BnwnQfQ%2FaLMlRuMdjPRhBqMlIfjLAs7E%2F2Z%2BImWLnVeq%2FXDkWs1Nt%2BqvAeHZZGmPPDHgHHwMwKVgyGw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"ylOL3q-pTbSHSVcqc9o55Q"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":16,"depositpaid":false,"firstname":"Api","lastname":"Guestc2d71ed4","roomid":12}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":12} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=12 | status=200 | elapsed_ms=204.8 | headers={"CF-RAY":"a40b0197d8a75774-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ebqqyYHGUOKzxPJ%2FxtCvOpLOGC%2B8JwlVND53rWWwT%2FmibDg6SnyhprLraai2QR5schqKzisvdWSx3xyUgG5%2FUnacpMcTCkc6TcUU9kpwjpe6PfOGKkQKjYFqJGoJin2XI3gCVLTieCZU4P4fag%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"2SnLwFoLRhiiPEM0aP71AA"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":16,"depositpaid":false,"firstname":"Api","lastname":"Guestc2d71ed4","roomid":12}]}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/report/room/12 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/report/room/12 | status=200 | elapsed_ms=138.2 | headers={"CF-RAY":"a40b01992c7043c4-EWR","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=yqAkkup21xGBtkA0NvOQQolOVI5akBCzvofXujVMcaLDMSmGfQc16tXzDeE7g1sRoo2gI3FF7WK6mMrQVxczF6LsQ4IGGu1DYrKM4ui8yKW9KZ2O0KYRWbjKsS4d%2BcCoXkMhJhmw1ixqx%2FURmg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"PkX2YJh1TAuXDTzuPvyhXg"} | body={"report":[{"end":"2026-11-26","start":"2026-11-24","title":"Unavailable"}]}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":12} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=12 | status=200 | elapsed_ms=119.4 | headers={"CF-RAY":"a40b0199ffe15774-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=vowlxfIFoatlIheCw0xkEJtrD4IkBOq1PePz7Llg4w6GDdL9q0lXB%2BUD6x399RmrZjdGw4N7KrZNzakqI1dAHG0Kp8U0qNwX5JDG8Hpt5dWJW%2BLlevkagTWJMI2lg6n%2BgH1Zw5JgGW0tZ795%2Bw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"DiJrEwAeTw-n_nI3ezItjw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":16,"depositpaid":false,"firstname":"Api","lastname":"Guestc2d71ed4","roomid":12}]}
2026-09-25 15:19:16 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/16 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:17 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/booking/16 | status=202 | elapsed_ms=126.7 | headers={"CF-RAY":"a40b019aba5c5774-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:19:17 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=FFjfuzJM0z3tmc1alb15kqEcGrMAWL9PV5ClQB%2BisKmgTfTlRjahsMAQ709208MjEjGXmT5xuV%2F1YPO%2Fyepr5DnG85e4A%2FZl0X4okwCHJNZtUCRfR22K2IQN%2BOjZpW%2BxgcBRbHYCl9l3tKxq1w%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"FOzLNpCWQqqcGMssCx5-qw"} | body=<empty>
2026-09-25 15:19:17 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:17 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=126.9 | headers={"CF-RAY":"a40b019b8e5443c4-EWR","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:17 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=XPNru3w6wlL%2F0RrW5ZlE3LpewWGWOJRo4IfFpW%2BGRpXBrbbk4inoTHvo%2FylNZgDhfZGgP5q3cgBIWxWQv7bJy3%2BS%2BtOkGzhy%2BWWmDsz4qhY5VkLR1c0eAEphOJGHnqU%2BIW4%2FWJ%2BkL3LZg7F%2BDA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"l1tv9J0RSV2N2ws4BT7zVQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 92f02780.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-92f02780","roomPrice":175,"roomid":12,"type":"Double"}]}
2026-09-25 15:19:17 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/12 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
