2026-09-25 15:19:11 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:11 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=274.1 | headers={"CF-RAY":"a40b017a7dece72b-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:11 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=XGgG5LfKFP0YXvHWWYi6dOstLFxu1O00qo1AhmK1rKGWKt93WNx67MGeGO44OMqhFlMWfG3eOGo9JixXCPsHyUAR9bFDDPtOC6nufJJzfg3t8ubN4%2BR7c8aVsF247LBvJQv951lbfp5qnrPrZg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"FrbdknyURLiOuougBhdwDg"} | body={"token":"<redacted>"}
2026-09-25 15:19:11 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: 6c0c6ce9.","email":"api.6c0c6ce9@example.com","name":"API User 6c0c6ce9","phone":"01234567890","subject":"API lifecycle 6c0c6ce9"}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=228.1 | headers={"CF-RAY":"a40b017c3dc116e7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rLCZ0vgAJnZI0wSZC45SGQ%2B76r8EQ%2BAUws%2FGpyepp89thzxP0Nd4yrvkq%2BDMW2eRSlvYqlKJ6plZLg%2BznltD43LLat8EUK%2BD%2FgBUTX6rz%2Bxws2h7yWq%2FhsfJik2Q8lj2smUtYYn3ieh2lhuoow%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"km2WHtNBRsWRt2PTg4a9AQ"} | body={"success":true}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=111.5 | headers={"CF-RAY":"a40b017d6939e72b-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=hHZjztqKCj5jvZtYviwq0tyYu5Q9aYfHFaeZTVowCqmQdMlW9AD268zceDT78Io1Etygx5iD0xFMtBG86KTDeZMINJAUeLVeTH7%2Fxj5BRjYCjtC6wxmrFGM3pb3tNRtMY7JI03CG8njq6bgOXw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"o-D6Sso8TTypNhqvozsQ6Q"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"Api Guest7b135064","read":false,"subject":"You have a new booking!"},{"id":3,"name":"Api Guest6d0fe376","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest584e1e55","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest8d9d86a7","read":false,"subject":"You have a new booking!"},{"id":7,"name":"API User 6c0c6ce9","read":false,"subject":"API lifecycle 6c0c6ce9"}]}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/message/7 | status=403 | elapsed_ms=124.5 | headers={"CF-RAY":"a40b017e1d6316e7-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:19:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=c9u4z3%2B91EnedEc2cZ74I8QNQl7uqwXFkZJfvUjOyyiGDyal8RHpYu%2BMVaIvciE09vEPJfHrJxV8SrGD2aPQW4fiI%2BY7%2F1rEi0ilOnYxDpR3FuWUDE7iHQtOFty0gCQrzJUlQev%2BwrjY9EroVQ%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"OttC44YJTRi2tY0bBhdwDg"} | body=<empty>
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=111.8 | headers={"CF-RAY":"a40b017eeef6e72b-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=n57MiKAC1qmgiJE9Mr00cTUkcxaz6kr%2BZY8na28SxjZ4%2BXLYhxd8h6SQ7s5cGYeFQ%2FrUo0aQqp1ocuOjMCxWao37Pw4iNViBED24mlzyZOhw%2BO1TyF9Y8z8p7JeZOPa37nF7yDsSUiBjAaC2%2FA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"Cd_vvq4bRGeaMgWWFFmdQQ"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"Api Guest7b135064","read":false,"subject":"You have a new booking!"},{"id":3,"name":"Api Guest6d0fe376","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest584e1e55","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest8d9d86a7","read":false,"subject":"You have a new booking!"},{"id":7,"name":"API User 6c0c6ce9","read":false,"subject":"API lifecycle 6c0c6ce9"}]}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/message/7 | status=202 | elapsed_ms=215.3 | headers={"CF-RAY":"a40b017f999ce72b-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:19:12 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=5E2TLk84%2BvBKveU1STBd8vHxElVc06HXg07f63%2Bt1bSGTGctDF47an7ZpV5UmAW4BCrYc0uiLy4YYanpTFQHPi%2FQyqp661JW36u40dl9o%2BlT9WVyQJ4z36EYdDiO7wZ0tcnIL%2F45Am0XdZergA%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"jiADXt7yRZa1jxDZAax-fw"} | body=<empty>
