2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=158.2 | headers={"CF-RAY":"a40b014e2ce816e7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=iXMM5sevVxd7tN7Y8%2FVCFp0pfnZbCeEsRh8fNO6Im8CZ95Y9hT8nPfuXqYW0cHd8Vjdhx2VFQr77j425RZgkstd4cqNBr6jZfjSwZwRqz%2FZNfa5XaG%2FMwG0nUqsJrfdv7ru2cr8Utayu5ICGqA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"T6W2SW0gSZCkZa3PFFmdQQ"} | body={"token":"<redacted>"}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 08c7733f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-08c7733f","roomPrice":175,"type":"Double"}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=217.3 | headers={"CF-RAY":"a40b014ee80c16e7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=lb%2B773vvpcyQHFkz7PmedXdXVn28yqoWs310Rl5L0c%2BmQD%2BwcJX65ctgSMv3x4S%2BSwjYiTndYP2X%2Bnn5BThkySOJsH7cifXfDgtuuxp47ybn7O4NS%2FN7SjfGTm3uoPrZCQSgFqv2FsWjsJFj%2FA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"UZLlMmRCTM6Nkre5ezItjw"} | body={"success":true}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=187.9 | headers={"CF-RAY":"a40b01509e8843c4-EWR","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:05 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=J9oi8kxocQ2Hj8Hd71m1CJ%2BpIeF6d0ILenSWSEtl%2Bjk43ZCPU9alMSw9%2BXYP1FVXVtrIj0VljcnMeFJswHQ5EXw3QSGY6rZ%2F67L0mhX7bXhv2zl8hRHD3WTumIaux3Yar82yEnELhC2r8ph4qw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.57w5","x-railway-edge":"jfk1","x-railway-request-id":"frtsIK2cQo-hzVVQH4GxDA"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 08c7733f.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-08c7733f","roomPrice":175,"roomid":8,"type":"Double"}]}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.6d0fe376@example.com","firstname":"Api","lastname":"Guest6d0fe376","phone":"01234567890","roomid":8}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=147.6 | headers={"CF-RAY":"a40b01517f1e43c4-EWR","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:05 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=czrjzfhRYN7ZAxSHiRnVDWeK1XIjKFhQ1qBi9vn9Qo5dTLKbKrFUvFFOhnHmSsIb7aEP88KHth85QWv2vJqcTczzrA9bBg9BKfBK%2FDF46QDJkgAjIuFQgpdjw1oHrqlOgBp3TXCPmr0oUNCH6w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"jfk1.pqzh","x-railway-edge":"jfk1","x-railway-request-id":"XRpholQ8QISYN3xiH4GxDA"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":13,"depositpaid":false,"firstname":"Api","lastname":"Guest6d0fe376","roomid":8}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":8} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=8 | status=200 | elapsed_ms=115.7 | headers={"CF-RAY":"a40b01526e8716e7-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:05 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=VNw2PEzrp%2Bik0S0TDnk8wdeVnowt3H2IoW3NpUACaGGd516Ls8Lfby1OH%2FP%2FA6bGUuIfVp3vXrQy3sLv3s2QJ%2BBPHrSuaKdJLAnSARvjGrdQ%2F%2BTKS6cCgbYnT89kTb7UcTycUQQJ6C%2FT2UvlaA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"CKharEZZQG-ZB5gW8u2xcg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":13,"depositpaid":false,"firstname":"Api","lastname":"Guest6d0fe376","roomid":8}]}
2026-09-25 15:19:05 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/13 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
