2026-09-25 15:19:12 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=249.5 | headers={"CF-RAY":"a40b01813986840d-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=CkcICpNfR70MrHA1YQB1XlfkFHuduwDhVbEexATmbF%2F4L8bkh0FVEtHRDClF8qs4JDJbeNp%2FOYPwN9nnNdzzKlknsszQHBygVEcmK7nNNxHGHreJpz%2FD3%2FqnVzK3xRDsreBJD0BsOeumrTK6Ew%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"6dl5Mdl8QaigIbsMyCLmYg"} | body={"token":"<redacted>"}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: 0d0d164a.","email":"api.0d0d164a@example.com","name":"API User 0d0d164a","phone":"01234567890","subject":"API lifecycle 0d0d164a"}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=145.8 | headers={"CF-RAY":"a40b0182cde4cb80-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=PqRrZDIDDTobk2kz9DrTPNnL1EV8lLcAdtZ66movottEhTNPdEu2VpGzkDU4qv6Ni81US5xWWiiViwlEj97g%2BgzeNQ79JwcGBSbr%2F5mFo8%2BArBln2No9LUXNgjJk8n4CPgX4IWzzEoPiqDeCEg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"89-t60C3SwWqmAy2g4a9AQ"} | body={"success":true}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=106.3 | headers={"CF-RAY":"a40b018379f0840d-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=laQm0lUtg8EFlPIx0faqkMp9zN8AHXyRcHnVGWLCk8MkAnIpa3p%2F%2Fhbj3U76%2BwCL9ncbhLrWxJaDwLb5QB7%2Bp5ZUo6WKrxe8YP7D0g0ipHGGb93IiO%2FoZp4Tsq6Mc4yRYaD0V4z%2BxwV0xm869w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"YWFDsHw6QqG7U_8CezItjw"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"Api Guest7b135064","read":false,"subject":"You have a new booking!"},{"id":3,"name":"Api Guest6d0fe376","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest584e1e55","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest8d9d86a7","read":false,"subject":"You have a new booking!"},{"id":8,"name":"API User 0d0d164a","read":false,"subject":"API lifecycle 0d0d164a"}]}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP request | method=PUT | url=https://automationintesting.online/api/message/8/read | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP response | method=PUT | url=https://automationintesting.online/api/message/8/read | status=202 | elapsed_ms=120.7 | headers={"CF-RAY":"a40b01842c4e840d-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 25 Sep 2026 15:19:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=8kWqTaq04vVGo%2FTdIeRw60VNvn8hnE1LnA98UWgHnsDdrrpoF0OV2Y3rGAepX5k%2BihQADA5HK9Wuopr9%2F2bQQ%2BjONbztN2bhJYsUopWof6t7ca3MDnE0R7YwGkyOuNmw2DrKHHqi1H9jLwLo1g%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"7eppi-8fRS2QQSGgozsQ6Q"} | body=<empty>
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=192.8 | headers={"CF-RAY":"a40b0184ee3acb80-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=o2JKWCF%2BL4hbdfiF9syqAlVVvPSsTNSdlygRpeme4DgXYPihs%2BVa0raY2sJbLgNYZM%2FXf15iNE0VPORMgs9krtAwY7UCaf5gDZzXTy4QX0JxLTuALnEXfZ1FsY1%2B%2BqLvJudtD4Llu9xd4RBOTw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"kx_LOyGgQmqbqubYAax-fw"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"Api Guest7b135064","read":false,"subject":"You have a new booking!"},{"id":3,"name":"Api Guest6d0fe376","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Api Guest584e1e55","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Api Guest8d9d86a7","read":false,"subject":"You have a new booking!"},{"id":8,"name":"API User 0d0d164a","read":true,"subject":"API lifecycle 0d0d164a"}]}
2026-09-25 15:19:13 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
