2026-09-25 15:19:03 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:03 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=238.7 | headers={"CF-RAY":"a40b0146aad3cb80-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:03 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=zorsKdpANriv7XKzJx7H8QQWpWymYpeuoqk6NkC338ghPly%2FpSkN9kgKKugvoQfp1MAPLOyoA2QZ1Q%2FeOZULOUj38i2KwDNPjlXvjTWkTqWb3%2FY3zL9hUkCAyWcshKna%2Fkb%2B%2BNgyahl6nzA5aw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"_sjIX0zYTkGRx2U3g4a9AQ"} | body={"token":"<redacted>"}
2026-09-25 15:19:03 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room e6a6495d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e6a6495d","roomPrice":175,"type":"Double"}
2026-09-25 15:19:03 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=208.4 | headers={"CF-RAY":"a40b0147ff62cb80-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:03 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=HBe%2BqGCuMFsMzyiMMThrKY63iJyGLqdncSSQF9ytSju9Smpp6VClJBRSEwyFOedqZOvDg4Q9CyK0rkq5HtT%2F5lDpM5rEx7aDtFdv150IytzK16h1nZudpZVrdEjZcXuhZg1eq7S%2FFjeZ0BdF9A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"Zw3tkTwwQkuVFkwSBhdwDg"} | body={"success":true}
2026-09-25 15:19:03 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=153.2 | headers={"CF-RAY":"a40b01497d6a5774-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=HyOJ0%2Fr%2BrKyYuz124IeS5P04DdE464OHQcal3xjj%2BYxmixNzgGIFqpD9JknnjHwS00PmMQWOeglk5WLYjCqYm2CRvWC%2Fm4%2FLNaqEBz1yQ5wIV0sKOa8PRJXBotkUz2zDqm6rkzVDIRz5%2Bpv91A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"-ng7BmArShuc1KcYFFmdQQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room e6a6495d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e6a6495d","roomPrice":175,"roomid":7,"type":"Double"}]}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":7} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=7 | status=401 | elapsed_ms=110.9 | headers={"CF-RAY":"a40b014a383a5774-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=yvez9L98nxWMolkHkoxkitj2hHkLU15qVZjchLhEhAsqvQVqNYHPVnCXVEEYJaI%2FHPedYpBygkPAIH6HDtREsT%2FwJI7NbcJnuWCyUy%2FIvZFrFGxkNU9zBgJE%2F2UA91Yt3E1LtYWc5LybWdmrpw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"CXb472qTT5e119x7FFmdQQ"} | body={"error":"Authentication required"}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=228.0 | headers={"CF-RAY":"a40b014aeb3a5774-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:04 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=EuPVSwoxuOB4Id9Fwn8CrLmx0IVKx8ETKoxOzpbdkgu32bdkNqoI%2BHrrA72apvAVBzchPVzfCsKUOf74o1L82Ng9oLfhcPUYtnjLemgxkrwVGsYWxgIhugGObUz%2B88LkHhOGy1Z9kLN91zlmxQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"oP_yfL7gQxiMof2hqmzx2A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room e6a6495d.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-e6a6495d","roomPrice":175,"roomid":7,"type":"Double"}]}
2026-09-25 15:19:04 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
