2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=143.9 | headers={"CF-RAY":"a40b01b56a3fda36-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=iki6R07bklsoJBfmDyVP%2FfjIInlW6OFeEKO%2FJ%2FCqiCWyQocRj7Uaf2BAqwi8ZTE1WGfdulwYqzlKzF45ZcfaJw3Jeg8onaD4BZgc6vrATjKv1CQCX631cCGpbYaFc30ahpsmFFyulKGoXrd%2BbQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"GLVLQvxcSiWhxviD8u2xcg"} | body={"token":"<redacted>"}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 5f6a7349.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-5f6a7349","roomPrice":175,"type":"Double"}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=205.0 | headers={"CF-RAY":"a40b01b61c51da36-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Vl3EVcCjoKZd%2BaMHOCo6MRM0HxApVWZrPZt%2BRlccDDdYa1etXgN3UM67E2UwWnplaDo5a34sfXOzfk%2F9q2m6DgjwTi7rRTfHkVFFQ%2Fbdu2rHeuuv6iwawpovMPrnixE8bb9M%2BtABoaI0P%2FDocQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"0MnINygrTz2VAR17o3UVLg"} | body={"success":true}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=151.3 | headers={"CF-RAY":"a40b01b79bec8aac-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=txsnmDr%2BUxUYzYNq70AQtoMi1OLwgF5pPQJCm8C2ZEeku1KBuOHGQ5oxmjIBTGWT%2BrOykA%2B5mI5eBfxEj5LHwuotxKlM6OLjMOI2YFtzS0xyxLOObJ1QxOPDg5mGzOJ6K1YPX4vZGAOxaMR0wA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"srzv30BLRdu0kqlxFFmdQQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 5f6a7349.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-5f6a7349","roomPrice":175,"roomid":16,"type":"Double"}]}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"depositpaid":false,"email":"api.adae45ae@example.com","firstname":"Api","lastname":"Guestadae45ae","phone":"01234567890","roomid":16}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=198.7 | headers={"CF-RAY":"a40b01b85e888aac-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=hl9hP6P1uDFrByavubMAQiO3q%2Bh1xxerL7yvqN9T82PTFPOSgrh20ocw3r5%2BzemoMZ9ZwIlYKfyT3TK1Xw6rpbUd8HiiMcF%2BooYltjv2L6t8q0pp9HT7Xio%2FQzIOz7%2FJAUcfTMacdBTv08sTLg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"WDzUleUoRO-KAUtzPvyhXg"} | body={"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":17,"depositpaid":false,"firstname":"Api","lastname":"Guestadae45ae","roomid":16}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":16} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=16 | status=200 | elapsed_ms=112.5 | headers={"CF-RAY":"a40b01b99ed4da36-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=A5uunTevN0aShKEsWcMkZtwJVQUg%2BbCoGc5Rt4vXETcSy%2BOPdt%2Bg%2FpKWaqoEHOC4xgYPGX1y8X0k6sD1gA5BqXjIo0s0JdwLR6go1tDw3aWekvrk1FFc4c1zMs4wi3KRUiKEONw8GMdeS2pkKg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"2-h_TnujTZaLD8DQFFmdQQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-24","checkout":"2026-11-26"},"bookingid":17,"depositpaid":false,"firstname":"Api","lastname":"Guestadae45ae","roomid":16}]}
2026-09-25 15:19:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={"checkin":"2026-11-24","checkout":"2026-11-26"} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
