2026-09-26 06:55:17 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:55:17 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=290.4 | headers={"CF-RAY":"a4105cb69b030bca-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:17 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=OlhOaD6o8F%2Bt%2FUpxsYL%2BBXxJxBJxPUwZpHDG5HuyXrl5sCYueNOkEvSLfGV9KUmI6qtHxpYnOQBEoQsR8YSXIqnFZP27xFHq01l1o1FzP8hZ%2FXCYR2s8134seh6EIHpCG%2FziMZMTks8nz9ipUg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"owQjOGuPTnm-05hkBT7zVQ"} | body={"token":"<redacted>"}
2026-09-26 06:55:17 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room ba95f6a5.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-ba95f6a5","roomPrice":175,"type":"Double"}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=238.9 | headers={"CF-RAY":"a4105cb82d840bca-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=w2ix2iVWBlHT8TcJpeV5ZOqw0TeqhNNi%2BSSzuK3H%2FGOkzoY7orrq1IGy3F7qlgQJuyPdfALeAU7ePpnWGr6%2FxriTrAu%2BLhdV76EN7iT2nQrqkCh5aa8ThMeYGPIjStJEEPBrjTwNiCxSQ%2FWuag%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"qkDrb12STsCJL3D18u2xcg"} | body={"success":true}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=225.8 | headers={"CF-RAY":"a4105cb9eee072f7-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=J5TqR%2BJPUvbSYV6t3GCyNGpUuyVFDhscGGDNwvgAEO62AOL7d43lB882SLQp1Jo64TPX3YQWKxYnAY7b1DigROgALFKAQ14Qi47M6j%2BO8mc%2Bms0%2FnXHGMsZeo%2BbiRK3zJve0NdPeMOzyR8Zwzw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"qbuhm5mxSNiWSNObFFmdQQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room ba95f6a5.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-ba95f6a5","roomPrice":175,"roomid":8,"type":"Double"}]}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-27"},"depositpaid":false,"email":"api.16d25e9f@example.com","firstname":"Api","lastname":"Guest16d25e9f","phone":"01234567890","roomid":8}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=156.9 | headers={"CF-RAY":"a4105cbb08c872f7-DFW","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=pqLldC9WxhMLfrWeb9TeJd3qxtIww%2FslZ%2BIMornciJ8rioy7%2FU83YG%2FXooE%2BxdWSwjNi1bucIaafHQCOAqj7C%2BxLSaugnMQZ1f3dbxOjOgyLvzAgz1JixeMYNECw%2FZhJ%2BBfJ0j8%2BwP8idjagBw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"smqhykvRQ-uZG301FFmdQQ"} | body={"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-27"},"bookingid":8,"depositpaid":false,"firstname":"Api","lastname":"Guest16d25e9f","roomid":8}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":8} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=8 | status=200 | elapsed_ms=152.0 | headers={"CF-RAY":"a4105cbc0cc20bca-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:18 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ax6YZimXdsE0v2TYapCNXUQhlrYtcddLfM2xCbhP1WlI3GRdnXmuVwJNJvYcBNnw5r9XxaO3tfotwQyJEgamtoPpbCdlK%2FkqDId256m1JUo7Q9V8K1SDn1TmLOHQ%2FU79yGunLiVJcud1ReDNiw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"gmjh5DMNSiu6ypqJFFmdQQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-27"},"bookingid":8,"depositpaid":false,"firstname":"Api","lastname":"Guest16d25e9f","roomid":8}]}
2026-09-26 06:55:18 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/8 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
