2026-09-26 06:55:14 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=289.9 | headers={"CF-RAY":"a4105ca6ada24862-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Q5CVWL8baYDF2ox9MC2FxJ0edEBicaVse0rOspygF9VOZFWYH3QkzW9YEiDrcvMUVh5FBhnDGFnDQz2uhgFQDPHWWuWNwd8lYfHTtWMKxPDq%2BlNGjwB8A59VoHa8SyRKxEaLU0QmE2XVVKli7w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"ox-jdYZOT8aKl57AezItjw"} | body={"token":"<redacted>"}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room c966bc68.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-c966bc68","roomPrice":175,"type":"Double"}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=154.4 | headers={"CF-RAY":"a4105ca83e494862-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=SFC2XKgxXMc7IY%2BXXDauaKys3TesiK8t3S81jSqVORCYHI%2F4%2Fmouf%2FhVW3egGVONJhZouR5SFIxntjJjakKvG9lxMkRbx9ehz8NG5JS9On7tA79w0qwzRMHXuZVvAis%2FXzrgc8mVwZhi8seAEg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"BD2YQe6bRtqIaBRDyCLmYg"} | body={"success":true}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=285.3 | headers={"CF-RAY":"a4105ca98dbfd230-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2Fm%2FCvU6lEAioWHaTAnVXK75sjBBS7iReFFNfeabI7ylVmRwlr6gQute6Ic7M7PS3D5PEZfLoDf3cH2YEG5VLIlz8GHRUqFJb5m7UT%2FEVniFbn%2B2SaZCFRjlRKcXNkh3Kd%2F4DK0rMnQZaeKbthQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"4aLRj16iTCqq8nrMc9o55Q"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room c966bc68.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-c966bc68","roomPrice":175,"roomid":6,"type":"Double"}]}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-24"},"depositpaid":false,"email":"api.886ef504@example.com","firstname":"Api","lastname":"Guest886ef504","phone":"01234567890","roomid":6}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=409 | elapsed_ms=232.7 | headers={"CF-RAY":"a4105caaf869d230-DFW","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:15 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=B0wYHgj5q14Fy716LJVyO0MVMsIeEP7cfjPaWRYsrRx5cw0oHq1uG2IMoEvJfYLfSXJ%2BPvrwY9GPAAYLWzmpSqYDvOuGNaxQ0Wu%2BDfAecek5EanG5ssxMhj89s5O2AF3i54sFvxGhRb2zGs3Fg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"ixznU7yCQPGRrStcAax-fw"} | body={"error":"Failed to create booking"}
2026-09-26 06:55:15 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":6} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=6 | status=200 | elapsed_ms=154.2 | headers={"CF-RAY":"a4105cac68484862-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xYRPjs0U8YqcsC1m06ou7gMUZ5ZCT%2BCgofIY9psZs%2BB2IhhfBk49A31X3fLEVRPU7CfmiblXgn1psu%2BrC9cJVMj9NEyZWDbIrZHMZVtyOTadVdZUvr6yE6KXuqemlcNgAWmLi8ps3fBdGggZuA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"MarWaOqNRJ68aSQ5Aax-fw"} | body={"bookings":[]}
2026-09-26 06:55:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
