2026-09-26 06:56:13 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:56:13 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=240.4 | headers={"CF-RAY":"a4105e12de198f7a-PDX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:56:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=HpJSBWuG6L7K%2Fb74ndmJ6%2BsaQhig93RQ4mPWcEXES0P5yXdOdQNWTpuSC41QBR1U0k%2F1ghaISPSbtBdCkLrgiLyA97pNyc%2FIFeWdVtBcCj6ipTQNPLW7PmV31BZxbLa12sJFB5ucC9vx4iM2%2Fg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"sjc1.qeyn","x-railway-edge":"sjc1","x-railway-request-id":"nCjwE4dARu2T4jRf9o6EoQ"} | body={"token":"<redacted>"}
2026-09-26 06:56:13 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room eef98525.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-eef98525","roomPrice":175,"type":"Double"}
2026-09-26 06:56:13 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=204.0 | headers={"CF-RAY":"a4105e1429588f7a-PDX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:56:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2BODaSTGUiK9hiN7kZZ6yybzXWhvFg73Gvz5M7VKSSoEFLOLULRpOVFPNIAFqhs0nm7pr%2Bus6zYbWTqaaoRVH6mFzPFA%2F%2FyoxjxEm1P%2FXdxvh8w8U%2BMtbRxajd8JqegAqkDG4771fshI7kcxPbw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"sjc1.qeyn","x-railway-edge":"sjc1","x-railway-request-id":"cz8CMHywTfeoT__r2prcFg"} | body={"success":true}
2026-09-26 06:56:13 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:56:14 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=391.4 | headers={"CF-RAY":"a4105e15aa00ff0e-PDX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:56:14 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=LkYBeT3Dzfm0jqGLmqv98SQa%2FFkPxOtOMuiJoJA8k%2BHn%2B1BMJsbEUcipLQ2gU7wu9V%2BrPjZNJ3QX157RAc%2B416Zi9tvAWl4LEuM520Q3gBqMhTkk0G6hP15XFMWj5hxhJpHbujj0U0vyti6Rxg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"sjc1.qeyn","x-railway-edge":"sjc1","x-railway-request-id":"zbiLDPaeQaOOLOGUjq4OvQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 8f582162.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-8f582162","roomPrice":175,"roomid":22,"type":"Double"},{"accessible":true,"description":"Automated API lifecycle room eef98525.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-eef98525","roomPrice":175,"roomid":23,"type":"Double"}]}
2026-09-26 06:56:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":23} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:56:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=23 | status=200 | elapsed_ms=208.1 | headers={"CF-RAY":"a4105e251a058f7a-PDX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:56:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=y8RS%2BxmZMTuk%2BenRvDY68bDaByPsZ8F%2FgObYPSk%2BeREo9SytHeOeB7UVlacreEYwTOpvKnNfZceCZa6alcVZhqnSJGSkazmMLfkJno8B8bCbL5zHlHTk0UDRfM9g9Ki0EW8xOje2QTExpOUnag%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"sjc1.qeyn","x-railway-edge":"sjc1","x-railway-request-id":"0lnzb1L0S2ihTBte9fVATg"} | body={"bookings":[]}
2026-09-26 06:56:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:56:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=355.2 | headers={"CF-RAY":"a4105e266ca7ff0e-PDX","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:56:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JkP0NEPhdYhrEMm2g6ovl9DQTsEBHrBjQ%2Brd8GjNIg%2FA0NYHx5XlZYrcs%2BwPaWQZOv4WLh0tZ2Ig%2BPnfkf6YhMRhnWGOPI0i39wv0xTu824bJgt25kO2%2FhfOmCnVZulpxzysoGgYKwj0CVGQ3g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"sjc1.qeyn","x-railway-edge":"sjc1","x-railway-request-id":"pSA55oaKQLya6Zx0wUFZXw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 8f582162.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-8f582162","roomPrice":175,"roomid":22,"type":"Double"},{"accessible":true,"description":"Automated API lifecycle room eef98525.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-eef98525","roomPrice":175,"roomid":23,"type":"Double"}]}
2026-09-26 06:56:16 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/23 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
