2026-09-26 06:55:19 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=301.0 | headers={"CF-RAY":"a4105cc47af321d2-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=lIjOF49VOv7tgxr44npewzEd7uS16ZaJVWLDFndw%2B7WQmGYf3ICrCPdZu43muXwwy02BrYIJbE3uZM6ddIvPn0r7cC6OotDshLNfqjEvho9BEASpANQnv3XZCFQjqeUptNCZEl1RDskG2kB85g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"Q7jqL5o_TJqwufr6qmzx2A"} | body={"token":"<redacted>"}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room fcc80e65.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-fcc80e65","roomPrice":175,"type":"Double"}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=345.9 | headers={"CF-RAY":"a4105cc60dd621d2-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=0W%2FH324CkQm9WSXezXXbXnJYjk%2FRq88XAXBnxQWFSgp6xpEfUeUUYzjA0fpbPXDJ%2BRARBTLufFThijz6DDJOrBWzq5rnLHeu4nvujfdlGU01qRUvXHypTCoarmrPNUeFLc6P8HpihanMpCjq1w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"9xOukIICSsO1MdXpO8poTA"} | body={"success":true}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=279.4 | headers={"CF-RAY":"a4105cc87b3125bf-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=fsGRcgqmWegjIQNc304Dsdv39a2pdyBNpOD%2BHgomiDPwaPmMXgxzY5MT%2BatA4BskUPNrtKL5JNjIESnql5DWtKIHqhTrUF4v85ywmujWAjQDS%2Fmty%2BIDVCVdNZKOOK5Rup6lkTT4GdhQWB5gMg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"YOp6jCxWQzKP_aMfozsQ6Q"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room fcc80e65.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-fcc80e65","roomPrice":175,"roomid":9,"type":"Double"}]}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-27"},"depositpaid":false,"email":"api.a367fd17@example.com","firstname":"Api","lastname":"Guesta367fd17","phone":"01234567890","roomid":9}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=145.4 | headers={"CF-RAY":"a4105cc9fe1c25bf-DFW","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:20 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=aNoXzJXwuSD3NtJ8aBUScLGZ9k3A6Dr%2BsiVwdwHzKjdQ7rgHE2moqXoNn7%2Bm8uMIFwhn8JhWNnZHj%2BKLWCbpiVNme%2Bg8CKSL20Ej420YQzf0%2FGRlwzAu4n9eHcvojYi8h0SGVfQOwRatwXVnHw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"cKq4rGFFSGKRGHmEozsQ6Q"} | body={"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-27"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guesta367fd17","roomid":9}
2026-09-26 06:55:20 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":9} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:21 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=9 | status=200 | elapsed_ms=241.7 | headers={"CF-RAY":"a4105ccaef5721d2-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:21 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=lnmLg6PTXjyacit0w0%2FXOtrxwiNPgGdyZwIOvlLlItBnj0DCmxw7BEtFsNOH3ya3M809ZZ5P%2FUbpK35xij0Ka6WGKzW1Sl%2Bush0vk78Re%2FSA8kCSlRxUOMz3hGP0jQzAoqACfiyyfYsHTrQitw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"8pSNSR8JTsCt4sFABT7zVQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-27"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guesta367fd17","roomid":9}]}
2026-09-26 06:55:21 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/9 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
