2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=286.3 | headers={"CF-RAY":"a4105cf67e3af78b-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=R2PCTzmFANKZ0dW4F4Yom4UlY1gnMQye%2FxneU%2B3Ocaqz%2FaK5UJIXK1ncbQyFCv2YF87kMVS0%2FRkNOZpzeYUzwUuhnFU0%2BCb3a0oycdV2Lg7%2FprR4XunSDVa65I%2B%2Fv0mze2XnSCcKmrZBcQWf1Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"AqznRNNuQ1mWM_Fag4a9AQ"} | body={"token":"<redacted>"}
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: 7646057f.","email":"api.7646057f@example.com","name":"API User 7646057f","phone":"01234567890","subject":"API lifecycle 7646057f"}
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=287.0 | headers={"CF-RAY":"a4105cf84cb072f7-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=IEqQvbdYMmY8pa9FkcaN9AgiUQqv2SaiZ6a%2BXh8VxDPhBtnPksLPmYvYqpWPbqMffomGBBCseIcrpN7jb6HqzsD%2FqEjD86uGEZirf%2Fo6kgkCSAkqxeNqbceDdeBSZSNvAqhPlkN2FU%2FgTtiyLg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"q66Bi__tQF6wqB6aozsQ6Q"} | body={"success":true}
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=244.6 | headers={"CF-RAY":"a4105cf9c953f78b-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=y6tXjB7zPIidUlM7Sj4HKrRxbQ5yQp3zFJC%2FcDGzLwyEJ7dmGI%2FPGdyEcwaY%2FxJCjMyMm8uwwRKAnlinuTOaP3jmiDszd0fm%2FjPVYAsVrgxhBEqReD41canOZacgaKQu8wII0bQrTpeo%2BMitaA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"nOaDvxbUTi-79hh-BT7zVQ"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guest0c07eb57","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guest16d25e9f","read":false,"subject":"You have a new booking!"},{"id":9,"name":"Api Guesta367fd17","read":false,"subject":"You have a new booking!"},{"id":10,"name":"Api Guest5b5ab2ed","read":false,"subject":"You have a new booking!"},{"id":13,"name":"API User 7646057f","read":false,"subject":"API lifecycle 7646057f"}]}
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP request | method=PUT | url=https://automationintesting.online/api/message/13/read | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP response | method=PUT | url=https://automationintesting.online/api/message/13/read | status=202 | elapsed_ms=262.4 | headers={"CF-RAY":"a4105cfb5b30f78b-DFW","Connection":"keep-alive","Content-Length":"0","Date":"Sat, 26 Sep 2026 06:55:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=zVdHdL1g0BYxzkM2SOEdArPo2bv2Llv6QSC9iEMkbYL4qScxOflMLKzsp9cXAxyQ89t537OGiKa7SVIgI9kCwfXSRoXicAn%2FfTI4GEOc69XoL4O74wO6R4gZkPWfroXYMhvLHZjq6G77kDIY0A%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"I6rMMmluTuCTXHLKPvyhXg"} | body=<empty>
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=151.0 | headers={"CF-RAY":"a4105cfcfe9372f7-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=d%2Bry159KlLDgLh%2BvtACZp2kXYdDVBqHJCeTUPjB3VyDTrhCeX5tn9X3zgUOEO3FhBszU56WgMElICg7TafK71pq5B%2BY6oDoE9sPECI4HcSFtk%2BFIawTxWyUwqgLM8WqSOBMdTuIuWLx5R13u0g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"RnmMAPMdRWeBynBPg4a9AQ"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guest0c07eb57","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guest16d25e9f","read":false,"subject":"You have a new booking!"},{"id":9,"name":"Api Guesta367fd17","read":false,"subject":"You have a new booking!"},{"id":10,"name":"Api Guest5b5ab2ed","read":false,"subject":"You have a new booking!"},{"id":13,"name":"API User 7646057f","read":true,"subject":"API lifecycle 7646057f"}]}
2026-09-26 06:55:28 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
