2026-09-26 06:55:26 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:55:26 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=201.0 | headers={"CF-RAY":"a4105ceec97bf0b8-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:26 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=TgFFQEMjtvfXFyhLS1Ang06u7hR2MFnVJAGmBs6fwv1VpNkFAQ4RusrLTrNMvymXwY4%2FupnbZBjt0uPcqrETMl28rEfvvzqBuggE6t17Qgc8%2BdipFCEVtWWwXPo%2Bv5vsQZ71j5A3zFc6pZWETQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"Ajn44d92Rr6-qcLWo3UVLg"} | body={"token":"<redacted>"}
2026-09-26 06:55:26 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: 3e89dcf4.","email":"api.3e89dcf4@example.com","name":"API User 3e89dcf4","phone":"01234567890","subject":"API lifecycle 3e89dcf4"}
2026-09-26 06:55:26 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=201.7 | headers={"CF-RAY":"a4105cf01e376b65-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:26 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Gu5hDYdzvKiB33QdXqEhelzujJf6AaS8qJqV%2BIejqTkEQqTjHBiELi9t8u9cl0AntIIY%2BVuflZMHsDv%2F%2BEu3a0r9NXkiQh1x004VnouMu%2BvrUfCyPYZVryTzpdKLwEhv0mLfrH3oV%2FRhZaQShQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"P_48cHWkTWGbrC3AjVra_w"} | body={"success":true}
2026-09-26 06:55:26 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=241.5 | headers={"CF-RAY":"a4105cf0fd59f0b8-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2Bhl2O%2BeqF7i7og3QdIMipmJDfrQJ9fo4SQCVxeJD05JrAxYzrO6wgcuCrWkFW%2F36jblJxtJNHcrh5h7Cm1sCM9Ezbp63xQ0S4Bm90p2AM3qlY0ZR3iZcDcjcPM2VycJV4dDy5pkpw45YjOGuiA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"QOLBlmssRAOUwHXNaP71AA"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guest0c07eb57","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guest16d25e9f","read":false,"subject":"You have a new booking!"},{"id":9,"name":"Api Guesta367fd17","read":false,"subject":"You have a new booking!"},{"id":10,"name":"Api Guest5b5ab2ed","read":false,"subject":"You have a new booking!"},{"id":12,"name":"API User 3e89dcf4","read":false,"subject":"API lifecycle 3e89dcf4"}]}
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/12 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/message/12 | status=403 | elapsed_ms=267.6 | headers={"CF-RAY":"a4105cf28fab6b65-DFW","Connection":"keep-alive","Content-Length":"0","Date":"Sat, 26 Sep 2026 06:55:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JhroWMSaVx6p%2FeQGG3MxKa3GjFLcjJiYkSG785NZfPtE%2BE7kfP9zDsHFHP7DWVXjPs0qzVxNO74BDcNawRjxLTfxFqU%2FYTQWsqu5%2BCyE%2BjUXSJrvB8cvQn5fX1usR3C4kN4iaaEV8wgKhW8f5w%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"sVXDzNBJTTKUxw2ZBT7zVQ"} | body=<empty>
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=151.8 | headers={"CF-RAY":"a4105cf43a82f0b8-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JpWewgIQrNZgw9qnzbJfFqe8XgyHFrLPGCFnK5qrE3rSh4WCOyTcriw2fb6FKeXRqXaQJ2lxup2s%2FB7d0kvQW7kS6Iof95qfQOPlCDfueBk1TC6OQBA7ECDRiZB27RwNtIwCTULOUrAUJMvbBg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"jbq2cCPaQpWmmSaVezItjw"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"ttt ttt","read":false,"subject":"You have a new booking!"},{"id":4,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":5,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":6,"name":"Jadyn Douglas-Hintz","read":false,"subject":"You have a new booking!"},{"id":7,"name":"Api Guest0c07eb57","read":false,"subject":"You have a new booking!"},{"id":8,"name":"Api Guest16d25e9f","read":false,"subject":"You have a new booking!"},{"id":9,"name":"Api Guesta367fd17","read":false,"subject":"You have a new booking!"},{"id":10,"name":"Api Guest5b5ab2ed","read":false,"subject":"You have a new booking!"},{"id":12,"name":"API User 3e89dcf4","read":false,"subject":"API lifecycle 3e89dcf4"}]}
2026-09-26 06:55:27 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/12 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
