2026-08-08 16:58:47 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-08-08 16:58:47 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=573.8 | headers={"CF-RAY":"a280115daaba60b1-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 08 Aug 2026 16:58:47 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Kqj88n2BbNPxiEAP2WPAkgOL8YxnJK6AvbddcQNb339vyYoKqnMiSw6DCwmhfbceNokai0K7B3SXUwMsO5%2B5LEvyVJc82%2BTyY3F2iS1Co%2BIBIonH2rgV4xxBqKUqUCa19dmo4zhEWj%2FKct35mg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"HmVtELH4SCyBLL8KCYBc-A"} | body={"token":"<redacted>"}
2026-08-08 16:58:47 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room b89f8c21.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-b89f8c21","roomPrice":175,"type":"Double"}
2026-08-08 16:58:48 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=397.8 | headers={"CF-RAY":"a28011611d1b60b1-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 08 Aug 2026 16:58:48 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xzgZIsJ3%2FvktmOb5VgXMgQoFocjwVI25OSRuJLwSIhXuwTYEZoPeDCQPtcaP8YZms31D%2FTsdiZMCLhUh07eqooBBI%2F9gn4ZUdKaR3%2BYlrSIZWAGfx5LDt8f3QHHrp51vyYsY6jd2570ipiNCjw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"oXZrByIMSpGYXU24npoFkQ"} | body={"success":true}
2026-08-08 16:58:48 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-08 16:58:48 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=282.1 | headers={"CF-RAY":"a2801163c8be72eb-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 08 Aug 2026 16:58:48 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=gBr75L1oTrrq9F8k4XmwvSt6ahYLdWI3JX24BV%2FYKqeU69%2FlKx7II%2BdDX8nGoUU4oqdR6CEu4KEIcJs9lX9wgZuvwBNIFQqAJTcHBvlKA2UvrN3zNEivPLCoUJCES0ykz1iw%2F9VhQOQcplvJiQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"lXfJNjqdS228mzA89fVATg"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room b89f8c21.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-b89f8c21","roomPrice":175,"roomid":4,"type":"Double"}]}
2026-08-08 16:58:48 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-07","checkout":"2026-10-09"},"depositpaid":false,"email":"api.a06ad9fd@example.com","firstname":"Api","lastname":"Guesta06ad9fd","phone":"01234567890","roomid":4}
2026-08-08 16:58:48 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=264.6 | headers={"CF-RAY":"a28011655c0472eb-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 08 Aug 2026 16:58:48 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=8bcX8MtYi%2FJrKPAfpnSfcBfdx5fD12lwYx5Bv%2B8qk82KeYJi18dj7gKA0u4J9U46qxf2HVSJr7Sc5ZcKFtmm68mzUH7v9MMijSY7flDI29U%2BE9zEDsvLibcQqlaTvKdPg%2B6wvurgSegQrwZtzw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"1UQnzMlBSQaenxR0LPU1MQ"} | body={"bookingdates":{"checkin":"2026-10-07","checkout":"2026-10-09"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guesta06ad9fd","roomid":4}
2026-08-08 16:58:48 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":4} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-08 16:58:49 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=4 | status=200 | elapsed_ms=397.5 | headers={"CF-RAY":"a2801167096360b1-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 08 Aug 2026 16:58:49 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=oxXyub8VmNKCTGP1P%2FVhNyBA4onTQrHxZpohktNuMYNMzQNtz72udMn%2BnF7UVaDEX5Ir%2B%2BTSbVlDyPWh8rtK%2F%2BYsgP9mo4yf%2BFSRCYLImvGM1lddqOdyAuPL2EitRztkv%2BRRm6Ifk9LLcKY6Uw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"w6FurLL4ThaJvJbc9I3ezw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-07","checkout":"2026-10-09"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guesta06ad9fd","roomid":4}]}
2026-08-08 16:58:49 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
